Date,AUD,CAD,CHF,EUR,GBP,JPY,NZD
2011-05-13,-0.10654486923317363,-0.08412532649529941,0.07170726518130177,0.12313245466462941,-0.0430054710369131,0.1784397534238218,0.23841824668494024
2011-05-16,-0.10654486923317363,-0.08412532649529941,0.07170726518130177,0.12313245466462941,-0.0430054710369131,0.1784397534238218,0.23841824668494024
2011-05-17,-0.1381566703892631,-0.14255776355122696,-0.012395883003943398,-0.014260462959591269,-0.05409687351288764,0.5341023085084762,0.14990673204689275
2011-05-18,-0.1381566703892631,-0.14255776355122696,-0.012395883003943398,-0.014260462959591269,-0.05409687351288764,0.5341023085084762,0.14990673204689275
2011-05-19,-0.1381566703892631,-0.14255776355122696,-0.012395883003943398,-0.014260462959591269,-0.05409687351288764,0.5341023085084762,0.14990673204689275
2011-05-20,-0.1381566703892631,-0.14255776355122696,-0.012395883003943398,-0.014260462959591269,-0.05409687351288764,0.5341023085084762,0.14990673204689275
2011-05-23,-0.1381566703892631,-0.14255776355122696,-0.012395883003943398,-0.014260462959591269,-0.05409687351288764,0.5341023085084762,0.14990673204689275
2011-05-24,-0.1486793950569279,-0.24503949944234604,-0.02149203586925505,-0.08866566615955049,-0.2862676782588977,0.5630531117873988,0.0638372756061642
2011-05-25,-0.1486793950569279,-0.24503949944234604,-0.02149203586925505,-0.08866566615955049,-0.2862676782588977,0.5630531117873988,0.0638372756061642
2011-05-26,-0.1486793950569279,-0.24503949944234604,-0.02149203586925505,-0.08866566615955049,-0.2862676782588977,0.5630531117873988,0.0638372756061642
2011-05-27,-0.1486793950569279,-0.24503949944234604,-0.02149203586925505,-0.08866566615955049,-0.2862676782588977,0.5630531117873988,0.0638372756061642
2011-05-31,-0.1486793950569279,-0.24503949944234604,-0.02149203586925505,-0.08866566615955049,-0.2862676782588977,0.5630531117873988,0.0638372756061642
2011-06-01,-0.08565612755695451,-0.24815315743315122,-0.028540875173133723,-0.20025948350994358,-0.4116155217895969,0.40480767509447446,0.02772218227359402
2011-06-02,-0.08565612755695451,-0.24815315743315122,-0.028540875173133723,-0.20025948350994358,-0.4116155217895969,0.40480767509447446,0.02772218227359402
2011-06-03,-0.08565612755695451,-0.24815315743315122,-0.028540875173133723,-0.20025948350994358,-0.4116155217895969,0.40480767509447446,0.02772218227359402
2011-06-06,-0.08565612755695451,-0.24815315743315122,-0.028540875173133723,-0.20025948350994358,-0.4116155217895969,0.40480767509447446,0.02772218227359402
2011-06-07,-0.005100473351913326,-0.17611393526521624,0.059327300609476,-0.2951340275203315,-0.2653594048505865,0.1627517875226526,0.10381332667984478
2011-06-08,-0.005100473351913326,-0.17611393526521624,0.059327300609476,-0.2951340275203315,-0.2653594048505865,0.1627517875226526,0.10381332667984478
2011-06-09,-0.005100473351913326,-0.17611393526521624,0.059327300609476,-0.2951340275203315,-0.2653594048505865,0.1627517875226526,0.10381332667984478
2011-06-10,-0.005100473351913326,-0.17611393526521624,0.059327300609476,-0.2951340275203315,-0.2653594048505865,0.1627517875226526,0.10381332667984478
2011-06-13,-0.005100473351913326,-0.17611393526521624,0.059327300609476,-0.2951340275203315,-0.2653594048505865,0.1627517875226526,0.10381332667984478
2011-06-14,-0.021485430138617367,-0.2015205853496565,0.0009561675551558457,-0.07789719181403801,-0.18297708843843313,0.03839970687420835,-0.01967735552799732
2011-06-15,-0.021485430138617367,-0.2015205853496565,0.0009561675551558457,-0.07789719181403801,-0.18297708843843313,0.03839970687420835,-0.01967735552799732
2011-06-16,-0.021485430138617367,-0.2015205853496565,0.0009561675551558457,-0.07789719181403801,-0.18297708843843313,0.03839970687420835,-0.01967735552799732
2011-06-17,-0.021485430138617367,-0.2015205853496565,0.0009561675551558457,-0.07789719181403801,-0.18297708843843313,0.03839970687420835,-0.01967735552799732
2011-06-20,-0.021485430138617367,-0.2015205853496565,0.0009561675551558457,-0.07789719181403801,-0.18297708843843313,0.03839970687420835,-0.01967735552799732
2011-06-21,0.1453988446538464,-0.08045822910047798,0.016553243632998788,0.0958598778055331,0.1326890699551429,0.1135435153354627,0.18544670156033533
2011-06-22,0.1453988446538464,-0.08045822910047798,0.016553243632998788,0.0958598778055331,0.1326890699551429,0.1135435153354627,0.18544670156033533
2011-06-23,0.1453988446538464,-0.08045822910047798,0.016553243632998788,0.0958598778055331,0.1326890699551429,0.1135435153354627,0.18544670156033533
2011-06-24,0.1453988446538464,-0.08045822910047798,0.016553243632998788,0.0958598778055331,0.1326890699551429,0.1135435153354627,0.18544670156033533
2011-06-27,0.1453988446538464,-0.08045822910047798,0.016553243632998788,0.0958598778055331,0.1326890699551429,0.1135435153354627,0.18544670156033533
2011-06-28,0.06727656197310994,-0.1518745449340439,0.009741592788295006,0.08340695770292564,0.0057990494460189446,0.24834276576233963,0.17425500633976798
2011-06-29,0.06727656197310994,-0.1518745449340439,0.009741592788295006,0.08340695770292564,0.0057990494460189446,0.24834276576233963,0.17425500633976798
2011-06-30,0.06727656197310994,-0.1518745449340439,0.009741592788295006,0.08340695770292564,0.0057990494460189446,0.24834276576233963,0.17425500633976798
2011-07-01,0.06727656197310994,-0.1518745449340439,0.009741592788295006,0.08340695770292564,0.0057990494460189446,0.24834276576233963,0.17425500633976798
2011-07-05,0.06727656197310994,-0.1518745449340439,0.009741592788295006,0.08340695770292564,0.0057990494460189446,0.24834276576233963,0.17425500633976798
2011-07-06,-0.01070394970802635,-0.23028773931188729,-0.1176954204434868,0.09871420349182204,-0.1622430908668282,0.16166529804428034,0.11069700454759279
2011-07-07,-0.01070394970802635,-0.23028773931188729,-0.1176954204434868,0.09871420349182204,-0.1622430908668282,0.16166529804428034,0.11069700454759279
2011-07-08,-0.01070394970802635,-0.23028773931188729,-0.1176954204434868,0.09871420349182204,-0.1622430908668282,0.16166529804428034,0.11069700454759279
2011-07-11,-0.01070394970802635,-0.23028773931188729,-0.1176954204434868,0.09871420349182204,-0.1622430908668282,0.16166529804428034,0.11069700454759279
