Date,EURGBP,EURAUD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDUSD,AUDCAD,AUDCHF,AUDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2011-03-15,0.3465440480123907,-3.1612533733225394,0.9237466266774604,-0.06625337332253967,0.9837466266774605,1.3387466266774604,-3.50779742133493,0.5772025786650697,-0.41279742133493036,0.6372025786650698,0.9922025786650698,4.085,3.0949999999999998,4.145,4.5,-0.9900000000000001,0.06000000000000005,0.41500000000000004,1.0500000000000003,1.405,0.355
2011-03-16,0.347431956831012,-3.241127257683046,0.938872742316954,-0.011127257683046121,0.938872742316954,1.2938727423169538,-3.588559214514058,0.5914407854859419,-0.35855921451405814,0.5914407854859419,0.9464407854859419,4.18,3.2299999999999995,4.18,4.535,-0.9500000000000001,0.0,0.355,0.9500000000000001,1.305,0.355
2011-03-17,0.31827567639365384,-3.141513674276068,0.9734863257239318,-0.03651367427606833,1.0134863257239317,1.3484863257239317,-3.459789350669722,0.655210649330278,-0.35478935066972217,0.6952106493302779,1.0302106493302778,4.115,3.1049999999999995,4.154999999999999,4.49,-1.0100000000000002,0.039999999999999925,0.375,1.05,1.385,0.3350000000000001
2011-03-18,0.40217974227012454,-3.16843549381977,1.0015645061802303,0.011564506180230083,1.0465645061802302,1.4015645061802302,-3.5706152360898944,0.5993847639101056,-0.39061523608989446,0.6443847639101057,0.9993847639101057,4.17,3.18,4.215,4.57,-0.9900000000000001,0.04500000000000004,0.4,1.0350000000000001,1.3900000000000001,0.355
2011-03-21,0.45159035178646834,-3.1337074808278245,1.0312925191721756,0.02129251917217556,1.0782925191721755,1.4912925191721755,-3.585297832614293,0.5797021673857071,-0.4302978326142928,0.6267021673857072,1.0397021673857072,4.165,3.1550000000000002,4.212,4.625,-1.0099999999999998,0.04700000000000004,0.4600000000000001,1.057,1.47,0.41300000000000003
2011-03-22,0.3772893247758924,-3.1256064405920654,1.024393559407935,0.03439355940793498,1.061393559407935,1.4933935594079348,-3.5028957653679575,0.6471042346320425,-0.3428957653679574,0.6841042346320425,1.1161042346320424,4.15,3.16,4.187,4.619,-0.9899999999999999,0.03700000000000003,0.4690000000000001,1.027,1.4589999999999999,0.43200000000000005
2011-03-23,0.3728195469379285,-3.1533268522423494,0.9966731477576507,0.00667314775765071,0.9996731477576506,1.4706731477576507,-3.526146399180278,0.6238536008197222,-0.3661463991802778,0.6268536008197221,1.0978536008197222,4.15,3.16,4.153,4.624,-0.99,0.0029999999999998916,0.474,0.9929999999999999,1.464,0.4710000000000001
2011-03-24,0.3907347247494153,-3.121954501586801,0.9730454984131995,-0.016954501586800452,1.0080454984131995,1.4840454984131994,-3.5126892263362164,0.5823107736637843,-0.40768922633621574,0.6173107736637842,1.0933107736637842,4.095000000000001,3.1050000000000004,4.130000000000001,4.606000000000001,-0.99,0.03499999999999992,0.511,1.025,1.501,0.4760000000000001
2011-03-25,0.40674046618357074,-3.125938074653152,0.9290619253468475,-0.02093807465315245,1.0380619253468475,1.5190619253468476,-3.5326785408367227,0.5223214591632768,-0.4276785408367232,0.6313214591632768,1.1123214591632768,4.055,3.1049999999999995,4.164,4.645,-0.95,0.10899999999999999,0.5900000000000001,1.059,1.54,0.48100000000000004
2011-03-28,0.4376785142032431,-3.1550761592145906,0.9449238407854095,0.004923840785409528,1.0399238407854097,1.5489238407854096,-3.5927546734178337,0.5072453265821664,-0.4327546734178336,0.6022453265821665,1.1112453265821665,4.1,3.16,4.195,4.704,-0.94,0.09500000000000008,0.6040000000000001,1.0350000000000001,1.544,0.509
