date,USD,GBP,CHF
1992-05-20,5.13,9.027770967773284,6.9085
1992-05-21,5.34,9.015425542797093,6.9085
1992-05-22,5.24,8.996037616551792,6.9085
1992-05-26,5.35,9.010664064934511,6.9085
1992-05-27,5.28,9.010998063171279,6.9085
1992-05-28,5.22,8.999132418495524,6.9085
1992-05-29,5.19,8.973356113929805,7.226
1992-06-01,5.29,9.00057701047192,7.261
1992-06-02,5.23,8.990141595964579,7.261
1992-06-03,5.2,9.080225313756857,7.261
1992-06-04,5.22,9.067244286123405,7.261
1992-06-05,5.13,9.092659988547565,7.261
1992-06-08,5.11,9.137287339720517,7.261
1992-06-09,5.11,9.13999992301768,7.2989999999999995
1992-06-10,5.13,9.129927952673466,7.2989999999999995
1992-06-11,5.09,9.10968282902305,7.2989999999999995
1992-06-12,5.06,9.066492652737203,7.2989999999999995
1992-06-15,5.05,9.086995463285907,7.2935
1992-06-16,5.02,9.078650865195268,7.2935
1992-06-17,5.0,9.069588208104092,7.2935
1992-06-18,4.94,9.050956984819534,7.2935
1992-06-19,5.0,9.032526704978514,7.2935
1992-06-22,4.99,9.075598936181843,7.230499999999999
1992-06-23,5.1,9.110660775899039,7.230499999999999
1992-06-24,4.96,9.105289667018377,7.230499999999999
1992-06-25,4.89,9.096776545318217,7.230499999999999
1992-06-26,4.88,9.06175229984924,7.230499999999999
1992-06-29,4.83,9.11449515809386,7.2645
1992-06-30,4.83,9.111792853543985,7.2435
1992-07-01,4.82,9.047711871164108,7.2435
1992-07-02,4.55,8.994605905073792,7.2435
1992-07-03,4.55,8.88595365336905,7.2435
1992-07-06,4.46,8.923440738464409,7.2215
1992-07-07,4.4,8.981919884433603,7.2215
1992-07-08,4.4,9.060366984977636,7.2215
1992-07-09,4.4,9.035302115643407,7.2215
1992-07-10,4.38,9.05753933122894,7.2215
1992-07-13,4.4,9.209153085297633,7.2125
1992-07-14,4.32,9.201479051730594,7.2125
1992-07-15,4.25,9.21565613878508,7.2125
1992-07-16,4.25,9.189610269550803,7.2125
1992-07-17,4.27,9.284266342562336,7.2125
1992-07-20,4.3,9.335072644674137,7.284
1992-07-21,4.34,9.31085012713129,7.284
1992-07-22,4.29,9.306513963924932,7.284
1992-07-23,4.2,9.326094221078764,7.284
1992-07-24,4.25,9.322778501728003,7.284
1992-07-27,4.27,9.312583216938528,7.2545
1992-07-28,4.27,9.336275820557614,7.2545
1992-07-29,4.25,9.35321616934214,7.2545
1992-07-30,4.33,9.423843255092544,7.2545
1992-07-31,4.42,9.530847835426856,7.214
1992-08-03,4.4,9.527280584751681,7.2155000000000005
1992-08-04,4.31,9.518698225272368,7.2155000000000005
1992-08-05,4.29,9.545180135627866,7.2155000000000005
1992-08-06,4.29,9.537763203284394,7.2155000000000005
1992-08-07,4.18,9.480056124102019,7.2155000000000005
1992-08-10,4.12,9.45350858703974,7.1125
1992-08-11,4.15,9.449600838847152,7.1125
1992-08-12,4.19,9.493812236504965,7.1125
1992-08-13,4.19,9.501910025332835,7.1125
1992-08-14,4.14,9.365890327698674,7.1125
1992-08-17,4.13,9.382309690377697,7.1615
1992-08-18,4.04,9.425884851217269,7.1615
1992-08-19,4.06,9.45001296912387,7.1615
1992-08-20,4.04,9.456065738068931,7.1615
1992-08-21,4.13,9.547499660170589,7.1615
1992-08-24,4.27,9.736525255528438,7.1754999999999995
1992-08-25,4.32,9.919047142856956,7.1754999999999995
1992-08-26,4.26,9.894677684726865,7.1754999999999995
1992-08-27,4.23,9.920659806276218,7.1754999999999995
1992-08-28,4.16,9.860751405965887,7.1754999999999995
1992-08-31,4.15,9.860751405965887,7.061
1992-09-01,4.12,9.866942706307585,7.061
1992-09-02,4.1,9.680089727280555,7.061
1992-09-03,4.09,9.542139878298132,7.061
1992-09-04,3.89,9.493159136653887,7.061
1992-09-08,3.83,9.613807527633782,7.061
1992-09-09,3.85,9.80193135976753,7.061
1992-09-10,3.83,9.754696750339974,7.061
1992-09-11,3.87,9.86718449204419,7.061
1992-09-14,3.8,9.44359236492355,6.978999999999999
1992-09-15,3.89,9.824007969989047,6.978999999999999
1992-09-16,3.87,10.19419645932089,6.978999999999999
1992-09-17,3.86,8.951398994502402,6.978999999999999
1992-09-18,3.86,8.798247882139291,6.978999999999999
1992-09-21,3.91,8.449217107838905,6.681
1992-09-22,3.98,8.150370359195685,6.681
1992-09-23,3.97,8.113079668220902,6.681
1992-09-24,3.91,8.111046759646227,6.681
1992-09-25,3.78,8.126990748915478,6.681
1992-09-28,3.77,8.073499264540994,6.490500000000001
1992-09-29,3.8,8.110912797360804,6.490500000000001
1992-09-30,3.8,8.119169556317447,6.5545
1992-10-01,3.67,8.050668493449734,6.5545
1992-10-02,3.71,8.106502879659505,6.5545
1992-10-05,3.68,8.168123646307603,6.4254999999999995
1992-10-06,3.74,8.082457568942262,6.4254999999999995
1992-10-07,3.88,8.031868911447788,6.4254999999999995
1992-10-08,3.83,7.946292365335907,6.4254999999999995
1992-10-09,4.0,7.960889483608928,6.4254999999999995
1992-10-13,3.99,7.841165070705664,6.4254999999999995
1992-10-14,4.02,7.818973772152385,6.4254999999999995
1992-10-15,4.02,7.685526405493552,6.4254999999999995
1992-10-16,4.04,7.1859970117573,6.4254999999999995
1992-10-19,4.15,7.017737001555216,6.3255
1992-10-20,4.34,6.820429815119969,6.3255
1992-10-21,4.29,6.784617178667135,6.3255
1992-10-22,4.24,6.7044788119651715,6.3255
1992-10-23,4.37,6.688796041810205,6.3255
1992-10-26,4.39,6.678414838444692,6.2535
1992-10-27,4.32,6.615446552213452,6.2535
1992-10-28,4.33,6.5502979600305125,6.2535
1992-10-29,4.33,6.6106619775198165,6.2535
1992-10-30,4.4,6.73262106541917,5.836
1992-11-02,4.47,6.640729777803514,6.194
1992-11-03,4.44,6.566708009208111,6.194
1992-11-04,4.44,6.563784457894251,6.194
1992-11-05,4.39,6.443426589355301,6.194
1992-11-06,4.48,6.438134058829506,6.194
1992-11-09,4.57,6.345610020944371,6.1690000000000005
1992-11-10,4.5,6.353721669511867,6.1690000000000005
1992-11-12,4.44,6.406824731052348,6.1690000000000005
1992-11-13,4.54,6.579519797772762,6.1690000000000005
1992-11-16,4.68,6.671588301534638,6.104
1992-11-17,4.67,6.615656037641811,6.104
1992-11-18,4.58,6.592687302097458,6.104
1992-11-19,4.59,6.592131003733556,6.104
1992-11-20,4.66,6.6125444800406425,6.104
1992-11-23,4.69,6.628412099569861,6.0405
1992-11-24,4.61,6.603241308194348,6.0405
1992-11-25,4.7,6.6322474519322885,6.0405
1992-11-27,4.77,6.741238530735565,6.0405
1992-11-30,4.79,6.982012962355662,5.8245
1992-12-01,4.81,6.961736285236203,5.8245
1992-12-02,4.81,6.947132398749418,5.8245
1992-12-03,4.78,6.832333921654299,5.8245
1992-12-04,4.7,6.819325333846544,5.8245
1992-12-07,4.62,6.977374952607695,5.902
1992-12-08,4.59,6.949496625181315,5.902
1992-12-09,4.61,6.925062759610453,5.902
1992-12-10,4.67,6.962817598526565,5.902
1992-12-11,4.78,6.8824976030257305,5.902
1992-12-14,4.8,6.887871635164064,5.6795
1992-12-15,4.77,6.922385727476514,5.6795
1992-12-16,4.67,6.922022268129228,5.6795
1992-12-17,4.69,6.883503818858242,5.6795
1992-12-18,4.66,6.869077053066808,5.6795
1992-12-21,4.64,6.8958281000218795,5.673
1992-12-22,4.64,6.844534851119873,5.673
1992-12-23,4.63,6.78937652516111,5.673
1992-12-24,4.6,6.758007837738045,5.673
1992-12-28,4.64,6.758007837738045,5.7185
1992-12-29,4.61,6.780856348410194,5.7185
1992-12-30,4.54,6.755636724122022,5.7185
1992-12-31,4.56,6.768396215342717,5.5275
1993-01-04,4.48,6.789196266582994,5.5395
1993-01-05,4.48,6.796016949599526,5.5395
1993-01-06,4.52,6.778657413579831,5.5395
1993-01-07,4.64,6.788027687243734,5.5395
1993-01-08,4.5,6.7764608411214455,5.5395
1993-01-11,4.48,6.797410197426637,5.3740000000000006
1993-01-12,4.48,6.77403131778374,5.3740000000000006
1993-01-13,4.46,6.716386304578135,5.3740000000000006
1993-01-14,4.4,6.6768195936533274,5.3740000000000006
1993-01-15,4.31,6.607787989280959,5.3740000000000006
1993-01-19,4.39,6.585745955658349,5.3740000000000006
1993-01-20,4.41,6.500500590126956,5.3740000000000006
1993-01-21,4.36,6.381367595923863,5.3740000000000006
1993-01-22,4.3,6.3606264268545845,5.3740000000000006
1993-01-25,4.26,6.4134654792928405,5.566000000000001
1993-01-26,4.3,6.031013859956018,5.566000000000001
1993-01-27,4.24,6.052769720342045,5.566000000000001
1993-01-28,4.2,6.062733192413273,5.566000000000001
1993-01-29,4.2,6.0336727954867095,5.237
1993-02-01,4.19,5.832494754863497,5.3205
1993-02-02,4.25,5.844370108592193,5.3205
1993-02-03,4.27,5.802873560506064,5.3205
1993-02-04,4.19,5.780586867020484,5.3205
1993-02-05,4.07,5.772189256464088,5.3205
1993-02-08,4.16,5.798304019912772,5.1285
1993-02-09,4.2,5.844637197897361,5.1285
1993-02-10,4.27,5.841527533929387,5.1285
1993-02-11,4.2,5.8667261935666,5.1285
1993-02-12,4.2,5.780782013682208,5.1285
1993-02-16,4.14,5.842801115011416,5.1285
1993-02-17,4.06,5.873096463211365,5.1285
1993-02-18,3.95,5.857787452203063,5.1285
1993-02-19,3.99,5.785683702466649,5.1285
1993-02-22,3.99,5.7594103064755755,5.2745
1993-02-23,3.9,5.743815222906287,5.2745
1993-02-24,3.97,5.786255739586683,5.2745
1993-02-25,3.95,5.773556176889251,5.2745
1993-02-26,3.92,5.739170269763953,4.8365
1993-03-01,3.88,5.721925543717998,4.721500000000001
1993-03-02,3.88,5.778512128402758,4.721500000000001
1993-03-03,3.81,5.763533735959996,4.721500000000001
1993-03-04,3.75,5.788950933634593,4.721500000000001
1993-03-05,3.91,5.719548849388947,4.721500000000001
1993-03-08,3.97,5.686670016619648,4.544499999999999
1993-03-09,4.02,5.7375486937819,4.544499999999999
1993-03-10,4.05,5.771472219863946,4.544499999999999
1993-03-11,4.01,5.732956995459288,4.544499999999999
1993-03-12,4.11,5.679988734668166,4.544499999999999
1993-03-15,4.1,5.696100194697337,4.52
1993-03-16,4.02,5.835560104473474,4.52
1993-03-17,3.98,5.806617659322769,4.52
1993-03-18,3.91,5.841244439184043,4.52
1993-03-19,3.95,5.938167843964981,4.52
1993-03-22,3.92,6.039335265674469,4.7705
1993-03-23,3.88,6.061298243691088,4.7705
