gate 1: 128 shards total, 0 already checkpointed, 128 queued now, 8 workers
  floors: {'trend': 0.0789746052852731, 'chop': 0.0948921307658818}   PF >= 1.05
    shard   12:   5000 done, 7.53 ms/combo, 10 min left
    shard   13:   5000 done, 7.53 ms/combo, 10 min left
    shard   14:   5000 done, 7.52 ms/combo, 10 min left
    shard   10:   5000 done, 7.54 ms/combo, 10 min left
    shard   15:   5000 done, 7.54 ms/combo, 10 min left
    shard    8:  10000 done, 7.78 ms/combo, 10 min left
    shard   11:  10000 done, 7.80 ms/combo, 10 min left
    shard   12:  10000 done, 7.80 ms/combo, 10 min left
    shard    9:  10000 done, 7.82 ms/combo, 10 min left
    shard   13:  10000 done, 7.81 ms/combo, 10 min left
    shard   10:  10000 done, 7.82 ms/combo, 10 min left
    shard   14:  10000 done, 7.81 ms/combo, 10 min left
    shard   15:  10000 done, 7.81 ms/combo, 10 min left
    shard    8:  15000 done, 7.85 ms/combo, 9 min left
    shard   11:  15000 done, 7.86 ms/combo, 9 min left
    shard   12:  15000 done, 7.86 ms/combo, 9 min left
    shard   14:  15000 done, 7.86 ms/combo, 9 min left
    shard   10:  15000 done, 7.87 ms/combo, 9 min left
    shard   13:  15000 done, 7.87 ms/combo, 9 min left
    shard    9:  15000 done, 7.88 ms/combo, 9 min left
    shard   15:  15000 done, 7.87 ms/combo, 9 min left
    shard    8:  20000 done, 7.83 ms/combo, 8 min left
    shard   11:  20000 done, 7.85 ms/combo, 8 min left
    shard   12:  20000 done, 7.84 ms/combo, 8 min left
    shard   14:  20000 done, 7.84 ms/combo, 8 min left
    shard   10:  20000 done, 7.85 ms/combo, 8 min left
    shard    9:  20000 done, 7.86 ms/combo, 8 min left
    shard   13:  20000 done, 7.85 ms/combo, 8 min left
    shard   15:  20000 done, 7.85 ms/combo, 8 min left
    shard    8:  25000 done, 7.80 ms/combo, 8 min left
    shard   11:  25000 done, 7.82 ms/combo, 8 min left
    shard   12:  25000 done, 7.81 ms/combo, 8 min left
    shard   10:  25000 done, 7.82 ms/combo, 8 min left
    shard   14:  25000 done, 7.81 ms/combo, 8 min left
    shard   13:  25000 done, 7.82 ms/combo, 8 min left
    shard    9:  25000 done, 7.83 ms/combo, 8 min left
    shard   15:  25000 done, 7.83 ms/combo, 8 min left
    shard    8:  30000 done, 7.86 ms/combo, 7 min left
    shard   11:  30000 done, 7.88 ms/combo, 7 min left
    shard   12:  30000 done, 7.87 ms/combo, 7 min left
    shard   10:  30000 done, 7.87 ms/combo, 7 min left
    shard   13:  30000 done, 7.87 ms/combo, 7 min left
    shard    9:  30000 done, 7.88 ms/combo, 7 min left
    shard   14:  30000 done, 7.87 ms/combo, 7 min left
    shard   15:  30000 done, 7.88 ms/combo, 7 min left
    shard    8:  35000 done, 7.81 ms/combo, 6 min left
    shard   10:  35000 done, 7.82 ms/combo, 6 min left
    shard   13:  35000 done, 7.82 ms/combo, 6 min left
    shard   12:  35000 done, 7.83 ms/combo, 6 min left
    shard   11:  35000 done, 7.84 ms/combo, 6 min left
    shard   14:  35000 done, 7.83 ms/combo, 6 min left
    shard    9:  35000 done, 7.84 ms/combo, 6 min left
    shard   15:  35000 done, 7.84 ms/combo, 6 min left
    shard    8:  40000 done, 7.79 ms/combo, 6 min left
    shard   10:  40000 done, 7.79 ms/combo, 6 min left
    shard   12:  40000 done, 7.79 ms/combo, 6 min left
    shard   13:  40000 done, 7.79 ms/combo, 6 min left
    shard   11:  40000 done, 7.81 ms/combo, 6 min left
    shard   14:  40000 done, 7.80 ms/combo, 6 min left
    shard    9:  40000 done, 7.81 ms/combo, 6 min left
    shard   15:  40000 done, 7.81 ms/combo, 6 min left
    shard    8:  45000 done, 7.77 ms/combo, 5 min left
    shard   10:  45000 done, 7.77 ms/combo, 5 min left
    shard   12:  45000 done, 7.77 ms/combo, 5 min left
    shard   13:  45000 done, 7.77 ms/combo, 5 min left
    shard   11:  45000 done, 7.79 ms/combo, 5 min left
    shard    9:  45000 done, 7.78 ms/combo, 5 min left
    shard   14:  45000 done, 7.78 ms/combo, 5 min left
    shard   15:  45000 done, 7.78 ms/combo, 5 min left
    shard    8:  50000 done, 7.73 ms/combo, 4 min left
    shard   10:  50000 done, 7.73 ms/combo, 4 min left
    shard   12:  50000 done, 7.74 ms/combo, 4 min left
    shard   13:  50000 done, 7.74 ms/combo, 4 min left
    shard   11:  50000 done, 7.75 ms/combo, 4 min left
    shard    9:  50000 done, 7.75 ms/combo, 4 min left
    shard   14:  50000 done, 7.74 ms/combo, 4 min left
    shard   15:  50000 done, 7.75 ms/combo, 4 min left
    shard    8:  55000 done, 7.70 ms/combo, 4 min left
    shard   10:  55000 done, 7.70 ms/combo, 4 min left
    shard   13:  55000 done, 7.70 ms/combo, 4 min left
    shard   12:  55000 done, 7.70 ms/combo, 4 min left
    shard   11:  55000 done, 7.72 ms/combo, 4 min left
    shard    9:  55000 done, 7.72 ms/combo, 4 min left
    shard   14:  55000 done, 7.71 ms/combo, 4 min left
    shard   15:  55000 done, 7.71 ms/combo, 4 min left
    shard    8:  60000 done, 7.68 ms/combo, 3 min left
    shard   10:  60000 done, 7.68 ms/combo, 3 min left
    shard   13:  60000 done, 7.68 ms/combo, 3 min left
    shard   12:  60000 done, 7.69 ms/combo, 3 min left
    shard   11:  60000 done, 7.69 ms/combo, 3 min left
    shard    9:  60000 done, 7.70 ms/combo, 3 min left
    shard   14:  60000 done, 7.69 ms/combo, 3 min left
    shard   15:  60000 done, 7.70 ms/combo, 3 min left
    shard    8:  65000 done, 7.65 ms/combo, 2 min left
    shard   10:  65000 done, 7.65 ms/combo, 2 min left
    shard   13:  65000 done, 7.65 ms/combo, 2 min left
    shard   11:  65000 done, 7.67 ms/combo, 2 min left
    shard   12:  65000 done, 7.66 ms/combo, 2 min left
    shard    9:  65000 done, 7.67 ms/combo, 2 min left
    shard   14:  65000 done, 7.67 ms/combo, 2 min left
    shard   15:  65000 done, 7.67 ms/combo, 2 min left
    shard    8:  70000 done, 7.64 ms/combo, 2 min left
    shard   10:  70000 done, 7.64 ms/combo, 2 min left
    shard   13:  70000 done, 7.64 ms/combo, 2 min left
    shard   12:  70000 done, 7.65 ms/combo, 2 min left
    shard   11:  70000 done, 7.66 ms/combo, 2 min left
    shard    9:  70000 done, 7.66 ms/combo, 2 min left
    shard   14:  70000 done, 7.66 ms/combo, 2 min left
    shard   15:  70000 done, 7.66 ms/combo, 2 min left
    shard    8:  75000 done, 7.62 ms/combo, 1 min left
    shard   10:  75000 done, 7.61 ms/combo, 1 min left
    shard   13:  75000 done, 7.61 ms/combo, 1 min left
    shard   12:  75000 done, 7.62 ms/combo, 1 min left
    shard   11:  75000 done, 7.63 ms/combo, 1 min left
    shard    9:  75000 done, 7.63 ms/combo, 1 min left
    shard   14:  75000 done, 7.63 ms/combo, 1 min left
    shard   15:  75000 done, 7.63 ms/combo, 1 min left
    shard    8:  80000 done, 7.59 ms/combo, 0 min left
    shard   13:  80000 done, 7.58 ms/combo, 0 min left
    shard   10:  80000 done, 7.58 ms/combo, 0 min left
    shard   12:  80000 done, 7.59 ms/combo, 0 min left
    shard   11:  80000 done, 7.60 ms/combo, 0 min left
    shard    9:  80000 done, 7.60 ms/combo, 0 min left
    shard   14:  80000 done, 7.60 ms/combo, 0 min left
    shard   15:  80000 done, 7.60 ms/combo, 0 min left
  shard    8:    83418 seen | eligible  67924/ 56320 | survivors  4987/ 1320  (trend/chop)
  shard   10:    83418 seen | eligible  67902/ 56403 | survivors  4832/ 1356  (trend/chop)
  shard   13:    83418 seen | eligible  67918/ 56276 | survivors  4840/ 1324  (trend/chop)
  shard   12:    83418 seen | eligible  67944/ 56348 | survivors  4948/ 1300  (trend/chop)
  shard   11:    83418 seen | eligible  67940/ 56364 | survivors  4878/ 1305  (trend/chop)
  shard    9:    83418 seen | eligible  67898/ 56266 | survivors  4827/ 1316  (trend/chop)
  shard   14:    83418 seen | eligible  67908/ 56382 | survivors  4856/ 1324  (trend/chop)
  shard   15:    83418 seen | eligible  67939/ 56338 | survivors  4883/ 1321  (trend/chop)
    shard   16:   5000 done, 6.82 ms/combo, 9 min left
    shard   18:   5000 done, 6.90 ms/combo, 9 min left
    shard   17:   5000 done, 6.88 ms/combo, 9 min left
    shard   20:   5000 done, 6.90 ms/combo, 9 min left
    shard   19:   5000 done, 6.89 ms/combo, 9 min left
    shard   21:   5000 done, 6.90 ms/combo, 9 min left
    shard   22:   5000 done, 6.91 ms/combo, 9 min left
    shard   23:   5000 done, 6.92 ms/combo, 9 min left
    shard   16:  10000 done, 7.13 ms/combo, 9 min left
    shard   18:  10000 done, 7.17 ms/combo, 9 min left
    shard   17:  10000 done, 7.17 ms/combo, 9 min left
    shard   19:  10000 done, 7.16 ms/combo, 9 min left
    shard   20:  10000 done, 7.18 ms/combo, 9 min left
    shard   21:  10000 done, 7.18 ms/combo, 9 min left
    shard   22:  10000 done, 7.20 ms/combo, 9 min left
    shard   23:  10000 done, 7.21 ms/combo, 9 min left
    shard   16:  15000 done, 7.21 ms/combo, 8 min left
    shard   17:  15000 done, 7.23 ms/combo, 8 min left
    shard   18:  15000 done, 7.24 ms/combo, 8 min left
    shard   19:  15000 done, 7.23 ms/combo, 8 min left
    shard   20:  15000 done, 7.25 ms/combo, 8 min left
    shard   21:  15000 done, 7.23 ms/combo, 8 min left
    shard   22:  15000 done, 7.24 ms/combo, 8 min left
    shard   23:  15000 done, 7.26 ms/combo, 8 min left
    shard   16:  20000 done, 7.23 ms/combo, 8 min left
    shard   17:  20000 done, 7.26 ms/combo, 8 min left
    shard   18:  20000 done, 7.27 ms/combo, 8 min left
    shard   20:  20000 done, 7.26 ms/combo, 8 min left
    shard   19:  20000 done, 7.25 ms/combo, 8 min left
    shard   21:  20000 done, 7.26 ms/combo, 8 min left
    shard   22:  20000 done, 7.26 ms/combo, 8 min left
    shard   23:  20000 done, 7.29 ms/combo, 8 min left
    shard   16:  25000 done, 7.22 ms/combo, 7 min left
    shard   17:  25000 done, 7.24 ms/combo, 7 min left
    shard   18:  25000 done, 7.25 ms/combo, 7 min left
    shard   19:  25000 done, 7.24 ms/combo, 7 min left
    shard   20:  25000 done, 7.25 ms/combo, 7 min left
    shard   21:  25000 done, 7.25 ms/combo, 7 min left
    shard   22:  25000 done, 7.24 ms/combo, 7 min left
    shard   23:  25000 done, 7.27 ms/combo, 7 min left
    shard   16:  30000 done, 7.29 ms/combo, 6 min left
    shard   17:  30000 done, 7.30 ms/combo, 6 min left
    shard   18:  30000 done, 7.31 ms/combo, 7 min left
    shard   19:  30000 done, 7.30 ms/combo, 6 min left
    shard   20:  30000 done, 7.30 ms/combo, 7 min left
    shard   21:  30000 done, 7.31 ms/combo, 7 min left
    shard   22:  30000 done, 7.31 ms/combo, 7 min left
    shard   23:  30000 done, 7.33 ms/combo, 7 min left
    shard   16:  35000 done, 7.26 ms/combo, 6 min left
    shard   17:  35000 done, 7.26 ms/combo, 6 min left
    shard   18:  35000 done, 7.27 ms/combo, 6 min left
    shard   20:  35000 done, 7.26 ms/combo, 6 min left
    shard   19:  35000 done, 7.27 ms/combo, 6 min left
    shard   21:  35000 done, 7.27 ms/combo, 6 min left
    shard   22:  35000 done, 7.27 ms/combo, 6 min left
    shard   23:  35000 done, 7.29 ms/combo, 6 min left
    shard   16:  40000 done, 7.24 ms/combo, 5 min left
    shard   17:  40000 done, 7.24 ms/combo, 5 min left
    shard   18:  40000 done, 7.25 ms/combo, 5 min left
    shard   20:  40000 done, 7.24 ms/combo, 5 min left
    shard   19:  40000 done, 7.25 ms/combo, 5 min left
    shard   21:  40000 done, 7.25 ms/combo, 5 min left
    shard   22:  40000 done, 7.25 ms/combo, 5 min left
    shard   23:  40000 done, 7.27 ms/combo, 5 min left
    shard   16:  45000 done, 7.23 ms/combo, 5 min left
    shard   17:  45000 done, 7.24 ms/combo, 5 min left
    shard   18:  45000 done, 7.25 ms/combo, 5 min left
    shard   20:  45000 done, 7.24 ms/combo, 5 min left
    shard   19:  45000 done, 7.24 ms/combo, 5 min left
    shard   21:  45000 done, 7.24 ms/combo, 5 min left
    shard   22:  45000 done, 7.24 ms/combo, 5 min left
    shard   23:  45000 done, 7.27 ms/combo, 5 min left
    shard   16:  50000 done, 7.22 ms/combo, 4 min left
    shard   17:  50000 done, 7.23 ms/combo, 4 min left
    shard   18:  50000 done, 7.24 ms/combo, 4 min left
    shard   20:  50000 done, 7.23 ms/combo, 4 min left
    shard   19:  50000 done, 7.23 ms/combo, 4 min left
    shard   21:  50000 done, 7.23 ms/combo, 4 min left
    shard   22:  50000 done, 7.23 ms/combo, 4 min left
    shard   23:  50000 done, 7.25 ms/combo, 4 min left
    shard   16:  55000 done, 7.22 ms/combo, 3 min left
    shard   17:  55000 done, 7.23 ms/combo, 3 min left
    shard   18:  55000 done, 7.24 ms/combo, 3 min left
    shard   20:  55000 done, 7.23 ms/combo, 3 min left
    shard   19:  55000 done, 7.23 ms/combo, 3 min left
    shard   22:  55000 done, 7.22 ms/combo, 3 min left
    shard   21:  55000 done, 7.23 ms/combo, 3 min left
    shard   23:  55000 done, 7.25 ms/combo, 3 min left
    shard   16:  60000 done, 7.22 ms/combo, 3 min left
    shard   17:  60000 done, 7.23 ms/combo, 3 min left
