sep,residual,median_run,diagonal,trending,range,drifting,run_trending,run_drifting,run_range,N,lookback,surr,corr
0.24888459785505884,0.0814343718926086,42.0,0.9825071464555514,0.3056764619652241,0.5962878599941364,0.09803567804063959,37.0,21.5,56.0,31,171.0,0.26457769888805854,-0.0156931010329997
0.24277666628243827,0.08325737487570439,43.0,0.9829662642851215,0.3068605518269948,0.595688427903193,0.09745102026981221,39.0,23.0,56.0,32,177.0,0.2611721938896696,-0.018395527607231343
0.24334283920435856,0.08567078223400726,44.0,0.9834204999689407,0.30669627179318704,0.5942587201069409,0.09904500809987199,40.0,22.0,57.0,33,182.0,0.25310505755374096,-0.009762218349382401
0.22610144468052007,0.0874834272456082,44.0,0.9836180768683718,0.3042634339031533,0.5935322027741833,0.1022043633226634,40.0,22.0,56.0,34,187.0,0.24597681994047216,-0.01987537525995209
0.23249044140838715,0.08974146503148828,44.0,0.9838757464964246,0.30446062812926716,0.5902253072371415,0.10531406463359126,40.0,23.0,57.0,35,193.0,0.2372732679334181,-0.004782826525030953
0.22443124903156036,0.09095334769638719,44.0,0.9841812151013174,0.2998530132288094,0.5890067568337455,0.11114022993744517,39.0,23.0,57.0,36,197.0,0.23154293467883638,-0.007111685647276017
0.2173164674106065,0.09347033476963873,45.0,0.9844344898760039,0.30437614259597806,0.5864945155393053,0.10912934186471664,40.0,23.5,58.0,37,204.0,0.2233077217114648,-0.005991254300858284
0.22171995082031404,0.09483758700696054,45.0,0.984583518248962,0.3006705726186662,0.5895889595825514,0.10974046779878244,40.0,24.0,57.0,38,211.0,0.21762228167159572,0.004097669148718314
0.22698806573039954,0.09877361617500824,46.0,0.9849002235037518,0.29970807282089,0.5884976094152262,0.11179431776388378,41.0,24.0,59.0,39,218.0,0.21528506515382756,0.011703000576571976
0.20842660645496752,0.09977833941000991,46.0,0.9849989026855236,0.2986503434547986,0.5880268320465764,0.11332282449862503,42.0,24.0,58.0,40,225.0,0.2097754852110434,-0.0013488787560758664
