classifier,pair,real,surrogate,corrected
shape3 alone,EURCHF,0.3741880941065836,0.3295115838506524,0.04467651025593122
shape3 alone,EURJPY,0.23836812816822506,0.32172910981897235,-0.08336098165074729
shape3 alone,GBPAUD,0.32459193300177647,0.3166429181810938,0.007949014820682665
shape3 alone,GBPNZD,0.37627430266161,0.3338058231289279,0.04246847953268207
shape3 alone,GBPUSD,0.3515859194949865,0.3129930529050124,0.03859286658997413
shape3 alone,GBPCAD,0.24930337314681567,0.33352598594794647,-0.0842226128011308
shape3 alone,GBPCHF,0.4278104191534184,0.3246204289945666,0.10318999015885177
shape3 alone,GBPJPY,0.3292318185250027,0.32935182696252613,-0.00012000843752341117
shape3 alone,AUDNZD,0.26618724360354556,0.35578087531472613,-0.08959363171118057
shape3 alone,AUDUSD,0.34754945449090924,0.3567580730106038,-0.009208618519694567
shape3 alone,AUDCAD,0.324979286683453,0.3355945270097359,-0.010615240326282915
shape3 alone,AUDCHF,0.3367295288344391,0.3450537564164535,-0.008324227582014454
shape3 alone,AUDJPY,0.36705141328802704,0.3439825025356191,0.023068910752407967
shape3 alone,NZDUSD,0.25870098117497736,0.34148178570182697,-0.0827808045268496
shape3 alone,NZDCAD,0.3042300598528488,0.36304699087253295,-0.05881693101968416
shape3 alone,NZDCHF,0.18415519374709802,0.32904360048374026,-0.14488840673664224
shape3 alone,NZDJPY,0.32301918500591437,0.3306038168719817,-0.007584631866067337
shape3 alone,USDCAD,0.266878709433015,0.32700392996764494,-0.06012522053462993
shape3 alone,USDCHF,0.6283944806752323,0.32848101997600015,0.29991346069923214
shape3 alone,USDJPY,0.3309530135988591,0.35611522830466436,-0.025162214705805264
shape3 alone,CADCHF,0.2299876477200558,0.33478408477277516,-0.10479643705271935
shape3 alone,CADJPY,0.24392746238011026,0.35180882237412187,-0.1078813599940116
shape3 alone,CHFJPY,0.13714354337445922,0.32817586108000046,-0.19103231770554124
activity alone,EURGBP,0.1826102993208046,0.1951781170964709,-0.01256781777566629
activity alone,EURAUD,0.22889076416504883,0.20654116290137559,0.022349601263673247
activity alone,EURNZD,0.3130116692107336,0.21676553181302483,0.09624613739770876
activity alone,EURUSD,0.40019519138075604,0.21308800892064017,0.18710718246011587
activity alone,EURCAD,0.1588268777526501,0.2098008279447483,-0.050973950192098216
activity alone,EURCHF,0.3439393129675708,0.2467636423834692,0.09717567058410159
activity alone,EURJPY,0.24051184333745063,0.21158477996352043,0.028927063373930195
activity alone,GBPAUD,0.1539544527460071,0.21920583040662828,-0.06525137766062117
activity alone,GBPNZD,0.19640527009616737,0.21755164651492312,-0.021146376418755747
activity alone,GBPUSD,0.17266905200737914,0.2064571962622738,-0.03378814425489465
activity alone,GBPCAD,0.22167741252909745,0.21301373817618519,0.008663674352912265
activity alone,GBPCHF,0.19102829022894408,0.21807612978998633,-0.02704783956104226
activity alone,GBPJPY,0.18540266458983068,0.21653913692515933,-0.031136472335328652
activity alone,AUDNZD,0.49579932150127726,0.20554015594969605,0.2902591655515812
activity alone,AUDUSD,0.29866609038724107,0.22473638423547443,0.07392970615176664
activity alone,AUDCAD,0.21903037046359247,0.1938376212465973,0.02519274921699516
activity alone,AUDCHF,0.23521449872923533,0.2162129097453475,0.019001588983887846
activity alone,AUDJPY,0.22847336706598753,0.19873897013422098,0.02973439693176655
activity alone,NZDUSD,0.3552733047647665,0.21767907439237696,0.13759423037238952
activity alone,NZDCAD,0.1336208662520394,0.19965207722437778,-0.06603121097233838
activity alone,NZDCHF,0.2090007761451244,0.22599835591334078,-0.016997579768216364
activity alone,NZDJPY,0.2295088507309278,0.22111871478083706,0.008390135950090749
activity alone,USDCAD,0.21834814296781135,0.22918847017038177,-0.010840327202570416
activity alone,USDCHF,0.16330693072827568,0.20622665354542127,-0.042919722817145595
activity alone,USDJPY,0.3861922138603397,0.2450282595603183,0.1411639543000214
activity alone,CADCHF,0.34071494103867933,0.19369063416177468,0.14702430687690465
activity alone,CADJPY,0.2321736406456255,0.2298046913760889,0.0023689492695366243
activity alone,CHFJPY,0.17962663782135707,0.22561031006134438,-0.04598367223998731
nine-box (as shipped),EURGBP,0.6452862744265541,0.7855747667861795,-0.14028849235962548
nine-box (as shipped),EURAUD,0.9338083777846429,0.7958447919759202,0.1379635858087227
nine-box (as shipped),EURNZD,0.897999081778482,0.8124631514807661,0.08553593029771589
nine-box (as shipped),EURUSD,0.8268672837232742,0.7762996850107895,0.05056759871248473
nine-box (as shipped),EURCAD,0.8273182368556199,0.8038143051384612,0.0235039317171587
nine-box (as shipped),EURCHF,0.7993651939658212,0.86282234110397,-0.06345714713814887
nine-box (as shipped),EURJPY,0.6987572235360866,0.8067369643057656,-0.10797974076967898
nine-box (as shipped),GBPAUD,0.7379945101455091,0.8018437370290782,-0.06384922688356909
nine-box (as shipped),GBPNZD,0.8975013160660715,0.8118759665502033,0.0856253495158682
nine-box (as shipped),GBPUSD,0.49804400930934545,0.7927176572771393,-0.29467364796779383
nine-box (as shipped),GBPCAD,0.7637678616729737,0.7904578891082803,-0.026690027435306574
nine-box (as shipped),GBPCHF,0.6673261403101014,0.8019979661854062,-0.1346718258753048
nine-box (as shipped),GBPJPY,0.7176639799502578,0.7989122588666687,-0.08124827891641095
nine-box (as shipped),AUDNZD,0.8701591810484804,0.7689670203750611,0.1011921606734193
nine-box (as shipped),AUDUSD,0.8779731393464212,0.8255021523845318,0.05247098696188934
nine-box (as shipped),AUDCAD,0.7348800679351388,0.7700789678263325,-0.035198899891193625
nine-box (as shipped),AUDCHF,0.7595906507762643,0.8462422991570306,-0.08665164838076633
nine-box (as shipped),AUDJPY,0.7701066394230267,0.7891732336211964,-0.019066594198169695
nine-box (as shipped),NZDUSD,0.8337898627169329,0.7710893674204938,0.06270049529643906
nine-box (as shipped),NZDCAD,0.684510477704526,0.7661485636591635,-0.08163808595463751
nine-box (as shipped),NZDCHF,0.7267761044362224,0.7941212729916245,-0.06734516855540207
nine-box (as shipped),NZDJPY,0.7338468684557112,0.8112137219443559,-0.0773668534886447
nine-box (as shipped),USDCAD,0.6406189037402557,0.7991000503872681,-0.1584811466470124
nine-box (as shipped),USDCHF,0.7135311007607827,0.7610720159010709,-0.04754091514028813
