indicator,parameter,default,grid_points,response_R,response_max_R,n_combos,note,n_measurements,rank_in_indicator,in_cap6,is_top1
hieken_ashi_smoothed_signals,frama_t2_a,1.0,6,0.0,0.0,16,,2,13,False,False
hieken_ashi_smoothed_signals,frama_t2_b,168.0,13,0.0,0.0,16,,2,14,False,False
hieken_ashi_smoothed_signals,lsma_offset1,0.0,1,0.0,,0,single-point grid,2,15,False,False
hieken_ashi_smoothed_signals,lsma_offset2,0.0,1,0.0,,0,single-point grid,2,16,False,False
hma_baseline,ma_length,20.0,13,0.1348291624794617,0.2172340854202327,8,,1,1,True,True
ichimoku_exit,base_len,26.0,13,0.0447674176724612,0.063742132088036,8,,1,1,True,True
ichimoku_exit,conversion_len,9.0,11,0.0331223360132975,0.0736999755041487,8,,1,2,True,False
ichimoku_exit,displacement,26.0,13,0.0,0.0,8,,1,3,True,False
ichimoku_exit,span_b_len,52.0,13,0.0,0.0,8,,1,4,True,False
ichimoku_signals,base_len,26.0,13,0.1219381304732855,0.3185579147997206,16,,2,1,True,True
ichimoku_signals,displacement,26.0,13,0.10694040211958356,0.1933265366339297,16,,2,2,True,False
ichimoku_signals,span_b_len,52.0,13,0.0751062361678334,0.1987896061219494,16,,2,3,True,False
ichimoku_signals,conversion_len,9.0,11,0.07467793770780135,0.1549550355612042,16,,2,4,True,False
j_tpo_exit,len,40.0,13,0.0498130419366443,0.0760761617648296,8,,1,1,True,True
j_tpo_exit,ema_len,200.0,13,0.0,0.0,8,,1,2,True,False
j_tpo_signals,len,40.0,13,0.1257526379248182,0.3208962649421118,16,,2,1,True,True
j_tpo_signals,ema_len,200.0,13,0.0,0.0,16,,2,2,True,False
kalman_filter_exit,k,1.0,6,0.0406404519018861,0.1421186568855848,8,,1,1,True,True
kalman_filter_exit,sharpness,1.0,6,0.0148306243185622,0.0285223139014961,7,,1,2,True,False
kalman_filter_signals,sharpness,1.0,6,0.0925399436297145,0.3176920425215151,15,,2,1,True,True
kalman_filter_signals,k,1.0,6,0.07541909550073014,0.1313070497444621,16,,2,2,True,False
kama_baseline,length,10.0,11,0.1796402671290189,0.2743162959428583,8,,1,1,True,True
kama_baseline,fast_length,2.0,6,0.1671196855635989,0.2424218290294656,8,,1,2,True,False
kama_baseline,slow_length,30.0,13,0.0482764799640935,0.0816371387836139,8,,1,3,True,False
kase_peak_oscillator_exit,short_cycle,8.0,11,0.0384965120004853,0.0806512833457769,8,,1,1,True,True
kase_peak_oscillator_exit,long_cycle,65.0,13,0.0354807228126884,0.0779185444602458,8,,1,2,True,False
kase_peak_oscillator_exit,sharpness,40.0,13,0.0,0.0,8,,1,3,True,False
kase_peak_oscillator_signals,long_cycle,65.0,13,0.08920469192579811,0.1942957538848398,16,,2,1,True,True
kase_peak_oscillator_signals,short_cycle,8.0,11,0.0844513380007052,0.1492643317032029,16,,2,2,True,False
kase_peak_oscillator_signals,sharpness,40.0,13,0.0,0.0,16,,2,3,True,False
kuskus_starlight_exit,index_smooth,0.7,13,0.1003158545029015,0.1711081392073555,8,,1,1,True,True
kuskus_starlight_exit,price_smooth,0.7,13,0.093706829649071,0.171982747644018,8,,1,2,True,False
kuskus_starlight_exit,range_periods,30.0,13,0.0406825228518296,0.0705140094586993,8,,1,3,True,False
kuskus_starlight_signals,range_periods,30.0,13,0.1373841141586074,0.3289173194344446,16,,2,1,True,True
kuskus_starlight_signals,price_smooth,0.7,13,0.11686798528950265,0.2674323642370316,16,,2,2,True,False
kuskus_starlight_signals,index_smooth,0.7,13,0.111133679511911,0.2873218695411864,16,,2,3,True,False
laguerre_filter_exit,alpha,0.2,13,0.0757790580293227,0.1463880093777765,8,,1,1,True,True
laguerre_filter_signals,alpha,0.2,13,0.14009196169658633,0.2546052198681562,16,,2,1,True,True
lemantrend_exit,fast_period,34.0,13,0.051500587257141,0.0855016159284896,8,,1,1,True,True
lemantrend_exit,smooth,3.0,8,0.0390053740972065,0.081425475768889,8,,1,2,True,False
lemantrend_exit,slow_period,13.0,12,0.0367821163211273,0.0817833772660756,8,,1,3,True,False
lemantrend_exit,medium_period,21.0,13,0.0060077404363342,0.0201713377185337,8,,1,4,True,False
lemantrend_signals,fast_period,34.0,13,0.09055378663448305,0.1373215701136592,16,,2,1,True,True
lemantrend_signals,slow_period,13.0,12,0.0659539998031986,0.1737607586788373,16,,2,2,True,False
lemantrend_signals,smooth,3.0,8,0.042471972340443254,0.0978376175155653,16,,2,3,True,False
lemantrend_signals,medium_period,21.0,13,0.0195356667092889,0.0341200700998765,16,,2,4,True,False
linreg_slope_exit,length,14.0,12,0.0666591538974805,0.1112212378131599,8,,1,1,True,True
linreg_slope_exit,r2_floor,0.2,13,0.0,0.0,8,,1,2,True,False
linreg_slope_signals,length,14.0,12,0.11181515930327274,0.1754383993611066,16,,2,1,True,True
linreg_slope_signals,r2_floor,0.2,13,0.0882971246864017,0.1662670132018355,16,,2,2,True,False
lsma_baseline,length,20.0,13,0.1303721437853175,0.1826311826657172,8,,1,1,True,True
lsma_baseline,lsma_offset,0.0,1,0.0,,0,single-point grid,1,2,True,False
mama_fama_exit,fast_limit,0.5,13,0.0539824576317239,0.0963015662348088,8,,1,1,True,True
mama_fama_exit,slow_limit,0.05,13,0.0275513220594843,0.0538902218770758,8,,1,2,True,False
mama_fama_signals,fast_limit,0.5,13,0.1411323659795875,0.2737898062526333,16,,2,1,True,True
mama_fama_signals,slow_limit,0.05,13,0.08907084618945665,0.196771468566092,16,,2,2,True,False
mass_index_volume_signals,ema_length,9.0,11,0.1320437802115669,0.2270481094196386,8,,1,1,True,True
mass_index_volume_signals,length,25.0,13,0.1093206021650074,0.2469341029665974,8,,1,2,True,False
mcginley_dynamic_index,mci_length,14.0,12,0.1487773231098724,0.2268524428270411,8,,1,1,True,True
parabolic_sar_exit,sar_increment,0.02,13,0.0410199847743292,0.0875622943927067,8,,1,1,True,True
parabolic_sar_exit,sar_start,0.02,13,0.0356509117558252,0.0709112154138666,8,,1,2,True,False
parabolic_sar_exit,sar_maximum,0.2,13,0.0178547091187318,0.0333399182107319,8,,1,3,True,False
parabolic_sar_signals,sar_increment,0.02,13,0.0892779318148509,0.185671646337758,16,,2,1,True,True
parabolic_sar_signals,sar_maximum,0.2,13,0.08503210490503985,0.1969942627175609,16,,2,2,True,False
parabolic_sar_signals,sar_start,0.02,13,0.0667758973280719,0.1176427010234102,16,,2,3,True,False
polychromatic_momentum_exit,len,14.0,12,0.0622260247647991,0.1092974321614051,8,,1,1,True,True
polychromatic_momentum_signals,len,14.0,12,0.11724248556072525,0.159560590648193,16,,2,1,True,True
price_momentum_oscillator_exit,s1,35.0,13,0.0154065354599652,0.0304094004630576,8,,1,1,True,True
price_momentum_oscillator_exit,s2,20.0,13,0.0123459456169592,0.0255986556239051,8,,1,2,True,False
price_momentum_oscillator_exit,sig,10.0,11,0.0,0.0,8,,1,3,True,False
price_momentum_oscillator_signals,s1,35.0,13,0.09120568525262146,0.1903711971299384,16,,2,1,True,True
price_momentum_oscillator_signals,s2,20.0,13,0.07516152512910845,0.1294318902924223,16,,2,2,True,False
price_momentum_oscillator_signals,sig,10.0,11,0.0,0.0,16,,2,3,True,False
qqe_mod_exit,fast_factor,1.61,13,0.0481004184544454,0.096753027880667,8,,1,1,True,True
qqe_mod_exit,rsi_period,6.0,10,0.0432264683233213,0.0994646346034203,8,,1,2,True,False
qqe_mod_exit,rsi_len,5.0,10,0.0401882011629982,0.0646648461808527,8,,1,3,True,False
qqe_mod_signals,fast_factor,1.61,13,0.1066205401231589,0.221360324668714,16,,2,1,True,True
qqe_mod_signals,rsi_period,6.0,10,0.0873858147889923,0.1604693010675029,16,,2,2,True,False
qqe_mod_signals,rsi_len,5.0,10,0.0782634846949446,0.174091789943165,16,,2,3,True,False
relative_vigor_index_exit,len,10.0,11,0.0697303630521741,0.1071779803908292,8,,1,1,True,True
relative_vigor_index_signals,len,10.0,11,0.1082394665886406,0.1665820876618125,16,,2,1,True,True
rex_oscillator_exit,sigSmooth,22.0,13,0.1192575615619488,0.2251144579391006,8,,1,1,True,True
rex_oscillator_exit,smooth,14.0,12,0.109967277683229,0.1783345337721487,8,,1,2,True,False
rex_oscillator_signals,sigSmooth,22.0,13,0.11303309175540825,0.203343629783722,16,,2,1,True,True
rex_oscillator_signals,smooth,14.0,12,0.11203029957150595,0.2515062536654738,16,,2,2,True,False
rex_oscillator_signals,almaOffset,0.85,13,0.0,0.0,16,,2,3,True,False
rex_oscillator_signals,almaSigma,6.0,10,0.0,0.0,16,,2,4,True,False
rex_oscillator_signals,framaFast,34.0,13,0.0,0.0,16,,2,5,True,False
rex_oscillator_signals,framaSlow,89.0,13,0.0,0.0,16,,2,6,True,False
rex_oscillator_signals,jurikPhase,1.0,6,0.0,0.0,16,,2,7,False,False
rex_oscillator_signals,jurikPower,1.0,6,0.0,0.0,16,,2,8,False,False
rex_oscillator_signals,lsOffset,0.0,1,0.0,,0,single-point grid,2,9,False,False
rex_oscillator_signals,modFBW,0.5,13,0.0,0.0,16,,2,10,False,False
rex_oscillator_signals,modFilter,0.8,13,0.0,0.0,16,,2,11,False,False
rex_oscillator_signals,sigAlmaOff,0.85,13,0.0,0.0,16,,2,12,False,False
rex_oscillator_signals,sigAlmaSig,6.0,10,0.0,0.0,16,,2,13,False,False
rex_oscillator_signals,sigFramaFast,34.0,13,0.0,0.0,16,,2,14,False,False
rex_oscillator_signals,sigFramaSlow,89.0,13,0.0,0.0,16,,2,15,False,False
rex_oscillator_signals,sigJurikPhase,1.0,6,0.0,0.0,16,,2,16,False,False
rex_oscillator_signals,sigJurikPower,1.0,6,0.0,0.0,16,,2,17,False,False
rex_oscillator_signals,sigLsOff,0.0,1,0.0,,0,single-point grid,2,18,False,False
rex_oscillator_signals,sigModFBW,0.5,13,0.0,0.0,16,,2,19,False,False
rex_oscillator_signals,sigModFilter,0.8,13,0.0,0.0,16,,2,20,False,False
rex_oscillator_signals,sigVolAdj,10.0,11,0.0,0.0,16,,2,21,False,False
rex_oscillator_signals,volAdj,10.0,11,0.0,0.0,16,,2,22,False,False
rma_baseline,ma_length,20.0,13,0.1822337454627686,0.3158724598710967,8,,1,1,True,True
schaff_trend_cycle_exit,macdFast,23.0,13,0.0492928112528339,0.0801648998194342,8,,1,1,True,True
schaff_trend_cycle_exit,macdSlow,50.0,13,0.0420269014814999,0.069241979268034,8,,1,2,True,False
schaff_trend_cycle_exit,cycleLen,10.0,11,0.0391644970639221,0.0920547361784674,8,,1,3,True,False
schaff_trend_cycle_exit,d1,3.0,8,0.0233867134905493,0.0407641286797002,8,,1,4,True,False
schaff_trend_cycle_exit,d2,3.0,8,0.0214364958303413,0.0403368671491163,8,,1,5,True,False
schaff_trend_cycle_exit,upperBand,75.0,13,0.0182269783334069,0.0433355197633637,8,,1,6,True,False
schaff_trend_cycle_exit,lowerBand,25.0,13,0.0162758505353526,0.0313863276130358,8,,1,7,False,False
schaff_trend_cycle_signals,macdFast,23.0,13,0.1265924472127843,0.2536151872481499,16,,2,1,True,True
schaff_trend_cycle_signals,macdSlow,50.0,13,0.11034247234069194,0.2742952449105495,16,,2,2,True,False
schaff_trend_cycle_signals,cycleLen,10.0,11,0.10383559608672915,0.191331283806997,16,,2,3,True,False
schaff_trend_cycle_signals,stc_midline,50.0,13,0.09830371048049895,0.3114084849586885,16,,2,4,True,False
schaff_trend_cycle_signals,d2,3.0,8,0.07688749164798239,0.1660987413185073,16,,2,5,True,False
schaff_trend_cycle_signals,d1,3.0,8,0.0719799004615153,0.191929332380663,16,,2,6,True,False
schaff_trend_cycle_signals,lowerBand,25.0,13,0.02852337090721495,0.1017347566268154,16,,2,7,False,False
schaff_trend_cycle_signals,upperBand,75.0,13,0.02442058772366485,0.1446357067629764,16,,2,8,False,False
sma_baseline,length,20.0,13,0.1603871391916545,0.1947521236016192,8,,1,1,True,True
ssl_channel_exit,len,10.0,11,0.0358201982372819,0.0650883002778633,8,,1,1,True,True
ssl_channel_signals,len,10.0,11,0.09095455049149205,0.1742662216939915,16,,2,1,True,True
super_smoother_2pole_baseline,cutoff_period,15.0,12,0.1253532894598873,0.1788791336614351,8,,1,1,True,True
supertrend_exit,factor,3.0,8,0.0016361798643841,0.005113301581069,8,,1,1,True,True
supertrend_exit,atr_period,10.0,11,0.0007192387777327,0.002099883035834,8,,1,2,True,False
supertrend_signals,factor,3.0,8,0.14254784776616636,0.2042113206440239,16,,2,1,True,True
supertrend_signals,atr_period,10.0,11,0.0702127197232168,0.1463755300347027,16,,2,2,True,False
t3_baseline,length,10.0,11,0.1543174498825738,0.2030358487643099,8,,1,1,True,True
t3_baseline,volume_factor,0.7,13,0.1519657078268943,0.2346559289539467,8,,1,2,True,False
tma_baseline,length,20.0,13,0.144105568200783,0.1955795096795194,8,,1,1,True,True
trend_direction_force_index_exit,lookback,13.0,12,0.0552087067003578,0.0711995091361206,8,,1,1,True,True
trend_direction_force_index_exit,fhigh,0.05,13,0.0352244644206249,0.059922649285441,8,,1,2,True,False
trend_direction_force_index_exit,flow,-0.05,13,0.027196121823227,0.0464752378345373,8,,1,3,True,False
trend_direction_force_index_signals,lookback,13.0,12,0.1337666073924509,0.2347080415917743,16,,2,1,True,True
