stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
allon,POOLED,0,A-chop,graded-fail,117,-0.0920759961030304,0.1535329345144233,-0.0469164772894682,0.37606837606837606,0.93709891416516
allon,POOLED,0,A-chop,all,140,-0.04163505516826975,0.1486049566895703,-0.0415450516284712,0.37142857142857144,0.9439660967060942
allon,POOLED,0,A-trend,graded-pass,88,0.1683966660376489,0.2137147716182125,-0.08032874786612909,0.2840909090909091,0.8258783240608191
allon,POOLED,0,A-trend,graded-fail,362,-0.0762811045794998,0.29139548258681724,-0.0495117984568173,0.36187845303867405,0.8755593401125243
allon,POOLED,0,A-trend,all,450,-0.0397763287782128,0.2770978399389318,-0.051319743661553105,0.3466666666666667,0.8654133491394534
allon,POOLED,0,B-chop,graded-pass,21,0.2128649650052169,0.1747854632970346,0.00413180309599,0.5238095238095238,1.034734084247354
allon,POOLED,0,B-chop,graded-fail,119,-0.0741659042471279,0.1464237046545321,-0.0272153777662487,0.42857142857142855,0.9343491440145134
allon,POOLED,0,B-chop,all,140,-0.04961257721392875,0.15390391052529884,-0.0234777189902865,0.44285714285714284,0.94824729479448
allon,POOLED,0,B-trend,graded-pass,101,0.1348320437104286,0.2172112383891585,-0.0199881810760966,0.38613861386138615,0.9253357069898578
allon,POOLED,0,B-trend,graded-fail,419,-0.046094070799367,0.2694625291299886,-0.0138751806320749,0.4486873508353222,0.9419840723799153
allon,POOLED,0,B-trend,all,520,-0.019003847156529002,0.25508335228262086,-0.014624227736266749,0.43653846153846154,0.9388227499851407
