b,f,n,retention,best_to,med_to
regime-v5,pr_streakvol,34,0.5294117647058824,10.8,4.015
regime-v5,ps_exceed3,34,0.5294117647058824,16.15,6.645
regime-v5,pr_rangeratio,34,0.5294117647058824,9.08,3.605
regime-v5,pr_ljungabs,34,0.5294117647058824,8.8,2.535
trend-duration,oc_bd,538,0.5241635687732342,16.63,3.08
trend-duration,hz_dd,600,0.5183333333333333,18.58,5.52
trend-duration,oc_lo,540,0.5037037037037037,14.56,3.0949999999999998
trend-duration,xsk,741,0.5020242914979757,19.13,4.3
regime-v5,absmean,34,0.5,11.2,3.705
regime-v5,ps_ljungabs,34,0.5,8.57,1.98
regime-v5,zs_ljungabs,34,0.5,10.13,1.76
regime-v5,pr_rmean,34,0.5,6.23,1.525
regime-v5,zz_absac1,34,0.5,12.0,3.71
regime-v5,zs_jumpratio,34,0.5,7.67,1.915
regime-v5,streakvol,34,0.5,11.28,3.685
regime-v5,archlm,34,0.5,7.93,2.2199999999999998
regime-v5,pr_downshare,34,0.5,6.2,1.5
regime-v5,halfsplit,34,0.5,7.05,1.865
regime-v5,pr_gini,34,0.5,11.66,3.365
regime-v5,pr_halfsplit,34,0.5,3.93,1.355
regime-v5,pr_upcap,34,0.5,6.46,1.545
trend-duration,eg,468,0.4935897435897436,20.84,3.895
trend-duration,ptv,741,0.4925775978407557,16.29,3.52
trend-duration,hz_lo,3361,0.4897351978577804,15.99,2.68
trend-duration,hz_bd,3361,0.48795001487652484,15.49,2.66
trend-duration,gp,312,0.483974358974359,17.47,3.83
trend-duration,bma,741,0.47908232118758437,15.55,2.74
trend-duration,cd_tv,382,0.47643979057591623,8.56,1.98
trend-duration,cd_rm,382,0.47643979057591623,9.05,1.9649999999999999
trend-duration,cd_up,382,0.47643979057591623,9.05,1.9649999999999999
trend-duration,cd_pq,382,0.47643979057591623,9.02,1.915
regime-v5,zz_convex,34,0.47058823529411764,6.98,2.0
regime-v5,ps_convex,34,0.47058823529411764,9.37,1.895
regime-v5,zs_trendvol,34,0.47058823529411764,8.83,1.96
regime-v5,ps_archlm,34,0.47058823529411764,6.65,1.995
regime-v5,medabs,34,0.47058823529411764,9.77,3.01
regime-v5,convex,34,0.47058823529411764,7.21,1.955
regime-v5,ps_bipow,34,0.47058823529411764,8.77,1.835
regime-v5,zs_whip,34,0.47058823529411764,6.17,2.34
regime-v5,pr_trendvol,34,0.47058823529411764,5.7,2.17
regime-v5,zz_rankmove,34,0.47058823529411764,6.29,1.67
regime-v5,ps_top3share,32,0.46875,10.3,2.6950000000000003
trend-duration,hz_fl,1440,0.4625,17.16,3.46
trend-duration,egt,156,0.46153846153846156,21.04,4.279999999999999
trend-duration,bpo,741,0.4507422402159244,16.1,2.99
trend-duration,pvv,741,0.44534412955465585,19.53,5.47
regime-v5,pr_posq,34,0.4411764705882353,5.3,1.34
regime-v5,zs_bipow,34,0.4411764705882353,7.46,1.8399999999999999
regime-v5,pr_archlm,34,0.4411764705882353,8.02,2.035
regime-v5,ljungabs,34,0.4411764705882353,9.51,2.46
regime-v5,ps_volrange,34,0.4411764705882353,9.47,2.05
regime-v5,ps_absac5,34,0.4411764705882353,6.32,1.63
regime-v5,zz_ljungabs,34,0.4411764705882353,8.73,2.33
regime-v5,ps_halfsplit,34,0.4411764705882353,8.22,1.685
regime-v5,trendvol,34,0.4411764705882353,7.47,2.0700000000000003
trend-duration,stu,80,0.4375,8.23,1.94
regime-v5,ps_streakvol,34,0.4117647058823529,9.51,3.025
regime-v5,zs_volrange,34,0.4117647058823529,7.08,2.065
regime-v5,ps_absmean,34,0.4117647058823529,9.25,2.88
regime-v5,zs_rankret,34,0.4117647058823529,4.78,1.0550000000000002
regime-v5,zs_convex,34,0.4117647058823529,6.7,2.12
regime-v5,pr_rankret,34,0.4117647058823529,4.09,0.95
regime-v5,bipow,34,0.4117647058823529,5.71,2.49
regime-v5,zs_top3share,32,0.40625,13.04,3.77
regime-v5,ps_rmean,34,0.38235294117647056,8.51,2.4749999999999996
regime-v5,ps_upcap,34,0.38235294117647056,8.51,2.4749999999999996
regime-v5,volrange,34,0.38235294117647056,8.81,2.3049999999999997
regime-v5,ps_trendvol,34,0.38235294117647056,8.27,2.455
regime-v5,ps_jumpratio,34,0.38235294117647056,8.51,1.26
regime-v5,zs_rmean,34,0.38235294117647056,9.71,2.09
regime-v5,zs_upcap,34,0.38235294117647056,9.71,2.09
regime-v5,zz_bipow,34,0.35294117647058826,6.53,2.51
regime-v5,zz_downshare,34,0.35294117647058826,6.03,2.065
regime-v5,zs_streakvol,34,0.35294117647058826,9.4,3.8150000000000004
regime-v5,zs_gini,34,0.35294117647058826,9.88,3.495
regime-v5,zz_volrange,34,0.35294117647058826,5.6,2.315
regime-v5,zz_trendvol,34,0.35294117647058826,6.76,2.055
regime-v5,zz_upcap,34,0.35294117647058826,6.04,2.015
regime-v5,pr_rankmove,34,0.35294117647058826,4.65,1.5750000000000002
regime-v5,ps_downshare,34,0.35294117647058826,7.74,2.715
regime-v5,ps_medabs,34,0.35294117647058826,6.55,2.2249999999999996
regime-v5,zs_downshare,34,0.35294117647058826,9.75,2.1100000000000003
regime-v5,zz_rmean,34,0.35294117647058826,6.04,2.015
regime-v5,zz_medabs,34,0.35294117647058826,10.2,3.015
trend-duration,st,80,0.35,4.31,0.96
regime-v5,zs_absmean,34,0.3235294117647059,9.14,3.975
regime-v5,ps_rankmove,34,0.3235294117647059,7.63,1.17
regime-v5,ps_gini,34,0.3235294117647059,10.52,2.485
regime-v5,pr_volrange,34,0.3235294117647059,6.29,2.365
regime-v5,downshare,34,0.29411764705882354,6.08,1.875
regime-v5,rmean,34,0.29411764705882354,6.14,1.8900000000000001
regime-v5,pr_medabs,34,0.29411764705882354,7.81,3.6950000000000003
regime-v5,posq,34,0.29411764705882354,9.06,1.3900000000000001
regime-v5,pr_convex,34,0.29411764705882354,8.16,1.95
regime-v5,zs_halfsplit,34,0.29411764705882354,6.78,1.7850000000000001
regime-v5,zs_rankmove,34,0.29411764705882354,4.24,1.745
regime-v5,upcap,34,0.29411764705882354,6.14,1.8900000000000001
regime-v5,rankret,31,0.2903225806451613,7.09,1.48
trend-duration,ptf,741,0.2807017543859649,19.38,6.0
trend-duration,sth,240,0.2791666666666667,3.89,1.02
regime-v5,zs_medabs,34,0.23529411764705882,7.98,3.275
regime-v5,zz_jumpratio,34,0.23529411764705882,6.65,3.065
