trades,hit_rate_pct,r_per_unit,worst_dip_R,member,period,dim,bucket,vs_all_r,dow_spread_real,dow_spread_null_mean,dow_spread_p
48,47.9,0.7587,2.887,g10,IS,entry_dow,Fri,0.3021,0.7875748454879368,0.40410390841358446,0.006
26,38.5,0.4558,3.0,g10,IS,holiday_window,any,-0.0008,0.7875748454879368,0.40410390841358446,0.006
118,28.8,0.0901,5.081,g10,OOS,all,all,,0.7875748454879368,0.40410390841358446,0.006
20,50.0,0.3675,2.443,g10,OOS,entry_dow,Mon,0.2774,0.7875748454879368,0.40410390841358446,0.006
14,14.3,-0.1687,3.214,g10,OOS,entry_dow,Tue,-0.2588,0.7875748454879368,0.40410390841358446,0.006
20,20.0,0.0942,2.626,g10,OOS,entry_dow,Wed,0.0041,0.7875748454879368,0.40410390841358446,0.006
28,14.3,-0.0769,4.095,g10,OOS,entry_dow,Thu,-0.167,0.7875748454879368,0.40410390841358446,0.006
36,38.9,0.1643,4.0,g10,OOS,entry_dow,Fri,0.0742,0.7875748454879368,0.40410390841358446,0.006
30,40.0,0.3625,4.126,g10,OOS,holiday_window,any,0.2724,0.7875748454879368,0.40410390841358446,0.006
89,48.3,0.6157,7.415,g11,IS,all,all,,0.4784112871272251,0.5723717364195152,0.62
5,60.0,1.2057,0.114,g11,IS,entry_dow,Mon,0.59,0.4784112871272251,0.5723717364195152,0.62
23,47.8,0.4906,3.731,g11,IS,entry_dow,Tue,-0.1251,0.4784112871272251,0.5723717364195152,0.62
17,41.2,0.4713,3.553,g11,IS,entry_dow,Wed,-0.1444,0.4784112871272251,0.5723717364195152,0.62
22,50.0,0.6747,3.256,g11,IS,entry_dow,Thu,0.059,0.4784112871272251,0.5723717364195152,0.62
22,50.0,0.6649,4.0,g11,IS,entry_dow,Fri,0.0492,0.4784112871272251,0.5723717364195152,0.62
21,52.4,0.6104,1.589,g11,IS,holiday_window,any,-0.0053,0.4784112871272251,0.5723717364195152,0.62
112,41.1,0.4008,7.767,g11,OOS,all,all,,0.4784112871272251,0.5723717364195152,0.62
10,50.0,0.6139,2.611,g11,OOS,entry_dow,Mon,0.2131,0.4784112871272251,0.5723717364195152,0.62
35,34.3,0.2446,5.308,g11,OOS,entry_dow,Tue,-0.1562,0.4784112871272251,0.5723717364195152,0.62
25,36.0,0.2385,5.157,g11,OOS,entry_dow,Wed,-0.1623,0.4784112871272251,0.5723717364195152,0.62
17,52.9,0.7707,3.098,g11,OOS,entry_dow,Thu,0.3699,0.4784112871272251,0.5723717364195152,0.62
25,44.0,0.445,3.72,g11,OOS,entry_dow,Fri,0.0442,0.4784112871272251,0.5723717364195152,0.62
28,39.3,0.3567,5.008,g11,OOS,holiday_window,any,-0.0441,0.4784112871272251,0.5723717364195152,0.62
94,47.9,0.5044,4.238,g12,IS,all,all,,0.16826970942480945,0.3974489888228427,0.959
24,33.3,0.4327,2.795,g12,IS,entry_dow,Mon,-0.0717,0.16826970942480945,0.3974489888228427,0.959
6,66.7,0.7915,1.0,g12,IS,entry_dow,Tue,0.2871,0.16826970942480945,0.3974489888228427,0.959
20,50.0,0.491,0.825,g12,IS,entry_dow,Wed,-0.0134,0.16826970942480945,0.3974489888228427,0.959
24,58.3,0.6341,1.501,g12,IS,entry_dow,Thu,0.1297,0.16826970942480945,0.3974489888228427,0.959
20,45.0,0.362,2.281,g12,IS,entry_dow,Fri,-0.1424,0.16826970942480945,0.3974489888228427,0.959
24,45.8,0.4994,3.825,g12,IS,holiday_window,any,-0.005,0.16826970942480945,0.3974489888228427,0.959
78,44.9,0.3828,3.076,g12,OOS,all,all,,0.16826970942480945,0.3974489888228427,0.959
6,66.7,0.32,0.073,g12,OOS,entry_dow,Mon,-0.0628,0.16826970942480945,0.3974489888228427,0.959
16,37.5,0.4623,1.488,g12,OOS,entry_dow,Tue,0.0795,0.16826970942480945,0.3974489888228427,0.959
18,44.4,0.359,1.898,g12,OOS,entry_dow,Wed,-0.0238,0.16826970942480945,0.3974489888228427,0.959
26,50.0,0.3476,1.617,g12,OOS,entry_dow,Thu,-0.0352,0.16826970942480945,0.3974489888228427,0.959
12,33.3,0.4201,0.876,g12,OOS,entry_dow,Fri,0.0373,0.16826970942480945,0.3974489888228427,0.959
10,20.0,0.1573,2.26,g12,OOS,holiday_window,any,-0.2255,0.16826970942480945,0.3974489888228427,0.959
98,46.9,0.9815,10.151,g13,IS,all,all,,0.7064107383051876,0.6160414565524411,0.327
17,35.3,0.4616,2.488,g13,IS,entry_dow,Mon,-0.5199,0.7064107383051876,0.6160414565524411,0.327
16,50.0,0.9206,2.799,g13,IS,entry_dow,Tue,-0.0609,0.7064107383051876,0.6160414565524411,0.327
17,35.3,0.5946,2.64,g13,IS,entry_dow,Wed,-0.3869,0.7064107383051876,0.6160414565524411,0.327
20,65.0,1.754,1.0,g13,IS,entry_dow,Thu,0.7725,0.7064107383051876,0.6160414565524411,0.327
28,46.4,1.0151,5.852,g13,IS,entry_dow,Fri,0.0336,0.7064107383051876,0.6160414565524411,0.327
19,47.4,1.0758,3.488,g13,IS,holiday_window,any,0.0943,0.7064107383051876,0.6160414565524411,0.327
135,31.1,0.2464,13.392,g13,OOS,all,all,,0.7064107383051876,0.6160414565524411,0.327
21,23.8,0.1326,4.255,g13,OOS,entry_dow,Mon,-0.1138,0.7064107383051876,0.6160414565524411,0.327
