stream,window,slice,yardstick,n,spearman,p
routed,POOLED,A-trend,profit_factor,450,0.010981111800285239,0.8163021650574581
routed,POOLED,A-trend,calmar,450,0.0013243192970500267,0.9776502428106392
routed,POOLED,A-trend,g3,450,0.010991752862517383,0.8161273288747903
routed,POOLED,B-chop,sortino,140,-0.039386849183267375,0.6440579049372236
routed,POOLED,B-chop,expectancy_R,140,-0.06969014454090225,0.413250119140957
routed,POOLED,B-chop,profit_factor,140,-0.03626861428790099,0.6705242257687396
routed,POOLED,B-chop,calmar,140,-0.07071352036911506,0.40640746307857145
routed,POOLED,B-chop,g3,140,-0.03467665500803547,0.6841963449003199
routed,POOLED,B-trend,sortino,511,0.07661583040750546,0.08358972158029498
routed,POOLED,B-trend,expectancy_R,520,0.06123446633137866,0.16322431205840343
routed,POOLED,B-trend,profit_factor,518,0.0628471620467864,0.15319579216625792
routed,POOLED,B-trend,calmar,520,0.049455804200459315,0.2602752356500269
routed,POOLED,B-trend,g3,520,0.10945908935478675,0.012505376936709618
allon,2011-2014,ALL,sortino,250,0.08857908126530024,0.16262856691555858
allon,2011-2014,ALL,expectancy_R,250,0.07519800316805068,0.23613437885004576
allon,2011-2014,ALL,profit_factor,250,0.06418393894302307,0.31211508718958236
allon,2011-2014,ALL,calmar,250,0.009437719003504055,0.8819648312729338
allon,2011-2014,ALL,g3,250,0.041114109300165354,0.5175756608454614
allon,2012-2015,ALL,sortino,249,-0.14161368052856588,0.025439947007305827
allon,2012-2015,ALL,expectancy_R,250,-0.1355015600249604,0.032224267958475605
allon,2012-2015,ALL,profit_factor,250,-0.1320570249123986,0.03691634507627589
allon,2012-2015,ALL,calmar,250,-0.13932472519560313,0.02762075985722132
allon,2012-2015,ALL,g3,250,-0.10549442354264334,0.0960522561629167
allon,2013-2016,ALL,sortino,250,0.38302500840013437,3.694642153611236e-10
allon,2013-2016,ALL,expectancy_R,250,0.3835856573705179,3.466060987795528e-10
allon,2013-2016,ALL,profit_factor,250,0.3506671146738347,1.2070209217970137e-08
allon,2013-2016,ALL,calmar,250,0.33628992463879415,5.033532630171122e-08
allon,2013-2016,ALL,g3,250,0.27944394586021837,7.259249032046803e-06
allon,2014-2017,ALL,sortino,250,0.06818451495223923,0.2828499007218702
allon,2014-2017,ALL,expectancy_R,250,0.12331243699899197,0.05148580839233857
allon,2014-2017,ALL,profit_factor,250,0.17147295156722506,0.0065718211011118206
allon,2014-2017,ALL,calmar,250,0.13415369845917532,0.033996028881792546
allon,2014-2017,ALL,g3,250,0.04163752960027489,0.5122539678745657
allon,2015-2018,ALL,sortino,250,0.036135362165794646,0.5695783016177189
allon,2015-2018,ALL,expectancy_R,250,0.025955359285748568,0.6829782763800532
allon,2015-2018,ALL,profit_factor,250,-0.0012975567609081742,0.9837136226628553
allon,2015-2018,ALL,calmar,250,-0.01166879470071521,0.854341804182982
allon,2015-2018,ALL,g3,250,-0.042652491945890346,0.5020160998881835
allon,POOLED,ALL,sortino,1249,0.0009333374391821151,0.9737126739822981
allon,POOLED,ALL,expectancy_R,1250,-0.010268476843825182,0.7168351038787362
allon,POOLED,ALL,profit_factor,1250,-0.014183119754981917,0.6163904592406055
allon,POOLED,ALL,calmar,1250,-0.037531683284277306,0.18481152921904428
allon,POOLED,ALL,g3,1250,-0.006996554304079414,0.8048145086895484
allon,POOLED,A-chop,sortino,140,0.12804006035293347,0.13165170768125783
allon,POOLED,A-chop,expectancy_R,140,0.14363998163171593,0.09043159179035101
allon,POOLED,A-chop,profit_factor,140,0.13452144059828128,0.11305262323010119
allon,POOLED,A-chop,calmar,140,0.11556712077146795,0.17392182209628662
allon,POOLED,A-chop,g3,140,0.11629833306428529,0.17119583529116011
allon,POOLED,A-trend,sortino,450,-0.045562759980707725,0.33487312231300415
allon,POOLED,A-trend,expectancy_R,450,-0.06345453557795348,0.17905042772194213
allon,POOLED,A-trend,profit_factor,450,-0.05400750950210455,0.2529056024605379
allon,POOLED,A-trend,calmar,450,-0.09816509381939337,0.03737589274354536
allon,POOLED,A-trend,g3,450,-0.08852415633043036,0.06060818964050633
allon,POOLED,B-chop,sortino,140,-0.03462858892217534,0.684610771966188
allon,POOLED,B-chop,expectancy_R,140,-0.032105136559445455,0.7064973007654634
allon,POOLED,B-chop,profit_factor,140,0.0032756773304760452,0.9693600293831103
allon,POOLED,B-chop,calmar,140,-0.037773064223393334,0.6577020012734878
allon,POOLED,B-chop,g3,140,0.10809799364944547,0.2036239545074465
allon,POOLED,B-trend,sortino,519,-0.022623353837226672,0.6070991139130409
allon,POOLED,B-trend,expectancy_R,520,-0.030950416009162523,0.48127813042694334
allon,POOLED,B-trend,profit_factor,520,-0.019187414905396532,0.6624539626560532
allon,POOLED,B-trend,calmar,520,-0.03421849250125242,0.43618478114824766
allon,POOLED,B-trend,g3,520,-0.006278671257094622,0.886422399802341
