slot,option,n_crossers,gate2_enrichment,gate1_enrichment
c2,ssl_channel_signals,68,1.218677795923305,1.2019678749230946
c2,parabolic_sar_signals,74,1.3532185397765844,1.1885923167189891
c2,price_momentum_oscillator_signals,31,0.5715450189782839,1.4150554931855122
c2,donchian_breakout_signals,44,0.8128943758573389,1.2503334524121423
c2,dspo_signals,50,0.9256482349265854,1.325037614290991
c2,kase_peak_oscillator_signals,34,0.6346752346752347,1.234935438883051
c2,polychromatic_momentum_signals,110,2.0619345859429368,1.2433824939569618
c2,relative_vigor_index_signals,69,1.2961011791555723,1.2715046791358078
c2,halftrend_signals,33,0.6290870488322717,1.216737217369018
c2,mama_fama_signals,39,0.7869050051072523,1.1497687093064548
c2,dpo_signals,40,0.8199806281998062,1.1518628115050658
c2,ichimoku_signals,21,0.43546084400587864,1.3598000672173225
c2,bears_bulls_impulse_signals,25,0.6116340516885477,1.0944946970874998
c2,schaff_trend_cycle_signals,43,1.1289119262803475,0.8378772724624329
c2,ehlers_reverse_ema_signals,35,0.9352904040404041,0.8466182413925856
c2,lemantrend_signals,26,0.7940424654710369,0.8374402648124444
c2,j_tpo_signals,33,1.1223484848484848,0.7037469926362762
c2,vortex_signals,48,1.6576223776223775,0.6334748803978143
c2,rex_oscillator_signals,29,1.0092435987784822,0.6352903466428065
c2,hieken_ashi_smoothed_signals,28,0.9976430976430978,0.6373122353455449
c2,kalman_filter_signals,28,0.9976430976430978,0.6552693475946935
c2,didi_index_signals,19,0.6934836166543483,0.6156176383346696
c2,qqe_mod_signals,21,0.7823840060354583,0.594403125789752
c2,coppock_curve_signals,20,0.7513630024090275,0.6003973747923341
c2,waddah_attar_explosion_signals,27,1.0228998849252013,0.656555119027863
c2,linreg_slope_signals,15,0.580525078369906,0.645557035975452
c2,volatility_quality_signals,43,1.7710453155407284,0.5278952107110251
c2,aroon_signals,24,1.0511751662971176,0.529395940490658
c2,trend_direction_force_index_signals,7,0.5281639928698754,0.5181095352082339
c2,adx_dmi_signals,3,0.3689912826899129,0.2143070284220978
c2,glitch_index_signals,1,0.2137806637806638,0.1435557515653753
vol,variance_volume_signals,881,1.3168490296674082,4.170821599324976
vol,chaikin_volatility_volume_signals,406,1.0702841687574511,2.345069033396511
vol,efficiency_ratio_volume_signals,86,0.45209353488042014,1.304928999982807
vol,waddah_attar_explosion_volume_signals,73,0.854565208802497,0.631370692741026
vol,fractal_dimension_volume_signals,28,0.33476173183230445,0.5476530234471545
vol,damiani_volatmeter_volume_signals,35,0.4948938200906705,0.4368846459671723
vol,choppiness_index_volume_signals,39,0.6253084415584416,0.3775649456257553
vol,volatility_ratio_volume_signals,45,0.8382685778951339,0.3301998965471989
vol,williams_vix_fix_volume_signals,47,1.1787794142542747,1.4246687630690331
vol,vertical_horizontal_filter_volume_signals,7,0.9820549242424245,0.0504071357624182
vol,mass_index_volume_signals,1,0.2040633608815427,0.0683048551676385
vol,ttm_squeeze_volume_signals,2,0.5441689623507805,0.0225127226725992
base,sma_baseline,232,1.032249151575217,2.314950857211745
base,tma_baseline,233,1.1766353069502675,2.1231823861549195
base,ema_baseline,246,1.2592826785529179,1.869399625277817
base,mcginley_dynamic_index,197,1.0142323463997776,1.9126771938972809
base,wma_baseline,204,1.1244154249679112,1.6624411340041425
base,rma_baseline,105,0.6247665522019398,1.7263116038564916
base,t3_baseline,100,0.6544306034101952,1.4278702213607135
base,kama_baseline,76,0.6038830785733441,1.1156556132441884
base,frama_baseline,99,1.3738794435857804,0.6116104444817106
base,fantail_vma,56,1.0410188844971455,0.5087223022231476
base,vidya,47,1.818978578892372,0.2114566975571554
base,super_smoother_2pole_baseline,24,1.0563279857397505,0.1919970444466296
base,lsma_baseline,12,0.5920079920079919,0.1721964738727764
base,hma_baseline,9,1.1544155844155846,0.0653985117528121
base,alma_baseline,10,1.4252044252044254,0.0555663027826927
