family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,2,10,nine-box,1,1.0631659298030016,0.9943796250582739,0.06878630474472769,3.142978638626457
mas,2,10,product M=5,3,0.853970190245609,0.886293156898958,-0.032322966653348995,-1.8451486825241639
mas,2,10,structural M=5,3,0.7619400470575182,0.7813675524442294,-0.01942750538671123,-1.1467141852121878
mas,2,10,nine-box,3,0.9952551262225227,1.0038519622285615,-0.008596836006038888,-0.7793456992443047
mas,2,13,product M=5,1,0.770414308112413,0.782146608712042,-0.011732300599629042,-0.3442398530763667
mas,2,13,structural M=5,1,0.6996149015358832,0.6702956427445357,0.029319258791347558,0.8452837858279111
mas,2,13,nine-box,1,1.0320068565579272,1.0029764814576585,0.029030375100268735,1.2424408278067551
mas,2,13,product M=5,3,0.8299850511725424,0.8646045733460914,-0.03461952217354902,-1.95015316291804
mas,2,13,structural M=5,3,0.738111922715362,0.7542544131491011,-0.016142490433739165,-0.9723177177304391
mas,2,13,nine-box,3,1.0117700462061117,1.0092750611562054,0.0024949850499063064,0.21239568956133079
mas,2,16,product M=5,1,0.739284363897633,0.7556725767000094,-0.016388212802376456,-0.5250894563728261
mas,2,16,structural M=5,1,0.6546618121062718,0.6445961131274204,0.010065698978851456,0.34496088278270554
mas,2,16,nine-box,1,1.0476076164708032,1.0122741440664924,0.03533347240431084,1.4091449721998814
mas,2,16,product M=5,3,0.8033743049277733,0.8274788164120881,-0.024104511484314806,-1.3049912427269892
mas,2,16,structural M=5,3,0.703829823965063,0.7151304080407626,-0.01130058407569956,-0.7289476846977977
mas,2,16,nine-box,3,0.9940875472395142,1.016339168115662,-0.022251620876147737,-1.6081183455091117
mas,2,21,product M=5,1,0.7130417313072354,0.7381876592078286,-0.025145927900593223,-0.876181032502462
mas,2,21,structural M=5,1,0.6695979115370114,0.6396498005045398,0.029948111032471636,1.0824502564215666
mas,2,21,nine-box,1,1.0662162756229618,1.0323726909890278,0.033843584633934,1.2330786262325082
mas,2,21,product M=5,3,0.7585366975345507,0.7903738035562211,-0.03183710602167045,-1.9627830280160217
mas,2,21,structural M=5,3,0.6685372314958777,0.6926218176937499,-0.024084586197872127,-1.301249220852192
mas,2,21,nine-box,3,1.011023709968559,1.0282265412581508,-0.01720283128959177,-1.44915068706103
mas,2,27,product M=5,1,0.7388467593014293,0.7236701417731564,0.015176617528272929,0.47893615465080697
mas,2,27,structural M=5,1,0.6682904791031286,0.640609763449845,0.02768071565328356,0.8648093468647418
mas,2,27,nine-box,1,1.1320489270188683,1.1014803339049544,0.03056859311391391,1.2752484560263293
mas,2,27,product M=5,3,0.7482349037825327,0.7644160570802736,-0.016181153297740947,-0.8678647715125496
mas,2,27,structural M=5,3,0.6792669183093266,0.6769626576173925,0.0023042606919341235,0.13286886669975095
mas,2,27,nine-box,3,1.03537032463808,1.0703498775075997,-0.03497955286951959,-2.625821473046981
mas,2,34,product M=5,1,0.7446417537564286,0.7137052298842154,0.03093652387221324,0.9863712662691804
mas,2,34,structural M=5,1,0.6871451208779246,0.6385498620204941,0.048595258857430434,1.3615312338448557
mas,2,34,nine-box,1,1.1639704153330608,1.1232620469373802,0.040708368395680594,1.4583869282713213
mas,2,34,product M=5,3,0.7407210620659057,0.7516072269870528,-0.010886164921147135,-0.6708883287239914
mas,2,34,structural M=5,3,0.6613867157766548,0.6679754649589086,-0.006588749182253828,-0.359800443097059
mas,2,34,nine-box,3,1.0402886119381778,1.084139513030466,-0.043850901092288286,-3.254577332835656
mas,2,44,product M=5,1,0.740201331983666,0.7114299136701742,0.028771418313491837,0.8393589263227681
mas,2,44,structural M=5,1,0.6690352242163922,0.639066035914934,0.029969188301458116,1.0522612994655647
mas,2,44,nine-box,1,1.1612102529428792,1.117407353401617,0.043802899541262263,1.5574060447606175
mas,2,44,product M=5,3,0.7215405934434704,0.743891283826257,-0.022350690382786587,-1.2706505356522981
mas,2,44,structural M=5,3,0.6415720751126661,0.6627728046520417,-0.021200729539375573,-1.2506794541306554
mas,2,44,nine-box,3,1.0356615272014102,1.0791210817568455,-0.043459554555435265,-3.3988270281824966
mas,2,56,product M=5,1,0.700141939092569,0.7116937582269092,-0.011551819134340113,-0.30596298957023155
mas,2,56,structural M=5,1,0.6749115862389302,0.642190388138472,0.03272119810045826,1.1849622805366307
mas,2,56,nine-box,1,1.1581851066659408,1.1071245437520347,0.05106056291390604,1.9836718709247496
mas,2,56,product M=5,3,0.7035825557384872,0.7393709405104995,-0.035788384772012294,-2.099065601756145
mas,2,56,structural M=5,3,0.6407865773549729,0.66110437295337,-0.02031779559839708,-1.1183212396019764
mas,2,56,nine-box,3,1.0313326708218313,1.073110277142089,-0.04177760632025773,-3.349991681410587
mas,2,72,product M=5,1,0.6709440439244496,0.6833923131651701,-0.012448269240720511,-0.37250800427563
