si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.01635442547350885,-5.622017619111796,-0.6926969686604842,0.8571428571428571,28,-0.013129179659834012,-3.8322643435037422,-0.8326718625666462,0.6785714285714286,28,0.6816528519007361,True,zz_coexmax_D60,regime-v5,5
-0.02450617741574257,-11.027138568895062,-0.7172765057147423,0.9285714285714286,28,-0.02009537300437725,-7.842522295706282,-0.8601486177580233,0.75,28,0.711201935725028,True,zz_coexmax_D60,regime-v5,10
-0.028510981402394553,-15.338600533459374,-0.8123839636833994,0.8928571428571429,28,-0.026699594978598556,-12.783584972935492,-0.9030882493792293,0.8571428571428571,28,0.8334257708224154,True,zz_coexmax_D60,regime-v5,15
-0.024277684760550117,-14.989027993659343,-0.9144164127275826,0.8214285714285714,28,-0.027896185471693452,-15.542504476920824,-0.9324096627624401,0.8928571428571429,28,1.0369254419629887,True,zz_coexmax_D60,regime-v5,20
-0.0030787413166342703,-1.0522180019546792,-0.4943438768895924,0.42857142857142855,28,-0.026269893803126776,-7.703072632356448,-0.6425656212827883,0.7857142857142857,28,7.3207953276285345,True,zz_coex3_D120,regime-v5,5
-0.01807647748880009,-8.07525941319442,-0.8191648587322587,0.75,28,-0.036430498980575154,-14.239795605476669,-0.8009406096960107,0.9285714285714286,28,1.7633855306505473,True,zz_coex3_D120,regime-v5,10
-0.023628683299652953,-12.608317937594816,-0.7275592615394915,0.8928571428571429,28,-0.03146373666339519,-14.989528491068734,-0.8891269072035837,0.9642857142857143,28,1.1888602877290833,True,zz_coex3_D120,regime-v5,15
-0.022380806590124397,-13.622910725144846,-0.6641323843863297,0.8571428571428571,28,-0.025598002946678328,-14.249728682994826,-0.9665622011038156,0.8928571428571429,28,1.0460120432774336,True,zz_coex3_D120,regime-v5,20
-0.0027508294909775466,-0.9348972026490462,-0.5082057510485392,0.5357142857142857,28,-0.014055484271031371,-4.1122329620011815,-0.600979153240757,0.7142857142857143,28,4.3985937174152445,True,zz_coex2_D150,regime-v5,5
-0.015774076674944182,-6.95091860658585,-0.8873402825478243,0.75,28,-0.022072224082646696,-8.633683959678025,-0.7936773594151516,0.7857142857142857,28,1.2420925129950149,True,zz_coex2_D150,regime-v5,10
-0.023370207995401127,-12.303707471595919,-0.9487199359369712,0.9285714285714286,28,-0.02460419943974526,-11.643392744321645,-0.9268941622210946,0.8214285714285714,28,0.9463320524485271,True,zz_coex2_D150,regime-v5,15
-0.020667839625954976,-12.592031517272735,-0.9011432657567865,0.8571428571428571,28,-0.023615473357007033,-12.862093365049885,-0.9710924047309529,0.8571428571428571,28,1.0214470435057839,True,zz_coex2_D150,regime-v5,20
0.0016815953175506326,0.5731000177734373,-0.31396337024288534,0.5714285714285714,28,-0.02212899251147682,-6.478600124817948,-0.6056705892666087,0.8214285714285714,28,11.30448425038982,False,zz_coex3_D150,regime-v5,5
-0.013673748279975528,-6.096294028014533,-0.9268178388089289,0.7142857142857143,28,-0.03356440261882487,-13.113674049540752,-0.8630113673555182,0.8928571428571429,28,2.151089496221636,True,zz_coex3_D150,regime-v5,10
-0.019555379385714722,-10.381502334116322,-0.9473934933444549,0.8571428571428571,28,-0.033441830291588565,-15.96552238324266,-0.929500909604861,0.9285714285714286,28,1.5378816927850407,True,zz_coex3_D150,regime-v5,15
