block,pair_a,pair_b,observed,expected,kappa,shared_leg
oos,AUDCAD,GBPCHF,0.34507809662186706,0.25309892098030234,0.12314773431882937,none
oos,AUDCAD,GBPJPY,0.3490737377406466,0.24737323837456848,0.1351274025207897,none
oos,AUDCAD,GBPNZD,0.24954594987286596,0.24369399746061787,0.007737545904170407,none
oos,AUDCAD,GBPUSD,0.295677442789684,0.24624367117125734,0.06558322594152077,none
oos,AUDCAD,NZDCAD,0.3374500544860153,0.2604930275185054,0.10406531625965927,CAD
oos,AUDCAD,NZDCHF,0.2611696331274973,0.24115910140758506,0.026369864561899693,none
oos,AUDCAD,NZDJPY,0.2905920813657828,0.2570622359730672,0.04513143228979819,none
oos,AUDCAD,NZDUSD,0.3432618961133309,0.2565572886903815,0.11662580869239282,none
oos,AUDCAD,USDCAD,0.2727933163821286,0.2519193472391971,0.027903367191620045,CAD
oos,AUDCAD,USDCHF,0.32546313112967673,0.24678912506898987,0.10445150047507341,none
oos,AUDCAD,USDJPY,0.29386124228114785,0.2431490713363713,0.06700417350919952,none
oos,AUDCHF,AUDJPY,0.3857609880130766,0.26770492026068315,0.1612137934812005,AUD
oos,AUDCHF,AUDNZD,0.30948056665455864,0.2939459499256433,0.022002021980157643,AUD
oos,AUDCHF,AUDUSD,0.36142390119869233,0.26807977137908134,0.12753320125540135,AUD
oos,AUDCHF,CADCHF,0.3447148565201598,0.28889634515541546,0.07849560466250702,CHF
oos,AUDCHF,CADJPY,0.2833272793316382,0.26940421894208066,0.0190571322070826,none
oos,AUDCHF,CHFJPY,0.3073011260443153,0.2688391054819964,0.05260404495193067,CHF
oos,AUDCHF,EURAUD,0.48129313476207775,0.2741186875487283,0.2854109117559863,AUD
oos,AUDCHF,EURCAD,0.33200145296040684,0.27820748068777856,0.07452830395622172,none
oos,AUDCHF,EURCHF,0.4453323646930621,0.2867303627690639,0.2223591102794236,CHF
oos,AUDCHF,EURGBP,0.2811478387213948,0.28196390847404984,-0.0011365302695589238,none
oos,AUDCHF,EURJPY,0.30911732655285146,0.2727853997798393,0.049960392382128814,none
oos,AUDCHF,EURNZD,0.33853977479113695,0.27281653841551057,0.09038054335341919,none
oos,AUDCHF,EURUSD,0.2895023610606611,0.2802858526754619,0.012805790214713115,none
oos,AUDCHF,GBPAUD,0.379949146385761,0.2792303057035557,0.139737896139652,AUD
oos,AUDCHF,GBPCAD,0.3000363240101707,0.29012645320780067,0.013960050838844619,none
oos,AUDCHF,GBPCHF,0.3483472575372321,0.2906617474659286,0.08132299345936193,CHF
oos,AUDCHF,GBPJPY,0.33054849255357793,0.2995287378600553,0.04428412180502176,none
oos,AUDCHF,GBPNZD,0.2382855067199419,0.24808322565654695,-0.01303032366203038,none
oos,AUDCHF,GBPUSD,0.3127497275699237,0.26512714261191667,0.06480384256845363,none
oos,AUDCHF,NZDCAD,0.2462767889575009,0.2758951731024465,-0.040903448015733215,none
oos,AUDCHF,NZDCHF,0.4130039956411188,0.2810794920549639,0.18350360314973926,CHF
oos,AUDCHF,NZDJPY,0.3374500544860153,0.262990583597407,0.10102919885617123,none
oos,AUDCHF,NZDUSD,0.3301852524518707,0.28252308448241714,0.06643024596139152,none
oos,AUDCHF,USDCAD,0.3323646930621141,0.2974028662586362,0.04976084462130446,none
oos,AUDCHF,USDCHF,0.341808935706502,0.27133916848495626,0.09671134247057554,CHF
oos,AUDCHF,USDJPY,0.22884126407555394,0.2730776543476858,-0.06085435471437562,none
oos,AUDJPY,AUDNZD,0.3047584453323647,0.2652296626115631,0.05379746664964327,AUD
oos,AUDJPY,AUDUSD,0.2775154377043226,0.24226623823774324,0.04651924098591105,AUD
oos,AUDJPY,CADCHF,0.23901198692335635,0.2580837415551295,-0.02570607452618629,none
oos,AUDJPY,CADJPY,0.38467126770795496,0.261651622263544,0.16661463497969686,JPY
oos,AUDJPY,CHFJPY,0.2818743189248093,0.2610648700905356,0.028161401443755046,JPY
oos,AUDJPY,EURAUD,0.3505266981474755,0.2599652540325523,0.12237458390758696,AUD
oos,AUDJPY,EURCAD,0.2855067199418816,0.25614958367248275,0.03946645135232794,none
oos,AUDJPY,EURCHF,0.29168180167090446,0.2609463849429391,0.04158753316644334,none
oos,AUDJPY,EURGBP,0.28296403922993096,0.256327707223992,0.03581729784030255,none
oos,AUDJPY,EURJPY,0.4002905920813658,0.25540463139705993,0.19458348358538766,JPY
oos,AUDJPY,EURNZD,0.28659644024700326,0.2602738695784634,0.03558421094782718,none
oos,AUDJPY,EURUSD,0.22993098438067563,0.2638323823075022,-0.04605119420097534,none
oos,AUDJPY,GBPAUD,0.3458045768252815,0.25541967294140966,0.12139040020158835,AUD
oos,AUDJPY,GBPCAD,0.22629858336360334,0.25951757017309257,-0.04486127620510102,none
oos,AUDJPY,GBPCHF,0.3272793316382129,0.26423494153391297,0.08568549074039203,none
oos,AUDJPY,GBPJPY,0.4239011986923356,0.2730021827391945,0.2075646066197295,JPY
