ticker,config,detector,logic,oos_sharpe,base_sharpe,n_obs,delta
EURAUD,c1,markov_naive,switch,0.4026304087705811,0.4026304087705811,2753,0.0
EURAUD,c1,markov_naive,switch_backwards,-0.39034344412223143,0.4026304087705811,2753,-0.7929738528928125
EURAUD,c1,markov_naive,gate,0.5353569094752165,0.4026304087705811,2753,0.13272650070463543
EURAUD,c1,hmm_2state,switch,0.4026304087705811,0.4026304087705811,2753,0.0
EURAUD,c1,hmm_2state,switch_backwards,-0.39034344412223143,0.4026304087705811,2753,-0.7929738528928125
EURAUD,c1,hmm_2state,gate,-0.03955012788174297,0.4026304087705811,2753,-0.44218053665232404
EURAUD,c2,trend_sma200,switch,0.27145205372383685,0.27145205372383685,2753,0.0
EURAUD,c2,trend_sma200,switch_backwards,-0.4534015068124385,0.27145205372383685,2753,-0.7248535605362754
EURAUD,c2,trend_sma200,gate,0.17434083400625383,0.27145205372383685,2753,-0.09711121971758302
EURAUD,c2,vol_regime,switch,-0.0019129026133403477,0.27145205372383685,2753,-0.2733649563371772
EURAUD,c2,vol_regime,switch_backwards,-0.25403667749507725,0.27145205372383685,2753,-0.525488731218914
EURAUD,c2,vol_regime,gate,0.2144022966279699,0.27145205372383685,2753,-0.05704975709586696
EURAUD,c2,markov_naive,switch,-0.6212849097102334,0.27145205372383685,2753,-0.8927369634340703
EURAUD,c2,markov_naive,switch_backwards,0.3871135146268033,0.27145205372383685,2753,0.11566146090296647
EURAUD,c2,markov_naive,gate,-0.12237114926275301,0.27145205372383685,2753,-0.39382320298658985
EURAUD,c2,hmm_2state,switch,-0.46657357907521185,0.27145205372383685,2753,-0.7380256327990486
EURAUD,c2,hmm_2state,switch_backwards,0.280913862093088,0.27145205372383685,2753,0.009461808369251146
EURAUD,c2,hmm_2state,gate,-0.03361390186899443,0.27145205372383685,2753,-0.3050659555928313
EURAUD,c3,trend_sma200,switch,-0.13266822997894828,0.06263999304878601,2753,-0.1953082230277343
EURAUD,c3,trend_sma200,switch_backwards,-0.23177861042273007,0.06263999304878601,2753,-0.29441860347151605
EURAUD,c3,trend_sma200,gate,0.24126566293615992,0.06263999304878601,2753,0.1786256698873739
EURAUD,c3,vol_regime,switch,-0.27488606511630004,0.06263999304878601,2753,-0.3375260581650861
EURAUD,c3,vol_regime,switch_backwards,-0.08728373079588013,0.06263999304878601,2753,-0.14992372384466612
EURAUD,c3,vol_regime,gate,-0.09966583263221118,0.06263999304878601,2753,-0.1623058256809972
EURAUD,c3,markov_naive,switch,0.11168776605986791,0.06263999304878601,2753,0.0490477730110819
EURAUD,c3,markov_naive,switch_backwards,-0.4674923773962259,0.06263999304878601,2753,-0.5301323704450119
EURAUD,c3,markov_naive,gate,0.1530915222186279,0.06263999304878601,2753,0.0904515291698419
EURAUD,c3,hmm_2state,switch,-0.4102497990101118,0.06263999304878601,2753,-0.4728897920588978
EURAUD,c3,hmm_2state,switch_backwards,0.09080180801563154,0.06263999304878601,2753,0.028161814966845528
EURAUD,c3,hmm_2state,gate,-0.1796148289936626,0.06263999304878601,2753,-0.2422548220424486
EURAUD,c4,trend_sma200,switch,-0.3125389082734752,0.1617366678468289,2753,-0.47427557612030413
EURAUD,c4,trend_sma200,switch_backwards,-0.17242082248869717,0.1617366678468289,2753,-0.3341574903355261
EURAUD,c4,trend_sma200,gate,0.2958799806581564,0.1617366678468289,2753,0.1341433128113275
EURAUD,c4,vol_regime,switch,-0.4336653460311527,0.1617366678468289,2753,-0.5954020138779816
EURAUD,c4,vol_regime,switch_backwards,-0.053605631002248195,0.1617366678468289,2753,-0.2153422988490771
EURAUD,c4,vol_regime,gate,-0.15373335247596343,0.1617366678468289,2753,-0.31547002032279237
EURAUD,c4,markov_naive,switch,0.1617366678468289,0.1617366678468289,2753,0.0
EURAUD,c4,markov_naive,switch_backwards,-0.6131547101616669,0.1617366678468289,2753,-0.7748913780084958
EURAUD,c4,markov_naive,gate,0.2687760212912617,0.1617366678468289,2753,0.1070393534444328
EURAUD,c4,hmm_2state,switch,0.1617366678468289,0.1617366678468289,2753,0.0
EURAUD,c4,hmm_2state,switch_backwards,-0.6131547101616669,0.1617366678468289,2753,-0.7748913780084958
EURAUD,c4,hmm_2state,gate,-0.09813912670587538,0.1617366678468289,2753,-0.25987579455270426
EURNZD,c0,trend_sma200,switch,-0.26487615352409405,-0.00400551464037422,2753,-0.2608706388837198
EURNZD,c0,trend_sma200,switch_backwards,-0.14966670549915007,-0.00400551464037422,2753,-0.14566119085877585
EURNZD,c0,trend_sma200,gate,-0.20899879601202706,-0.00400551464037422,2753,-0.20499328137165285
EURNZD,c0,vol_regime,switch,-0.21109096762075258,-0.00400551464037422,2753,-0.20708545298037837
EURNZD,c0,vol_regime,switch_backwards,-0.20448251964920627,-0.00400551464037422,2753,-0.20047700500883206
EURNZD,c0,vol_regime,gate,-0.13449081747128455,-0.00400551464037422,2753,-0.13048530283091034
