N,B,D,R,A_bars,A_t,A_ratio,A_share,B_bars,B_t,B_ratio,B_share,agree
3,1,1.0,0.62,-0.24279925271802938,-1.004728512904577,-0.07056496699525583,0.13347398030942334,-0.26477785380449426,-1.1696513846820622,-0.06337925694114055,0.12365591397849462,True
3,1,1.0,0.75,-0.23139952153110066,-0.9576209759663632,-0.06720394080130687,0.13361462728551335,-0.26967085228803533,-1.1920287685033764,-0.06292052842280893,0.12377279102384292,True
3,1,1.0,1.0,-0.23139952153110066,-0.9576209759663632,-0.06720394080130687,0.13361462728551335,-0.26967085228803533,-1.1920287685033764,-0.06292052842280893,0.12377279102384292,True
3,2,0.25,0.5,-0.2893759763863848,-1.2692914736231662,-0.0511984692863795,0.15738396624472573,-0.12351282533571073,-0.5930935743814469,-0.040369191307029206,0.1517064048620851,True
3,2,0.25,0.62,-0.28703842622857145,-1.261475422654253,-0.056062677932057214,0.15780590717299578,-0.13195488084132023,-0.6340460991480064,-0.039646725194316224,0.15194015895278168,True
3,2,0.25,0.75,-0.273509779045531,-1.2028692297996526,-0.054959443177259426,0.1580872011251758,-0.13616795859199549,-0.654612255522365,-0.03927441353261929,0.15205703599812997,True
3,2,0.25,1.0,-0.273509779045531,-1.2028692297996526,-0.054959443177259426,0.1580872011251758,-0.13616795859199549,-0.654612255522365,-0.03927441353261929,0.15205703599812997,True
3,2,0.5,0.5,-0.3257846397547386,-1.3838325592159224,-0.04945988625628717,0.14458509142053447,-0.19021735021823005,-0.869434749936968,-0.05513465569979792,0.13592800374006545,True
3,2,0.5,0.62,-0.3231656133141243,-1.3756523536881695,-0.05464521974724679,0.1450070323488045,-0.19976458249654172,-0.9131080112254792,-0.05497868575107323,0.13604488078541374,True
3,2,0.5,0.75,-0.30859089570263265,-1.3146229587979064,-0.05346868505898594,0.14528832630098454,-0.20432970617901525,-0.934508071928924,-0.05455919816871713,0.13616175783076204,True
3,2,0.5,1.0,-0.30859089570263265,-1.3146229587979064,-0.05346868505898594,0.14528832630098454,-0.20432970617901525,-0.934508071928924,-0.05455919816871713,0.13616175783076204,True
3,2,1.0,0.5,-0.3010167992926611,-1.1944528115651045,-0.060613716949128094,0.12236286919831224,-0.20114190841206714,-0.8539863533614904,-0.09161676074266512,0.11208508648901355,True
3,2,1.0,0.62,-0.30380863367757804,-1.2077409474835756,-0.0666207217804472,0.12264416315049226,-0.2123864533965243,-0.9017556364035696,-0.09139697114371403,0.11220196353436185,True
3,2,1.0,0.75,-0.29148959733152147,-1.1588544189360608,-0.06304230868732985,0.12278481012658228,-0.2177493682176319,-0.9251837089697519,-0.09086890519355695,0.11231884057971014,True
3,2,1.0,1.0,-0.29148959733152147,-1.1588544189360608,-0.06304230868732985,0.12278481012658228,-0.2177493682176319,-0.9251837089697519,-0.09086890519355695,0.11231884057971014,True
3,3,0.25,0.5,-0.17679897150562773,-0.717142473661163,-0.013481707963098333,0.1289732770745429,-0.3493578980222338,-1.5436846186212363,-0.04989745954018743,0.12669471715755026,True
3,3,0.25,0.62,-0.1742923368687208,-0.7087181128741709,-0.019214443594057884,0.12939521800281295,-0.3588053872950372,-1.5867947446898916,-0.04903704202380199,0.12692847124824685,True
3,3,0.25,0.75,-0.1585056515514598,-0.6451122202780609,-0.01801160898612153,0.12967651195499297,-0.3635181196045778,-1.608654415496409,-0.048594756900268155,0.12704534829359515,True
3,3,0.25,1.0,-0.1585056515514598,-0.6451122202780609,-0.01801160898612153,0.12967651195499297,-0.3635181196045778,-1.608654415496409,-0.048594756900268155,0.12704534829359515,True
3,3,0.5,0.5,-0.21539527995714813,-0.8506571091602392,-0.015132942733632526,0.11983122362869199,-0.4074092030678411,-1.7221142824339337,-0.054797334688157284,0.11418887330528284,True
