stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
routed,POOLED,0,ALL,graded-fail,310,-0.1088206784711141,0.4849414188790454,0.0599263824423457,0.5741935483870968,1.1855680592821887
routed,POOLED,0,ALL,all,520,0.0445140084559661,0.4658566779591009,0.0375704029291225,0.5615384615384615,1.1615067485764072
routed,POOLED,0,C-trend,graded-pass,210,0.31009263275891347,0.44380944621631846,0.02841252853685525,0.5428571428571428,1.1259922267315936
routed,POOLED,0,C-trend,graded-fail,310,-0.1088206784711141,0.4849414188790454,0.0599263824423457,0.5741935483870968,1.1855680592821887
routed,POOLED,0,C-trend,all,520,0.0445140084559661,0.4658566779591009,0.0375704029291225,0.5615384615384615,1.1615067485764072
allon,2011-2014,2016,ALL,graded-pass,52,0.1753530910398245,0.12709949723866795,-0.08342208104956461,0.34615384615384615,0.8635403288445926
allon,2011-2014,2016,ALL,graded-fail,52,-0.0049636157505835,0.1393795262980273,-0.05623088775319045,0.38461538461538464,0.832858650319507
allon,2011-2014,2016,ALL,all,104,0.0868437465007839,0.1285482134184408,-0.08010108584117365,0.36538461538461536,0.8469447839714406
allon,2012-2015,2017,ALL,graded-pass,16,0.158313810182474,0.16944742318443756,-0.02663236625650685,0.375,0.8791759837744109
allon,2012-2015,2017,ALL,graded-fail,88,-0.10222655180762524,0.20869011152993971,0.00181680693370885,0.5113636363636364,1.0483216178668557
allon,2012-2015,2017,ALL,all,104,-0.0732384328435581,0.205260875591502,-0.00539850635722155,0.49038461538461536,1.0269488554048267
allon,2013-2016,2018,ALL,graded-pass,25,0.1317914778541369,0.1100530241119084,0.1268289125109837,0.8,1.3288633603158624
allon,2013-2016,2018,ALL,graded-fail,79,-0.0604340321543728,0.1983732167025983,0.0715415227609151,0.7848101265822784,1.257648383079643
allon,2013-2016,2018,ALL,all,104,-0.01840992075291545,0.1668605362887336,0.07303726984078321,0.7884615384615384,1.2761613501977318
allon,2014-2017,2019,ALL,graded-pass,60,0.22179142371434246,0.13355024135369026,0.00321966812531205,0.5166666666666667,1.0272103932840222
allon,2014-2017,2019,ALL,graded-fail,44,0.00622794090238835,0.15041789266836555,-0.05954696481567525,0.4318181818181818,0.8283669206964978
allon,2014-2017,2019,ALL,all,104,0.11558535094153355,0.1388121663201755,-0.00480102488253395,0.4807692307692308,0.9375831967506951
allon,2015-2018,2020,ALL,graded-pass,17,0.2460049475875025,0.2216565063227378,-0.0078984814866485,0.47058823529411764,1.0327548585837782
allon,2015-2018,2020,ALL,graded-fail,87,-0.0639677989656758,0.1737830587137467,0.0146060072018532,0.5402298850574713,0.9855234087340445
allon,2015-2018,2020,ALL,all,104,-0.0293302363259807,0.1787706653696961,0.01303543966393095,0.5288461538461539,0.993195564889711
allon,POOLED,0,ALL,graded-pass,170,0.1901595454117666,0.1343995662969964,-0.0044616784031897,0.48823529411764705,1.0148083990687964
allon,POOLED,0,ALL,graded-fail,350,-0.05203333818281075,0.177390140725147,0.0182259223813865,0.5514285714285714,1.0116303412982266
allon,POOLED,0,ALL,all,520,0.00867119631869695,0.16389446671711688,0.01478937466944435,0.5307692307692308,1.012621037957042
allon,POOLED,0,C-trend,graded-pass,170,0.1901595454117666,0.1343995662969964,-0.0044616784031897,0.48823529411764705,1.0148083990687964
allon,POOLED,0,C-trend,graded-fail,350,-0.05203333818281075,0.177390140725147,0.0182259223813865,0.5514285714285714,1.0116303412982266
allon,POOLED,0,C-trend,all,520,0.00867119631869695,0.16389446671711688,0.01478937466944435,0.5307692307692308,1.012621037957042
