signal,batch,family,in_h10_2002-2020,in_5pm_2002-2020,to_h10_2002-2020,si_h10_2002-2020,ao_h10_2002-2020,mo_h10_2002-2020,dec_h10_2002-2020,tsb_h10_2002-2020,to_5pm_2002-2020,si_5pm_2002-2020,ao_5pm_2002-2020,mo_5pm_2002-2020,dec_5pm_2002-2020,tsb_5pm_2002-2020,fails_in_other
z_panelvol_40,cross-sectional,z_panelvol,True,False,-23.12,-0.02763,0.929,-0.977,1.572,6.0,-22.23,-0.01804,0.857,-0.986,2.278,6.0,effect >= 0.0221;agree >= 0.893
za_pdm_60_ch,trend-duration,pdm,True,False,19.05,0.02581,0.929,0.964,1.371,6.0,14.96,0.01236,0.893,0.815,2.216,6.0,effect >= 0.0221;monotonic >= 0.95
za_pdm_75_ch,trend-duration,pdm,True,False,20.03,0.02588,0.929,0.993,1.442,6.0,16.85,0.01558,0.857,0.883,2.001,6.0,effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
za_xsctop_r20_pd,trend-nonmomentum,cross-sectional,True,False,-20.51,-0.03366,0.893,-0.972,1.172,6.0,-17.44,-0.0332,0.857,-0.882,0.955,6.0,agree >= 0.893;monotonic >= 0.95
zd_pdm_60_ch,trend-duration,pdm,True,False,16.6,0.02576,0.893,0.955,1.189,6.0,6.92,0.01324,0.643,0.683,0.926,3.0,|t| OOS >= 8;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
zd_xsctop_r15_pd,trend-nonmomentum,cross-sectional,True,False,-25.08,-0.03005,0.964,-0.994,1.508,5.0,-16.42,-0.03735,0.821,-0.936,0.778,6.0,agree >= 0.893;monotonic >= 0.95
zd_xsctop_r30_pd,trend-nonmomentum,cross-sectional,False,True,-21.86,-0.02019,0.929,-0.869,1.954,5.0,-17.26,-0.03643,0.893,-0.974,0.828,5.0,effect >= 0.0221;monotonic >= 0.95
ze_cx2.5_x150_ch,trend-duration,cx2._x,True,False,-16.83,-0.02875,0.929,-0.959,1.109,6.0,-9.95,0.00261,0.786,-0.673,6.91,1.0,sign holds OOS;effect >= 0.0221;agree >= 0.893;monotonic >= 0.95
ze_xsctop_r15_ts,trend-nonmomentum,cross-sectional,True,False,-19.84,-0.02224,0.964,-0.965,1.653,5.0,-5.46,-0.02474,0.607,-0.516,0.406,5.0,|t| OOS >= 8;agree >= 0.893;monotonic >= 0.95;decay >= 0.60
zz_paneldisp_D30,multi-timeframe,zz_paneldisp,True,False,-26.05,-0.02327,0.929,-0.992,2.146,,-23.6,-0.01189,0.893,-0.922,3.67,,effect >= 0.0221;monotonic >= 0.95
zz_panelvol_D15,multi-timeframe,zz_panelvol,True,True,-22.4,-0.02505,0.964,-0.982,1.701,,-17.82,-0.02317,0.893,-0.957,1.42,,
zz_panelvol_D20,multi-timeframe,zz_panelvol,True,False,-26.23,-0.02422,0.893,-0.975,2.072,,-20.05,-0.01803,0.857,-0.982,2.059,,effect >= 0.0221;agree >= 0.893
zz_panelvol_D40,multi-timeframe,zz_panelvol,True,False,-23.12,-0.02763,0.929,-0.978,1.572,6.0,-22.23,-0.01813,0.857,-0.986,2.268,6.0,effect >= 0.0221;agree >= 0.893
