# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
budget,yardstick,tier,members,share_of_return_pct,share_of_drawdown_pct,mean_member_pnl,share_of_entries_pct,mean_R_per_trade_tradeyears,build_quality_median
team1,expectancy_R,9,824,1.8419955,4.00376,0.0006491336,6.9845743,-0.04232568155994897,0.6965244446862598
team1,expectancy_R,10,824,1.6088156,3.5054052,0.00056695915,5.322165,-0.02525022519617426,1.0564967457375984
team1,profit_factor,1,823,3.633386,8.493582,0.0012819893,10.396177,-0.0726337192730653,0.8267205357551575
team1,profit_factor,2,823,9.991387,12.568881,0.0035253214,11.742697,-0.0766832931070062,1.031242549419403
team1,profit_factor,3,824,18.74576,16.54603,0.0066061523,12.067643,-0.0632724223837704,1.150458037853241
team1,profit_factor,4,823,18.91672,15.490325,0.0066745,12.096007,-0.05095562051731772,1.2454451322555542
team1,profit_factor,5,824,19.429043,14.876524,0.006846946,11.663396,-0.03462467006606244,1.3403930366039276
team1,profit_factor,6,823,14.164074,10.83994,0.004997595,10.619887,-0.02028663961034246,1.4650281071662903
team1,profit_factor,7,824,7.8430643,8.234637,0.002763957,9.947284,-0.020177526211297196,1.6698030233383179
team1,profit_factor,8,823,3.6729748,5.537155,0.0012959576,9.138313,-0.024864319333977015,2.1951403617858887
team1,profit_factor,9,824,2.015004,4.2419696,0.00071010314,6.9777665,-0.036689654617795095,3.2271739840507507
team1,profit_factor,10,824,1.5885864,3.1709542,0.0005598303,5.350828,-0.025283235318648355,4.717640399932861
team1,calmar,1,823,3.5870986,8.598477,0.0012656575,10.404299,-0.07415888823363048,-0.4990590512752533
team1,calmar,2,823,7.87215,10.94779,0.0027775778,10.926859,-0.0721651111256104,0.11147965490818024
team1,calmar,3,824,11.866086,11.939618,0.004181701,10.377028,-0.06602099044352196,0.634698748588562
team1,calmar,4,823,14.765164,13.242581,0.005209681,11.20475,-0.053940542279760556,1.108144998550415
team1,calmar,5,824,15.05151,14.3587055,0.0053042695,11.3407,-0.045592986560114485,1.644019365310669
team1,calmar,6,823,16.71458,12.104769,0.0058975057,11.084624,-0.0250967778758419,2.2900571823120117
team1,calmar,7,824,15.471173,11.569792,0.0054521617,10.8851385,-0.01258225950112015,3.2390427589416504
team1,calmar,8,823,9.724082,8.438592,0.003431006,9.997345,-0.018757273749384365,4.973302364349365
team1,calmar,9,824,2.9702168,5.1732826,0.0010467275,7.6928864,-0.03252176343010734,8.044431686401367
team1,calmar,10,824,1.9779457,3.626393,0.0006970435,6.08637,-0.02463292350405284,13.984027862548828
team1,gate3_composite,1,823,3.1292596,8.747544,0.0011041154,10.1022625,-0.07755217351731111,0.06211147540983607
team1,gate3_composite,2,823,8.881881,11.207849,0.0031338471,11.436601,-0.07325948083605924,0.6640737704918033
team1,gate3_composite,3,824,11.487797,11.514602,0.004048389,10.469347,-0.05773074909824813,1.2959696721311476
team1,gate3_composite,4,823,12.960225,11.837078,0.0045728344,11.538095,-0.04725644186274846,2.2624573770491807
team1,gate3_composite,5,824,18.161558,17.374458,0.0064002746,11.97204,-0.059308490177332196,2.9062418032786885
team1,gate3_composite,6,823,18.733646,13.0300045,0.006609905,11.368506,-0.03194428039908931,3.6331852459016396
team1,gate3_composite,7,824,12.304262,9.001754,0.0043361178,9.553746,-0.008049304048469074,4.604222131147541
team1,gate3_composite,8,823,6.9971128,7.427227,0.0024688335,8.948462,-0.018787544566994788,4.956373770491803
team1,gate3_composite,9,824,5.197662,6.222159,0.0018316966,8.762192,-0.028687431159533348,5.737300819672131
team1,gate3_composite,10,824,2.146597,3.637324,0.0007564775,5.848747,-0.022899302260560268,5.922027868852458
team2,sortino,1,823,3.9339283,8.815792,0.0020820473,10.292075,-0.07540936482082945,-5.336469001023943
team2,sortino,2,823,7.6895227,9.913013,0.0040697106,11.20674,-0.06822150087162371,0.8437285401211585
team2,sortino,3,824,14.692949,12.994751,0.0077668647,10.877774,-0.05245697811521798,4.500657179274624
team2,sortino,4,823,16.690943,14.797305,0.008833748,11.217528,-0.04484235870930144,7.363135610241851
team2,sortino,5,824,16.100716,12.358759,0.008511027,11.185581,-0.03287364026225041,10.41800894916491
team2,sortino,6,823,13.513165,12.875178,0.0071518975,10.844573,-0.031244241508008416,15.001812744142818
team2,sortino,7,824,9.218056,8.260163,0.0048727724,10.667758,-0.025211735812529314,22.755545971230113
team2,sortino,8,823,7.6915827,8.400799,0.004070801,9.7908325,-0.029877569174370754,40.700207742326555
team2,sortino,9,824,3.9635773,5.2976522,0.0020951934,6.919565,-0.037582351731837174,69.78771585094523
team2,sortino,10,824,6.5055633,6.286591,0.003438917,6.997572,-0.027756421864432976,118.5343973453802
team2,expectancy_R,1,823,3.9947438,8.624857,0.0021142343,10.31196,-0.07414204783856454,-0.05627816788055612
team2,expectancy_R,2,823,6.2667775,10.35388,0.003316717,11.639232,-0.07058015552533439,0.010189410617264609
team2,expectancy_R,3,824,11.292372,11.224678,0.0059692804,11.035141,-0.060364903440964686,0.056421454722725375
team2,expectancy_R,4,823,12.998019,11.686374,0.006879254,11.0583105,-0.053401935462718694,0.09224563846191526
team2,expectancy_R,5,824,15.148457,13.355756,0.008007652,11.188627,-0.045016991042471775,0.12933127917265705
team2,expectancy_R,6,823,19.980028,15.63809,0.01057451,11.571018,-0.02672073774985957,0.1697070058515419
team2,expectancy_R,7,824,16.39422,12.1561575,0.008666177,10.806912,-0.01617066248889404,0.23148202673211915
team2,expectancy_R,8,823,10.474573,9.45105,0.0055437097,10.08206,-0.011486726166999006,0.3658627701184106
team2,expectancy_R,9,824,1.8419956,4.00376,0.0009737005,6.9845743,-0.04232568155994897,0.6965244446862598
team2,expectancy_R,10,824,1.6088157,3.5054052,0.0008504388,5.322165,-0.02525022519617426,1.0564967457375984
team2,profit_factor,1,823,3.6333854,8.493583,0.0019229839,10.396177,-0.0726337192730653,0.8267205357551575
team2,profit_factor,2,823,9.991389,12.56888,0.0052879825,11.742697,-0.0766832931070062,1.031242549419403
team2,profit_factor,3,824,18.745762,16.546034,0.009909229,12.067643,-0.0632724223837704,1.150458037853241
team2,profit_factor,4,823,18.916721,15.490329,0.01001175,12.096007,-0.05095562051731772,1.2454451322555542
team2,profit_factor,5,824,19.429043,14.876528,0.0102704195,11.663396,-0.03462467006606244,1.3403930366039276
team2,profit_factor,6,823,14.164076,10.839941,0.007496394,10.619887,-0.02028663961034246,1.4650281071662903
team2,profit_factor,7,824,7.843064,8.234637,0.0041459356,9.947284,-0.020177526211297196,1.6698030233383179
team2,profit_factor,8,823,3.6729748,5.5371556,0.0019439368,9.138313,-0.024864319333977015,2.1951403617858887
team2,profit_factor,9,824,2.015004,4.24197,0.0010651547,6.9777665,-0.036689654617795095,3.2271739840507507
team2,profit_factor,10,824,1.5885864,3.170954,0.00083974545,5.350828,-0.025283235318648355,4.717640399932861
team2,calmar,1,823,3.5870981,8.598476,0.0018984862,10.404299,-0.07415888823363048,-0.4990590512752533
team2,calmar,2,823,7.872149,10.947792,0.0041663665,10.926859,-0.0721651111256104,0.11147965490818024
team2,calmar,3,824,11.866086,11.939619,0.006272552,10.377028,-0.06602099044352196,0.634698748588562
team2,calmar,4,823,14.765164,13.242582,0.007814522,11.20475,-0.053940542279760556,1.108144998550415
team2,calmar,5,824,15.05151,14.358705,0.007956404,11.3407,-0.045592986560114485,1.644019365310669
team2,calmar,6,823,16.714579,12.10477,0.008846258,11.084624,-0.0250967778758419,2.2900571823120117
team2,calmar,7,824,15.471173,11.569794,0.008178243,10.8851385,-0.01258225950112015,3.2390427589416504
team2,calmar,8,823,9.724081,8.438592,0.005146509,9.997345,-0.018757273749384365,4.973302364349365
team2,calmar,9,824,2.9702168,5.1732826,0.0015700914,7.6928864,-0.03252176343010734,8.044431686401367
team2,calmar,10,824,1.9779456,3.6263933,0.0010455651,6.08637,-0.02463292350405284,13.984027862548828
team2,gate3_composite,1,823,3.1292596,8.747544,0.0016561733,10.1022625,-0.07755217351731111,0.06211147540983607
team2,gate3_composite,2,823,8.881881,11.20785,0.004700771,11.436601,-0.07325948083605924,0.6640737704918033
team2,gate3_composite,3,824,11.487798,11.514603,0.006072585,10.469347,-0.05773074909824813,1.2959696721311476
team2,gate3_composite,4,823,12.960226,11.837079,0.0068592518,11.538095,-0.04725644186274846,2.2624573770491807
team2,gate3_composite,5,824,18.161558,17.374458,0.009600412,11.97204,-0.059308490177332196,2.9062418032786885
team2,gate3_composite,6,823,18.733648,13.0300045,0.009914858,11.368506,-0.03194428039908931,3.6331852459016396
team2,gate3_composite,7,824,12.304261,9.001755,0.006504176,9.553746,-0.008049304048469074,4.604222131147541
team2,gate3_composite,8,823,6.9971137,7.4272275,0.0037032505,8.948462,-0.018787544566994788,4.956373770491803
team2,gate3_composite,9,824,5.197662,6.2221594,0.002747545,8.762192,-0.028687431159533348,5.737300819672131
team2,gate3_composite,10,824,2.1465967,3.6373246,0.0011347162,5.848747,-0.022899302260560268,5.922027868852458
