Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2025-01-22,trending,range,range,drifting,drifting,drifting,range,broken,broken,broken,broken,broken,broken,range,drifting,drifting,drifting,range,drifting,drifting,drifting,range,drifting,range,drifting,broken,drifting,broken
2025-01-23,trending,range,range,drifting,drifting,drifting,range,broken,broken,broken,broken,broken,broken,range,drifting,drifting,drifting,range,drifting,drifting,drifting,range,range,range,range,broken,range,broken
2025-01-24,trending,range,range,drifting,drifting,broken,range,broken,broken,broken,broken,broken,broken,range,drifting,drifting,drifting,range,drifting,drifting,drifting,range,range,range,range,broken,range,broken
2025-01-27,trending,range,range,drifting,drifting,broken,range,broken,broken,broken,broken,broken,broken,range,drifting,broken,drifting,range,drifting,broken,drifting,range,range,range,range,broken,range,broken
2025-01-28,broken,drifting,drifting,drifting,drifting,broken,range,broken,broken,broken,broken,broken,broken,range,drifting,broken,range,range,drifting,broken,range,range,range,drifting,drifting,broken,drifting,broken
2025-01-29,broken,drifting,drifting,drifting,broken,broken,range,broken,broken,broken,broken,broken,broken,drifting,range,broken,range,range,drifting,broken,drifting,range,range,range,range,broken,range,broken
2025-01-30,broken,drifting,drifting,range,broken,broken,range,broken,broken,broken,broken,broken,broken,drifting,range,broken,range,drifting,range,broken,range,range,drifting,range,drifting,broken,drifting,broken
2025-01-31,broken,drifting,range,range,broken,broken,range,broken,broken,range,broken,broken,broken,drifting,range,broken,range,drifting,range,broken,range,drifting,range,range,range,range,drifting,broken
2025-02-03,broken,drifting,drifting,range,broken,broken,range,broken,broken,range,drifting,drifting,broken,broken,range,broken,range,drifting,range,broken,range,range,drifting,range,range,range,drifting,broken
2025-02-04,broken,range,range,range,broken,broken,drifting,broken,broken,range,drifting,drifting,broken,broken,range,broken,range,drifting,drifting,broken,drifting,drifting,drifting,range,range,drifting,trending,broken
2025-02-05,broken,range,range,range,broken,broken,range,broken,broken,range,range,drifting,range,broken,range,broken,range,range,range,broken,range,range,drifting,range,range,range,broken,range
2025-02-06,broken,range,drifting,range,broken,broken,drifting,range,broken,drifting,range,range,range,broken,range,broken,range,drifting,range,broken,range,drifting,drifting,range,drifting,range,broken,drifting
2025-02-07,broken,drifting,drifting,range,broken,broken,drifting,range,broken,range,range,range,drifting,broken,range,broken,drifting,drifting,range,broken,range,drifting,drifting,range,drifting,range,broken,drifting
2025-02-10,range,drifting,broken,range,broken,broken,trending,range,range,range,range,range,drifting,broken,range,broken,drifting,trending,range,broken,range,drifting,drifting,range,trending,range,broken,trending
