c1,c2,vol,base,exit_ind,slice,mode,ex_n,ex_total_R,ex_expectancy_R,ex_win_rate,ex_profit_factor,ex_sharpe,ex_sortino,ex_max_dd_R,ex_ulcer_R,ex_calmar,ex_max_trade_share,cr_n,cr_total_R,cr_expectancy_R,cr_win_rate,cr_profit_factor,cr_sharpe,cr_sortino,cr_max_dd_R,cr_ulcer_R,cr_calmar,cr_max_trade_share,all_total_R,crisis_share_of_total_R,risk_atr_len,risk_atr_mult,risk_tp_mult,risk_trail_mult,risk_trail_arm,risk_be_pct,rank_R,rank_S,score,new_rank
ssl_channel_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,249,51.1485816925926,0.2054159907333036,0.4056224899598393,1.898408162019419,4.027951862609154,23.54723098533124,6.407548791041471,2.276694145539054,7.982550482347401,0.0690195726388751,17,101.76533506989638,5.98619618058214,0.6470588235294118,54.482278975242366,4.37278903330962,669.6661988335325,1.432427551092189,0.4492842820335815,71.0439665812787,0.8862901960517501,152.91391676248898,0.6655073470386722,4,1.0,1.85,1.2,1.1,0.04,21.0,31.0,26.0,28
fx_sniper_ergodic_cci_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,adx_dmi_exit,trend,B,203,43.144222484840064,0.2125331156888673,0.3891625615763547,1.905664057489298,4.059258446813229,25.287476258146913,8.150107179235532,3.0816537409283926,5.293700013511593,0.0946639893761932,5,71.86043272566098,14.372086545132197,0.6,90.13277267645644,7.2576058921502895,,0.8062178541949834,0.4031089270974917,89.13277267645523,0.9823438673375332,115.00465521050106,0.6248480341437468,24,1.0,2.0,0.5,1.6,0.05,27.0,26.0,26.5,29
center_of_gravity_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,194,41.904278764655544,0.2160014369312141,0.3865979381443299,1.894150991892324,3.9844681563944744,24.688360298624737,9.456078092240052,2.749135317643091,4.431464964216347,0.0790922931686016,12,96.06600161918747,8.00550013493229,0.5,54.559603232457064,4.902065995176823,811.7531087087182,1.793627955051221,0.839789238198971,53.55960323245749,0.9393816777949242,137.97028038384303,0.6962803971400587,4,1.0,2.4,0.95,2.0,0.01,29.0,27.0,28.0,30
relative_vigor_index_signals,dspo_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,326,53.55407642008167,0.1642763080370603,0.3159509202453988,1.6649241602641374,2.864826853755281,16.879477041971494,24.096557597531323,10.09493929578473,2.222478302277013,0.0718948938536778,16,101.63325500000175,6.3520784375001105,0.875,118.78047022424606,4.512755869081973,,0.8629041368785408,0.241189038515775,117.7804702242461,0.8865737632125211,155.18733142008344,0.654906905544282,4,1.0,2.7,1.65,1.1,0.01,18.0,38.0,28.0,31
lemantrend_signals,coral_signals,williams_vix_fix_volume_signals,rma_baseline,adx_dmi_exit,trend,B,104,30.840784976472797,0.2965460093891615,0.3461538461538461,2.2158344106399968,4.610156192813024,29.912796549480483,9.399819844118236,3.789450195830047,3.2809974539853384,0.104839591545786,2,-1.0000000000000016,-0.5000000000000008,0.0,0.0,,,0.5000000000000008,0.3535533905932743,-2.0,0.5,29.84078497647279,-0.0335111827918878,49,1.0,3.0,0.5,1.9,0.01,39.0,19.0,29.0,32
dspo_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,sma_baseline,adx_dmi_exit,trend,B,267,39.72333491600762,0.1487765352659461,0.3857677902621723,1.5661964878566024,3.0870725870208795,24.41393689196243,9.846867330270758,3.2287005323694498,4.034108877845047,0.0578211718881295,11,74.79581735686018,6.799619759714562,0.4545454545454545,28.57461304015328,4.891728964488515,1454.0358691806905,1.712488376462261,0.7791840818652169,43.67668615151532,0.9799100823242816,114.5191522728678,0.6531293314033815,18,1.0,2.15,0.5,1.0,0.01,31.0,28.0,29.5,33
bears_bulls_impulse_signals,center_of_gravity_signals,variance_volume_signals,sma_baseline,adx_dmi_exit,chop,B,110,39.20376182820125,0.3563978348018295,0.3545454545454545,1.6467918179004273,3.2623508797789063,23.863191890627267,9.14417944952762,3.270033441879028,4.287291390615315,0.0765232686890256,6,12.100725885908458,2.0167876476514097,0.8333333333333334,13.10072588590854,19.26618543310979,,0.9999999999999928,0.4082482904638601,12.100725885908544,0.2479190114944737,51.304487714109705,0.2358609631449556,30,1.0,3.0,1.5,2.0,0.05,34.0,30.0,32.0,34
fx_sniper_ergodic_cci_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,kama_baseline,adx_dmi_exit,trend,B,221,39.76711138295198,0.179941680465846,0.3484162895927601,1.718027897786383,3.422079498202477,19.951193568002665,7.2508118433779725,2.362428347241338,5.484504665401092,0.099796522761393,15,74.7600127328091,4.98400084885394,0.5333333333333333,33.68834340660915,4.440467430370887,548.9796519819993,1.735160979460403,0.6696865555097988,43.08534690312009,0.927424649401884,114.52712411576108,0.6527712392152937,32,1.0,2.25,0.85,1.45,0.01,30.0,36.0,33.0,35
ehlers_reverse_ema_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,wma_baseline,adx_dmi_exit,trend,B,268,42.93719618700008,0.1602134186082092,0.3171641791044776,1.609269951729135,2.82603908549105,16.470522680123956,9.527887405486496,3.622713646319927,4.506476027652815,0.0832760856500818,14,87.42506757931538,6.244647684236813,0.4285714285714285,29.04057407343671,4.346489441676428,485.4868307116606,3.1178059104765055,1.7284923443974345,28.04057407343676,0.977283007220339,130.36226376631546,0.6706317077772724,5,1.0,3.0,0.9,1.1,0.01,28.0,39.0,33.5,36
coppock_curve_signals,coral_signals,variance_volume_signals,rma_baseline,adx_dmi_exit,trend,B,196,37.94442350452844,0.1935939974720838,0.3979591836734694,1.8729535826248516,3.57317612758523,20.01995671877527,7.557650713266867,2.3119928946051016,5.02066382056,0.0809267466989363,16,84.47875481995119,5.2799221762469495,0.625,29.159584939983738,4.096060702294817,,2.0,0.6959705453537527,42.2393774099756,0.970417496143618,122.4231783244796,0.6900552328092834,5,1.0,2.95,0.5,1.0,0.05,35.0,35.0,35.0,37
