si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,source,group,scorable,was_independent
0.011823788952441572,7.501786444332279,0.29098823386341643,0.6428571428571429,28,-0.0127543152992593,-7.106764353120728,-0.2187303808694238,0.6785714285714286,28,0.947342930361608,False,ts_dd0.02_ol,^VIX,equity-vol,True,True
0.017999623178838797,9.913907349799638,0.3901788618222075,0.7142857142857143,28,0.020313682522218907,10.867221661142803,0.9946891849840058,0.7857142857142857,28,1.0961592919629648,True,ra_oc750_fl_8_pl,^VIX,equity-vol,True,True
0.010682496066421743,5.954745898032971,0.49671893988903254,0.75,28,0.019781019261812055,10.461873864304444,0.8314360225542229,0.75,28,1.756896775017774,True,ra_ep750_fl_8_pl,^VIX,equity-vol,True,False
0.03222706641128939,14.527289000389048,0.6783680133178974,0.8928571428571429,28,-0.026921649628418587,-15.094489346737792,-0.4697718820659282,0.7857142857142857,28,1.0390437848612741,False,ts_dd0.02_ol,^VIX3M,equity-vol,True,True
-0.00020123622380494033,-0.11563305865857992,0.11601480494859093,0.6071428571428571,28,0.011332175939563482,6.0525760218185924,0.7285265267776786,0.6785714285714286,28,52.34295531081236,False,ra_oc750_fl_8_pl,^VIX3M,equity-vol,True,True
0.006667465376307996,3.8467196776966794,0.3106614066231325,0.5714285714285714,28,0.01174487291046225,6.243164244297896,0.7982582232376932,0.6071428571428571,28,1.6229839362862406,True,ra_ep750_fl_8_pl,^VIX3M,equity-vol,True,False
0.0024881475683314336,1.153414425667381,0.03932987357154852,0.4642857142857143,28,-0.005908131871104061,-3.1762978023960744,-0.14113393329419577,0.5714285714285714,28,2.7538218108883337,False,ts_dd0.02_ol,^VVIX,equity-vol,True,True
0.005502514600392916,3.0622482135707143,0.05695740550622959,0.4642857142857143,28,0.027415918163282982,14.83544732560595,0.9642187243955256,0.8214285714285714,28,4.84462600381671,True,ra_oc750_fl_8_pl,^VVIX,equity-vol,True,True
0.0036964296924372475,2.120022961555211,0.24329854499702425,0.35714285714285715,28,0.019412847667287347,10.392949841911927,0.881241009721288,0.75,28,4.902281734858119,True,ra_ep750_fl_8_pl,^VVIX,equity-vol,True,False
0.018038973466017266,9.852780231792824,0.6216676062046117,0.75,28,-0.01593901407699716,-8.732901965583483,-0.380563609329248,0.75,28,0.8863388566614191,False,ts_dd0.02_ol,^MOVE,rates-vol,True,True
0.005579730053049181,3.2336844102751745,0.18448025496391868,0.6071428571428571,28,0.017189938174436925,9.270810920664157,0.8645027089586822,0.75,28,2.8669498146466452,True,ra_oc750_fl_8_pl,^MOVE,rates-vol,True,True
0.00909064758313921,5.1891822215101,0.22668950628477047,0.5714285714285714,28,0.011934669212762039,6.288589359025622,0.7115094058521347,0.75,28,1.211865201603112,True,ra_ep750_fl_8_pl,^MOVE,rates-vol,True,False
