state,signal,lead,hit,base,lift,n_changes,sign_lift,sign_sd,iid_lift,iid_sd,excess,p_sign
nine-box,mas,2,0.10669306930693069,0.10388627641749094,1.02701793717353,12625,1.0463944096344195,0.021781789004837453,1.0444789131519094,0.022056340190498243,-0.019376472460889582,0.7704918032786885
nine-box,mas,3,0.15564356435643564,0.15212691205880763,1.0231165692515245,12625,1.0412492257479422,0.017623319944260283,1.0384647731693992,0.016092429009681546,-0.01813265649641771,0.8032786885245902
nine-box,mas,5,0.24697029702970297,0.24008161720988055,1.028693074879616,12625,1.03897397509978,0.0124531143839477,1.0334189741564377,0.012831569164445868,-0.010280900220164035,0.8032786885245902
nine-box,vol,1,0.03215841584158416,0.03191719366520729,1.0075577501865343,12625,1.0747700732442445,0.04208209938677981,1.0186483573346687,0.05367729650745189,-0.06721232305771019,0.9672131147540983
nine-box,vol,2,0.06297029702970297,0.06383438733041458,0.9864635608353384,12625,1.0414068259314166,0.025940891095774344,0.9751091534225981,0.032386270705983176,-0.054943265096078275,0.9836065573770492
nine-box,vol,3,0.09227722772277228,0.09449489216799092,0.9765313828680164,12625,1.0228484015324575,0.020395709891878527,0.9558203040114605,0.02392923091264137,-0.046317018664441045,0.9836065573770492
nine-box,vol,5,0.1428118811881188,0.15099183827901194,0.9458251705249279,12625,0.9946850106711884,0.016250982446337627,0.9338278483305796,0.016720401687201226,-0.04885984014626055,1.0
nine-box,rng,1,0.04467326732673267,0.039470839414085725,1.1318043393521138,12625,1.0713153555315853,0.03852727075408877,1.045569383976175,0.037796398877022234,0.060488983820528475,0.08196721311475409
nine-box,rng,2,0.08340594059405941,0.07894167882817145,1.0565513912568936,12625,1.0272218382235714,0.028180027748393458,0.9920645386654316,0.028490339792095563,0.029329553033322187,0.13114754098360656
nine-box,rng,3,0.12079207920792079,0.11715582941462624,1.0310377196889238,12625,0.9968580452434008,0.02226739551739996,0.9638326428365471,0.023210794836479837,0.034179674445522945,0.06557377049180328
nine-box,rng,5,0.1878019801980198,0.1893816550456732,0.9916587757812528,12625,0.9728557082792387,0.01841908861902556,0.9357878093636606,0.015250052457207182,0.018803067502014104,0.18032786885245902
