date,pair,state,age,chg60,typical,rel_age,oos
1999-04-02,GBPJPY,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,GBPNZD,dead (choppy+small),2.0,1.0,2.0,1.0,False
1999-04-02,GBPUSD,volatile chop (choppy+large),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,NZDCAD,dead (choppy+small),2.0,1.0,2.0,1.0,False
1999-04-02,NZDCHF,drifting (straight+small),2.0,1.0,2.0,1.0,False
1999-04-02,NZDJPY,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,NZDUSD,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-02,USDCAD,drifting (straight+small),2.0,1.0,2.5,0.8,False
1999-04-02,USDCHF,dead (choppy+small),2.0,1.0,2.0,1.0,False
1999-04-02,USDJPY,dead (choppy+small),2.0,1.0,3.0,0.6666666666666666,False
1999-04-05,AUDCAD,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,AUDCHF,dead (choppy+small),1.0,2.0,2.0,0.5,False
1999-04-05,AUDJPY,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,AUDNZD,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,AUDUSD,dead (choppy+small),3.0,1.0,2.0,1.5,False
1999-04-05,CADCHF,drifting (straight+small),3.0,1.0,2.0,1.5,False
1999-04-05,CADJPY,dead (choppy+small),3.0,1.0,2.0,1.5,False
1999-04-05,CHFJPY,drifting (straight+small),3.0,1.0,2.0,1.5,False
1999-04-05,EURAUD,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-05,EURCAD,drifting (straight+small),3.0,1.0,2.0,1.5,False
1999-04-05,EURCHF,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,EURGBP,volatile chop (choppy+large),3.0,1.0,3.0,1.0,False
1999-04-05,EURJPY,dead (choppy+small),1.0,2.0,2.0,0.5,False
1999-04-05,EURNZD,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,EURUSD,dead (choppy+small),3.0,1.0,3.0,1.0,False
1999-04-05,GBPAUD,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-05,GBPCAD,drifting (straight+small),2.0,2.0,2.0,1.0,False
1999-04-05,GBPCHF,dead (choppy+small),3.0,1.0,2.0,1.5,False
1999-04-05,GBPJPY,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-05,GBPNZD,dead (choppy+small),3.0,1.0,2.0,1.5,False
