N,state,pair,corrected
44,trending,USDCAD,-0.032757351293159154
44,trending,USDCHF,-0.0003953622533586221
44,trending,USDJPY,0.1511319230838133
44,trending,CADCHF,-0.008016950139981827
44,trending,CADJPY,0.21858711460055189
44,trending,CHFJPY,0.011237780541710651
44,drifting,EURGBP,-0.03864706956279029
44,drifting,EURAUD,-0.018792642524947528
44,drifting,EURNZD,-0.037142180280120785
44,drifting,EURUSD,-0.03877713216225384
44,drifting,EURCAD,-0.01853148757142009
44,drifting,EURCHF,-0.0657908747988618
44,drifting,EURJPY,-0.028699118928745604
44,drifting,GBPAUD,-0.049693196962452515
44,drifting,GBPNZD,-0.030838552026130603
44,drifting,GBPUSD,-0.12877401130876684
44,drifting,GBPCAD,-0.038276124812851225
44,drifting,GBPCHF,-0.07581642210483072
44,drifting,GBPJPY,-0.017550450794042917
44,drifting,AUDNZD,0.06417265457585172
44,drifting,AUDUSD,0.028312833492141712
44,drifting,AUDCAD,0.04758818673348918
44,drifting,AUDCHF,0.017281508804935078
44,drifting,AUDJPY,0.017903031273925646
44,drifting,NZDUSD,-0.022997317933023675
44,drifting,NZDCAD,0.031012553887438232
44,drifting,NZDCHF,0.06021662455626753
44,drifting,NZDJPY,0.12026461781601978
44,drifting,USDCAD,0.036285660073401935
44,drifting,USDCHF,-0.05210737427311905
44,drifting,USDJPY,-0.02688626435631397
44,drifting,CADCHF,-0.04760562305063488
44,drifting,CADJPY,0.039014747217826634
44,drifting,CHFJPY,0.054707909924236534
44,range,EURGBP,-0.049237546547802324
44,range,EURAUD,0.1253374979349035
44,range,EURNZD,-0.040776548098203635
44,range,EURUSD,-0.008970967336276253
44,range,EURCAD,-0.08372146496150289
44,range,EURCHF,0.0807276049588657
44,range,EURJPY,-0.07861925228366967
44,range,GBPAUD,-0.013591707691598315
44,range,GBPNZD,0.014754444902332436
44,range,GBPUSD,0.03035340115771376
44,range,GBPCAD,0.03246676471422871
44,range,GBPCHF,-0.09698446274961875
44,range,GBPJPY,-0.04689543980904301
44,range,AUDNZD,-0.09532750775696838
44,range,AUDUSD,0.089952688439392
44,range,AUDCAD,0.024058231184958118
44,range,AUDCHF,-0.01186091333615523
44,range,AUDJPY,0.04930788236662076
44,range,NZDUSD,0.0319874439901853
44,range,NZDCAD,-0.04915722267791359
44,range,NZDCHF,-0.035099380333986185
44,range,NZDJPY,-0.12212673440154595
44,range,USDCAD,-0.0037266038842101445
44,range,USDCHF,0.023110740856470524
44,range,USDJPY,0.12350818208046374
44,range,CADCHF,-0.05546695997187451
44,range,CADJPY,0.1276789227842423
44,range,CHFJPY,-0.06814931708362384
