c1,c2,vol,base,exit_ind,slice,mode,crosses_label,n_blind,expectancy_R,total_R,profit_factor,sharpe,sortino,max_dd_R,calmar,n_w2,n_w3,risk_atr_len,risk_atr_mult,risk_be_pct,risk_tp_mult,risk_trail_arm,risk_trail_mult,ip2,w3_n,w3_expectancy_R,w3_total_R,w3_profit_factor,w3_sharpe,w3_sortino,w3_max_dd_R,w3_ulcer_R,w3_calmar,w3_win_rate,PARTIAL_DIAGNOSTIC
ehlers_reverse_ema_signals,kase_peak_oscillator_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,True,110,0.1230352432344897,13.533876755793871,1.538183121654919,2.6210075497599297,22.08130269103473,5.000000000000007,2.706775351158771,60,50,50,1.0,0.05,1.2,1.5,1.5,"{""base"": {""mci_length"": 11}, ""c1"": {""alpha"": 0.035112}, ""c2"": {""long_cycle"": 23, ""sharpness"": 40, ""short_cycle"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 57, ""bb_mult"": 2, ""lookback"": 18}}",50,0.05478805325592047,2.7394026627960235,1.1993671125427627,1.1199146433292906,25.558088513554193,5.000000000000007,2.106808407411083,0.5478805325592039,0.38,"W3 only -- provisional, NOT mode B stitched score"
fisher_transform_signals,fx_sniper_ergodic_cci_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,True,208,0.1000534789535526,20.811123622338947,1.4879645507572263,2.381182492515443,9.481787383998192,11.686161890327442,1.7808347871309376,110,98,22,1.0,0.05,3.0,1.55,0.5,"{""base"": {""mci_length"": 2}, ""c1"": {""length"": 10}, ""c2"": {""cci_length"": 5, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 5}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 11, ""bb_mult"": 2, ""lookback"": 27}}",98,0.10079439207297636,9.877850423151683,1.5488604304088662,2.524970519248979,8.466269347621237,4.085069052062748,1.7956113181565734,2.4180375649131025,0.42857142857142855,"W3 only -- provisional, NOT mode B stitched score"
fisher_transform_signals,kuskus_starlight_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,514,0.1514469799867879,77.84374771320901,1.5131257995969378,1.356275156454303,13.745409595984656,14.22143108329444,5.473692995963685,340,174,4,1.0,0.01,2.4,1.0,1.65,"{""base"": {""length"": 37}, ""c1"": {""length"": 19}, ""c2"": {""index_smooth"": 0.161709, ""price_smooth"": 0.567792, ""range_periods"": 30}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 12}}",174,0.09035015145478856,15.720926353133208,1.374944622347893,1.9236471535278916,8.644778503696113,9.73519745435932,4.2355866885618765,1.6148543906619524,0.29310344827586204,"W3 only -- provisional, NOT mode B stitched score"
fisher_transform_signals,vortex_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,True,150,0.1627109344997984,24.40664017496976,1.6535209177804724,2.552083671526783,13.467317163310272,10.03806797146689,2.4314081399274636,94,56,33,1.0,0.01,2.95,1.0,0.5,"{""base"": {""mci_length"": 40}, ""c1"": {""length"": 66}, ""c2"": {""period"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""bb_length"": 7, ""bb_mult"": 2, ""lookback"": 3}}",56,0.04604823629618678,2.57870123258646,1.1353169217319996,0.7653920515206476,5.793592211414915,10.03806797146689,5.015555036783308,0.2568921868148724,0.23214285714285715,"W3 only -- provisional, NOT mode B stitched score"
fx_sniper_ergodic_cci_signals,relative_vigor_index_signals,chaikin_volatility_volume_signals,tma_baseline,adx_dmi_exit,trend,B,True,176,0.0817776955722344,14.39287442071326,1.273647527631929,1.200123440313386,7.0894352197062975,12.171813215701729,1.1824757877607217,72,104,4,1.0,0.06,2.8,1.85,1.8,"{""base"": {""length"": 37}, ""c1"": {""cci_length"": 17, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 5}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 28, ""roc_len"": 15}}",104,0.13494268360235295,14.034039094644708,1.5322820020664354,2.3152359417509327,13.482623718662902,6.835177693598455,2.82726805256084,2.0532076448851373,0.3173076923076923,"W3 only -- provisional, NOT mode B stitched score"
glitch_index_signals,parabolic_sar_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,True,164,0.1392310158789154,22.83388660414213,1.6610714295785014,0.8487037424067427,6.389270654758857,13.051620848437375,1.7495058176529812,110,54,10,1.0,0.06,2.85,1.0,1.65,"{""base"": {""mci_length"": 14}, ""c1"": {""length"": 56, ""multiplier"": 1, ""smooth"": 13}, ""c2"": {""sar_increment"": 0.007022, ""sar_maximum"": 0.070224, ""sar_start"": 0.024657}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 28, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 20}}",54,-0.15577016131712787,-8.411588711124905,0.5427615076134737,-3.9854124337306223,-16.702746888343547,13.051620848437377,7.397519925592323,-0.6444861376839639,0.16666666666666666,"W3 only -- provisional, NOT mode B stitched score"
hieken_ashi_smoothed_signals,didi_index_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,trend,B,True,216,0.1123115808311729,24.25930145953335,1.282395563974022,0.901549984336244,8.459113235071353,7.926870045633574,3.0603884408192505,138,78,2,1.0,0.01,2.65,1.75,1.25,"{""base"": {""length"": 28, ""volume_factor"": 0.7}, ""c1"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 8, ""ma_len2"": 8, ""vol_factor1"": 0.665127, ""vol_factor2"": 0.82}, ""c2"": {""long_p"": 200, ""medium"": 53}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 66, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 20}}",78,-0.05321485051029347,-4.15075833980289,0.7878044573895748,-1.425633161026257,-5.421010288296041,7.926870045633574,4.836027821776352,-0.5236314353468288,0.24358974358974358,"W3 only -- provisional, NOT mode B stitched score"
hieken_ashi_smoothed_signals,halftrend_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,trend,B,True,156,0.6928598158705126,108.08613127579996,2.933768372308699,0.5228993455513391,52.97745613619252,11.416061206870609,9.467900470851516,104,52,2,1.0,0.01,1.05,1.6,0.55,"{""base"": {""length"": 43, ""volume_factor"": 0.7}, ""c1"": {""alma_offset1"": 0.85, ""alma_offset2"": 0.85, ""alma_sigma1"": 6, ""alma_sigma2"": 6, ""ama_smooth1"": 0.181, ""ama_smooth2"": 0.181, ""frama_t1_a"": 1, ""frama_t1_b"": 168, ""frama_t2_a"": 1, ""frama_t2_b"": 168, ""lsma_offset1"": 0, ""lsma_offset2"": 0, ""ma_len1"": 8, ""ma_len2"": 8, ""vol_factor1"": 1.53653, ""vol_factor2"": 0.82}, ""c2"": {""amplitude"": 12}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 57, ""hline"": 0, ""lookback"": 20}}",52,-0.02105070943732562,-1.0946368907409323,0.9112964702846874,-0.6025996629232023,-2.2153448144756083,5.659291782118974,2.852851853328786,-0.19342294634808072,0.34615384615384615,"W3 only -- provisional, NOT mode B stitched score"
j_tpo_signals,coral_signals,variance_volume_signals,mcginley_dynamic_index,adx_dmi_exit,trend,B,True,254,0.1363307145789569,34.62800150305505,1.665905604261872,2.9890327827187004,16.290166255854764,6.436611543368123,5.379849517054288,190,64,28,1.0,0.01,2.15,1.0,0.95,"{""base"": {""mci_length"": 17}, ""c1"": {""ema_len"": 200, ""len"": 21}, ""c2"": {""const_d"": 11, ""smooth_period"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 25, ""hline"": 0, ""lookback"": 20}}",64,0.21364374712107426,13.673199815748752,1.8849626902504542,3.940092598251008,21.800540778678375,4.981190833586623,1.906128950693515,2.744966067863655,0.34375,"W3 only -- provisional, NOT mode B stitched score"
kalman_filter_signals,dspo_signals,variance_volume_signals,t3_baseline,adx_dmi_exit,trend,B,True,272,0.1104730600685751,30.04867233865245,1.345754617797274,1.594484382482272,9.359308392128446,10.293269305400536,2.9192544610570828,178,94,2,1.0,0.01,2.65,1.0,0.9,"{""base"": {""length"": 19, ""volume_factor"": 0.373569}, ""c1"": {""k"": 2, ""sharpness"": 1}, ""c2"": {""len"": 140}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 20}}",94,0.013619759045615397,1.2802573502878474,1.0551628248703893,0.33805095773633953,1.367093658317205,4.757601118792732,1.7601815124058582,0.2690972442457975,0.3191489361702128,"W3 only -- provisional, NOT mode B stitched score"
