pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
NZDCHF,2020-08-03,4,3.893400956196491,-1,0.16964471208554144,0.6604948842475254,NZD,CHF
EURNZD,2020-08-04,2,1.9467004780982455,1,0.21665209790209772,0.4217567425670015,EUR,NZD
GBPAUD,2020-08-04,2,1.9467004780982455,1,-0.12499999999999972,-0.24333755976228016,GBP,AUD
GBPCHF,2020-08-04,1,0.9733502390491228,1,-0.4999999999999985,-0.48667511952455994,GBP,CHF
NZDCHF,2020-08-04,4,3.893400956196491,-1,0.16964471208554144,0.6604948842475254,NZD,CHF
USDCHF,2020-08-04,1,0.9733502390491228,-1,-0.07117831552647999,-0.06928143043281318,USD,CHF
EURNZD,2020-08-05,2,1.9467004780982455,1,0.21665209790209772,0.4217567425670015,EUR,NZD
GBPAUD,2020-08-05,2,1.9467004780982455,1,-0.12499999999999972,-0.24333755976228016,GBP,AUD
NZDCHF,2020-08-05,4,3.893400956196491,-1,0.16964471208554144,0.6604948842475254,NZD,CHF
USDCHF,2020-08-05,1,0.9733502390491228,-1,-0.07117831552647999,-0.06928143043281318,USD,CHF
EURNZD,2020-08-06,2,1.9467004780982455,1,0.21665209790209772,0.4217567425670015,EUR,NZD
GBPCHF,2020-08-06,1,0.9733502390491228,1,0.09999999999999938,0.09733502390491168,GBP,CHF
NZDCHF,2020-08-06,4,3.893400956196491,-1,0.16964471208554144,0.6604948842475254,NZD,CHF
USDCHF,2020-08-06,1,0.9733502390491228,-1,-0.07117831552647999,-0.06928143043281318,USD,CHF
EURNZD,2020-08-07,1,1.0,1,0.195804195804196,0.195804195804196,EUR,NZD
GBPAUD,2020-08-07,2,2.0,1,0.01881144329581851,0.03762288659163702,GBP,AUD
GBPCHF,2020-08-07,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDCAD,2020-08-07,1,1.0,-1,0.3750000000000005,0.3750000000000005,NZD,CAD
NZDCHF,2020-08-07,3,3.0,-1,0.19545454545454577,0.5863636363636373,NZD,CHF
USDCHF,2020-08-07,1,1.0,-1,-0.07117831552647999,-0.07117831552647999,USD,CHF
EURCAD,2020-08-10,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-08-10,1,1.0,1,0.195804195804196,0.195804195804196,EUR,NZD
GBPAUD,2020-08-10,2,2.0,1,0.01881144329581851,0.03762288659163702,GBP,AUD
GBPCHF,2020-08-10,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDCAD,2020-08-10,1,1.0,-1,0.3750000000000005,0.3750000000000005,NZD,CAD
NZDCHF,2020-08-10,3,3.0,-1,0.19545454545454577,0.5863636363636373,NZD,CHF
USDCHF,2020-08-10,1,1.0,-1,-0.07117831552647999,-0.07117831552647999,USD,CHF
EURCAD,2020-08-11,1,0.9733502390491228,-1,0.03382759372026896,0.03292609643408039,EUR,CAD
EURNZD,2020-08-11,1,0.9733502390491228,1,0.195804195804196,0.1905860607928354,EUR,NZD
GBPAUD,2020-08-11,2,1.9467004780982455,1,0.01881144329581851,0.03662024565768793,GBP,AUD
GBPCHF,2020-08-11,1,0.9733502390491228,1,0.09999999999999938,0.09733502390491168,GBP,CHF
NZDCAD,2020-08-11,2,1.9467004780982455,-1,0.3062500000000007,0.596177021417589,NZD,CAD
NZDCHF,2020-08-11,3,2.9200507171473684,-1,0.19545454545454577,0.5707371856242592,NZD,CHF
EURCAD,2020-08-12,1,0.9733502390491228,-1,0.03382759372026896,0.03292609643408039,EUR,CAD
EURNZD,2020-08-12,1,0.9733502390491228,1,0.195804195804196,0.1905860607928354,EUR,NZD
GBPAUD,2020-08-12,2,1.9467004780982455,1,0.01881144329581851,0.03662024565768793,GBP,AUD
NZDCAD,2020-08-12,2,1.9467004780982455,-1,0.3062500000000007,0.596177021417589,NZD,CAD
NZDCHF,2020-08-12,3,2.9200507171473684,-1,0.19545454545454577,0.5707371856242592,NZD,CHF
AUDCAD,2020-08-13,2,1.9467004780982455,-1,-0.20775426537697242,-0.404435327736302,AUD,CAD
EURCAD,2020-08-13,1,0.9733502390491228,-1,0.03382759372026896,0.03292609643408039,EUR,CAD
EURNZD,2020-08-13,1,0.9733502390491228,1,0.195804195804196,0.1905860607928354,EUR,NZD
GBPAUD,2020-08-13,2,1.9467004780982455,1,0.01881144329581851,0.03662024565768793,GBP,AUD
NZDCAD,2020-08-13,2,1.9467004780982455,-1,0.3062500000000007,0.596177021417589,NZD,CAD
NZDCHF,2020-08-13,3,2.9200507171473684,-1,0.19545454545454577,0.5707371856242592,NZD,CHF
AUDCAD,2020-08-14,2,1.9467004780982455,-1,-0.20775426537697242,-0.404435327736302,AUD,CAD
