pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
USDCHF,2016-04-01,1,1.0,-1,0.3619047619047613,0.3619047619047613,USD,CHF
AUDCHF,2016-04-04,1,1.0,-1,0.030279722090081104,0.030279722090081104,AUD,CHF
NZDJPY,2016-04-04,1,1.0,1,-0.06666666666666671,-0.06666666666666671,NZD,JPY
NZDUSD,2016-04-04,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-05,1,1.0,-1,0.030279722090081104,0.030279722090081104,AUD,CHF
CHFJPY,2016-04-05,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
NZDJPY,2016-04-05,1,1.0,1,-0.06666666666666671,-0.06666666666666671,NZD,JPY
NZDUSD,2016-04-05,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-06,2,3.0,-1,-0.0681934722882932,-0.2045804168648796,AUD,CHF
AUDJPY,2016-04-06,1,1.0,-1,-0.02800713251431955,-0.02800713251431955,AUD,JPY
CHFJPY,2016-04-06,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
NZDJPY,2016-04-06,1,1.0,1,-0.06666666666666671,-0.06666666666666671,NZD,JPY
NZDUSD,2016-04-06,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-07,2,3.0,-1,-0.0681934722882932,-0.2045804168648796,AUD,CHF
AUDJPY,2016-04-07,1,1.0,-1,-0.02800713251431955,-0.02800713251431955,AUD,JPY
CHFJPY,2016-04-07,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
NZDUSD,2016-04-07,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-08,2,3.0,-1,-0.0681934722882932,-0.2045804168648796,AUD,CHF
AUDJPY,2016-04-08,2,3.0,-1,-0.18067023292382617,-0.5420106987714786,AUD,JPY
CHFJPY,2016-04-08,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
NZDUSD,2016-04-08,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-11,2,3.0,-1,-0.0681934722882932,-0.2045804168648796,AUD,CHF
AUDJPY,2016-04-11,2,3.0,-1,-0.18067023292382617,-0.5420106987714786,AUD,JPY
CHFJPY,2016-04-11,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
NZDUSD,2016-04-11,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-12,1,1.0,-1,-0.0681934722882932,-0.0681934722882932,AUD,CHF
AUDJPY,2016-04-12,2,3.0,-1,-0.18067023292382617,-0.5420106987714786,AUD,JPY
CADJPY,2016-04-12,2,3.0,1,-0.11606204629685087,-0.3481861388905526,CAD,JPY
CHFJPY,2016-04-12,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
EURCHF,2016-04-12,1,1.0,-1,-0.20883577961007432,-0.20883577961007432,EUR,CHF
NZDUSD,2016-04-12,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-13,1,1.0,1,0.1271267624431208,0.1271267624431208,AUD,CHF
AUDJPY,2016-04-13,1,1.0,-1,-0.02800713251431955,-0.02800713251431955,AUD,JPY
CADJPY,2016-04-13,2,3.0,1,-0.11606204629685087,-0.3481861388905526,CAD,JPY
CHFJPY,2016-04-13,2,3.0,-1,0.12112030984107985,0.36336092952323956,CHF,JPY
EURCHF,2016-04-13,1,1.0,-1,-0.20883577961007432,-0.20883577961007432,EUR,CHF
NZDUSD,2016-04-13,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-14,2,2.9551944897444553,1,0.1271267624431208,0.3756843078709629,AUD,CHF
CHFJPY,2016-04-14,2,2.9551944897444553,-1,0.12112030984107985,0.3579340722385003,CHF,JPY
NZDCHF,2016-04-14,1,0.9850648299148185,1,0.35227272727272796,0.347011474174539,NZD,CHF
NZDUSD,2016-04-14,1,0.9850648299148185,1,0.11875000000000008,0.11697644855238477,NZD,USD
AUDCHF,2016-04-15,2,3.0,1,0.1271267624431208,0.38138028732936236,AUD,CHF
CADJPY,2016-04-15,2,3.0,-1,0.02697099451021351,0.08091298353064053,CAD,JPY
CHFJPY,2016-04-15,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
NZDCHF,2016-04-15,1,1.0,1,0.35227272727272796,0.35227272727272796,NZD,CHF
NZDUSD,2016-04-15,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-18,2,3.0,1,0.1271267624431208,0.38138028732936236,AUD,CHF
CHFJPY,2016-04-18,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
NZDCHF,2016-04-18,1,1.0,1,0.35227272727272796,0.35227272727272796,NZD,CHF
NZDUSD,2016-04-18,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-19,2,3.0,1,0.1271267624431208,0.38138028732936236,AUD,CHF
CADJPY,2016-04-19,1,1.0,1,0.15589361275994146,0.15589361275994146,CAD,JPY
CHFJPY,2016-04-19,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
NZDCHF,2016-04-19,1,1.0,1,0.35227272727272796,0.35227272727272796,NZD,CHF
NZDUSD,2016-04-19,1,1.0,1,0.11875000000000008,0.11875000000000008,NZD,USD
AUDCHF,2016-04-20,2,3.0,1,0.1271267624431208,0.38138028732936236,AUD,CHF
CADJPY,2016-04-20,2,3.0,1,0.15589361275994146,0.4676808382798244,CAD,JPY
CHFJPY,2016-04-20,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
EURCHF,2016-04-20,1,1.0,1,0.18000000000000133,0.18000000000000133,EUR,CHF
AUDCHF,2016-04-21,2,3.0,1,0.1271267624431208,0.38138028732936236,AUD,CHF
CADJPY,2016-04-21,1,1.0,1,0.07845389218654894,0.07845389218654894,CAD,JPY
CHFJPY,2016-04-21,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
EURCHF,2016-04-21,1,1.0,1,0.18000000000000133,0.18000000000000133,EUR,CHF
NZDUSD,2016-04-21,1,1.0,-1,-0.08937016266839627,-0.08937016266839627,NZD,USD
AUDCAD,2016-04-22,2,3.0,-1,0.13818309682090543,0.41454929046271627,AUD,CAD
AUDCHF,2016-04-22,1,1.0,1,-0.026258286137380706,-0.026258286137380706,AUD,CHF
AUDNZD,2016-04-22,1,1.0,1,-0.2499999999999975,-0.2499999999999975,AUD,NZD
CADJPY,2016-04-22,1,1.0,1,0.07845389218654894,0.07845389218654894,CAD,JPY
CHFJPY,2016-04-22,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
EURAUD,2016-04-22,1,1.0,-1,-0.11651414977785654,-0.11651414977785654,EUR,AUD
EURCHF,2016-04-22,1,1.0,1,0.18000000000000133,0.18000000000000133,EUR,CHF
NZDUSD,2016-04-22,1,1.0,-1,-0.08937016266839627,-0.08937016266839627,NZD,USD
USDCHF,2016-04-22,1,1.0,1,-0.25000000000000033,-0.25000000000000033,USD,CHF
AUDCAD,2016-04-25,2,3.0,-1,0.13818309682090543,0.41454929046271627,AUD,CAD
AUDCHF,2016-04-25,1,1.0,1,-0.026258286137380706,-0.026258286137380706,AUD,CHF
AUDNZD,2016-04-25,1,1.0,1,-0.2499999999999975,-0.2499999999999975,AUD,NZD
CADJPY,2016-04-25,1,1.0,1,0.07845389218654894,0.07845389218654894,CAD,JPY
CHFJPY,2016-04-25,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
EURAUD,2016-04-25,1,1.0,-1,-0.11651414977785654,-0.11651414977785654,EUR,AUD
EURCHF,2016-04-25,1,1.0,1,0.18000000000000133,0.18000000000000133,EUR,CHF
NZDUSD,2016-04-25,1,1.0,-1,-0.08937016266839627,-0.08937016266839627,NZD,USD
USDCHF,2016-04-25,1,1.0,1,-0.25000000000000033,-0.25000000000000033,USD,CHF
AUDCAD,2016-04-26,2,3.0,-1,0.13818309682090543,0.41454929046271627,AUD,CAD
AUDCHF,2016-04-26,1,1.0,1,-0.026258286137380706,-0.026258286137380706,AUD,CHF
AUDNZD,2016-04-26,1,1.0,1,-0.2499999999999975,-0.2499999999999975,AUD,NZD
CADJPY,2016-04-26,1,1.0,1,0.07845389218654894,0.07845389218654894,CAD,JPY
CHFJPY,2016-04-26,1,1.0,-1,0.07661561968215942,0.07661561968215942,CHF,JPY
EURCHF,2016-04-26,1,1.0,1,0.18000000000000133,0.18000000000000133,EUR,CHF
NZDUSD,2016-04-26,1,1.0,-1,-0.08937016266839627,-0.08937016266839627,NZD,USD
USDCHF,2016-04-26,1,1.0,1,-0.25000000000000033,-0.25000000000000033,USD,CHF
AUDCAD,2016-04-27,2,2.9551944897444553,-1,0.13818309682090543,0.4083579263009643,AUD,CAD
AUDCHF,2016-04-27,1,0.9850648299148185,1,-0.026258286137380706,-0.02586611416777356,AUD,CHF
AUDJPY,2016-04-27,1,0.9850648299148185,-1,0.724999999999999,0.7141720016882424,AUD,JPY
AUDNZD,2016-04-27,2,2.9551944897444553,-1,0.5912729658792648,1.7473266107012648,AUD,NZD
CADJPY,2016-04-27,1,0.9850648299148185,1,0.07845389218654894,0.07728216996289834,CAD,JPY
CHFJPY,2016-04-27,1,0.9850648299148185,-1,0.07661561968215942,0.07547135237102479,CHF,JPY
EURCHF,2016-04-27,1,0.9850648299148185,1,0.18000000000000133,0.17731166938466864,EUR,CHF
EURNZD,2016-04-27,1,0.9850648299148185,1,-0.5000000000000027,-0.49253241495741185,EUR,NZD
NZDUSD,2016-04-27,1,0.9850648299148185,-1,-0.08937016266839627,-0.08803540408840344,NZD,USD
USDCHF,2016-04-27,1,0.9850648299148185,1,-0.25000000000000033,-0.24626620747870495,USD,CHF
AUDCAD,2016-04-28,2,1.379090761880746,-1,0.13818309682090543,0.19056703227378333,AUD,CAD
AUDJPY,2016-04-28,3,2.758181523761492,-1,0.41397058823529354,1.141806027851263,AUD,JPY
AUDNZD,2016-04-28,3,2.758181523761492,-1,0.5912729658792648,1.6308381699878471,AUD,NZD
CADJPY,2016-04-28,1,0.4596969206269153,1,0.07845389218654894,0.03606501264935256,CAD,JPY
CHFJPY,2016-04-28,1,0.4596969206269153,-1,0.07661561968215942,0.03521996443981157,CHF,JPY
EURCHF,2016-04-28,1,0.4596969206269153,1,0.18000000000000133,0.08274544571284537,EUR,CHF
EURNZD,2016-04-28,1,0.4596969206269153,1,-0.5000000000000027,-0.22984846031345887,EUR,NZD
NZDUSD,2016-04-28,1,0.4596969206269153,-1,-0.08937016266839627,-0.04108318857458827,NZD,USD
AUDCAD,2016-04-29,2,1.7238634523509324,-1,0.13818309682090543,0.2382087903422292,AUD,CAD
AUDJPY,2016-04-29,3,3.447726904701865,-1,0.25058674985145535,0.8639546794246586,AUD,JPY
AUDNZD,2016-04-29,2,1.7238634523509324,-1,0.5244094488188993,0.9040102828863974,AUD,NZD
CADJPY,2016-04-29,2,1.7238634523509324,-1,0.03761586398351088,0.06484461314977817,CAD,JPY
CHFJPY,2016-04-29,1,0.5746211507836442,-1,0.07661561968215942,0.04402495554976447,CHF,JPY
EURCHF,2016-04-29,1,0.5746211507836442,1,0.18000000000000133,0.10343180714105671,EUR,CHF
AUDCAD,2016-05-02,2,1.379090761880746,-1,0.13818309682090543,0.19056703227378333,AUD,CAD
AUDJPY,2016-05-02,3,2.758181523761492,-1,0.25058674985145535,0.6911637435397269,AUD,JPY
AUDNZD,2016-05-02,3,2.758181523761492,-1,0.40263660224290243,1.1105448370964783,AUD,NZD
CADJPY,2016-05-02,2,1.379090761880746,-1,0.03761586398351088,0.051875690519822534,CAD,JPY
CHFJPY,2016-05-02,1,0.4596969206269153,-1,0.07661561968215942,0.03521996443981157,CHF,JPY
EURCHF,2016-05-02,1,0.4596969206269153,1,0.18000000000000133,0.08274544571284537,EUR,CHF
AUDCAD,2016-05-03,2,1.379090761880746,-1,0.13818309682090543,0.19056703227378333,AUD,CAD
AUDJPY,2016-05-03,3,2.758181523761492,-1,0.25058674985145535,0.6911637435397269,AUD,JPY
AUDNZD,2016-05-03,3,2.758181523761492,-1,0.40263660224290243,1.1105448370964783,AUD,NZD
CADJPY,2016-05-03,2,1.379090761880746,-1,0.03761586398351088,0.051875690519822534,CAD,JPY
CHFJPY,2016-05-03,1,0.4596969206269153,-1,0.07661561968215942,0.03521996443981157,CHF,JPY
EURCHF,2016-05-03,1,0.4596969206269153,1,0.18000000000000133,0.08274544571284537,EUR,CHF
NZDJPY,2016-05-03,2,1.379090761880746,-1,-0.031013466613897853,-0.04277038530112347,NZD,JPY
AUDCAD,2016-05-04,1,0.689545380940373,-1,0.10136619364181094,0.06989659060921814,AUD,CAD
AUDJPY,2016-05-04,2,2.068636142821119,-1,0.1571301247771834,0.3250450552400738,AUD,JPY
AUDNZD,2016-05-04,1,0.689545380940373,-1,0.15909090909090873,0.10970040151324091,AUD,NZD
CADJPY,2016-05-04,2,2.068636142821119,-1,0.03761586398351088,0.07781353577973381,CAD,JPY
CHFJPY,2016-05-04,1,0.689545380940373,-1,0.07661561968215942,0.05282994665971736,CHF,JPY
EURCHF,2016-05-04,1,0.689545380940373,1,0.18000000000000133,0.12411816856926805,EUR,CHF
NZDCHF,2016-05-04,1,0.689545380940373,-1,-0.08333333333333375,-0.0574621150783647,NZD,CHF
NZDJPY,2016-05-04,2,2.068636142821119,-1,-0.031013466613897853,-0.06415557795168521,NZD,JPY
AUDJPY,2016-05-05,2,2.2984846031345763,-1,0.1571301247771834,0.3611611724889709,AUD,JPY
