config_id,family,param_n_short,param_n_long,param_n,param_entry,n_tickers,mean_oos_sharpe,median_oos_sharpe,pct_positive,mean_trades,mean_is_sharpe,sharpe_decay,worst_sharpe,mean_retdd,mean_pf,mean_win,mean_expo,t_across
momentum_15,momentum,30.0,200.0,,,28,-0.15589261291415604,-0.11936178371459752,0.25,21.535714285714285,0.009757818907289105,-15.976174019555133,-0.8002044105860997,-0.18116354306680987,0.9751429889621201,0.49559835310688544,1.0,-2.941682105654059
momentum_16,momentum,50.0,60.0,,,28,-0.24915477253377902,-0.2935114162321382,0.21428571428571427,69.75,0.10721036227411787,-2.3239803247444915,-0.6146311125676175,-0.33206393656852634,0.9597945580766816,0.4932688661357604,1.0,-4.478873425820784
momentum_17,momentum,50.0,90.0,,,28,-0.2358397125778957,-0.2785511815093852,0.17857142857142858,34.857142857142854,0.07263604641441133,-3.2468687961395433,-0.6535689956640512,-0.3140972818270874,0.9616830706283915,0.49264586380627334,1.0,-4.862191532197692
momentum_18,momentum,50.0,120.0,,,28,-0.21827388250705843,-0.2464872822190756,0.2857142857142857,26.035714285714285,0.04925412119864779,-4.431586173809368,-0.7944868734651805,-0.25046596833055784,0.9651119605379727,0.49383769434963976,1.0,-3.767313515766359
momentum_19,momentum,50.0,200.0,,,28,-0.15694862770278592,-0.2243625037718368,0.32142857142857145,17.535714285714285,0.031925205866858306,-4.916135180375297,-0.895748150742396,-0.08281259383598683,0.9753343330051868,0.49590985427162904,1.0,-2.5584277688031634
mean_reversion_0,mean_reversion,,,5.0,1.0,28,-0.07848798654932931,-0.025683731803537634,0.4642857142857143,520.6428571428571,-0.1973735463968615,0.39766213852950955,-0.834047126335587,-0.007433526488257622,0.9866012734065512,0.47580497997002785,0.9169690241524963,-1.6156675173842148
mean_reversion_1,mean_reversion,,,5.0,1.5,28,-0.01928349098142839,-0.023363562505015277,0.4642857142857143,287.07142857142856,-0.04340324629729893,0.4442868362735448,-0.5335832332848345,0.24471470069487264,0.9978416515366132,0.47855271872606636,0.7831419906855842,-0.364588128268888
mean_reversion_4,mean_reversion,,,10.0,1.0,28,0.018510176439756245,0.046612326362025225,0.5357142857142857,359.07142857142856,-0.09334956344151411,-0.198288837755019,-0.4984447302276516,0.29720533310976727,1.004033376370152,0.47899732493350167,0.8953075923318531,0.38768566750652306
mean_reversion_5,mean_reversion,,,10.0,1.5,28,0.07721094855746759,0.09608153374930514,0.6785714285714286,280.7857142857143,-0.051269028551851524,-1.5059959343559515,-0.33721210246825556,0.3862354814786039,1.015311135969748,0.47973272485596585,0.8322863641286687,1.865089684922512
mean_reversion_6,mean_reversion,,,10.0,2.0,28,0.09192277382537226,0.09832853191939861,0.6785714285714286,159.89285714285714,0.001518625518907484,60.53024440910391,-0.22233880943315734,0.48412609550907965,1.02105388086578,0.48187824196139767,0.610216072782411,2.8011189414274824
mean_reversion_7,mean_reversion,,,10.0,2.5,28,0.042473040150932964,0.07191302029334962,0.6428571428571429,19.821428571428573,0.007218964366121331,5.883536473771688,-0.45990305038912843,0.3930705141005558,1.0444644118192081,0.47928479502961985,0.0861718834614968,1.0635276526644266
mean_reversion_8,mean_reversion,,,20.0,1.0,28,0.10832481485249927,0.09636525214572877,0.75,243.78571428571428,-0.009499701363002393,-11.402970547514462,-0.39530465426680317,0.4654252430789739,1.0208221506623194,0.4826280450416656,0.8668769630672586,2.8339460738619584
mean_reversion_9,mean_reversion,,,20.0,1.5,28,0.12212793985622991,0.04169582484240246,0.6428571428571429,196.32142857142858,0.06503904976927183,1.8777632866636704,-0.30360588671483935,0.6479225807533869,1.0243913995172442,0.48416661735058014,0.7947037799198527,2.888439519997308
mean_reversion_10,mean_reversion,,,20.0,2.0,28,0.16641344541953318,0.1677339945621345,0.75,147.07142857142858,0.08424414622998841,1.9753710241803715,-0.35472811298220963,0.8974444636154589,1.0358964150930443,0.48650797716423516,0.6714231560706164,3.912582285224294
mean_reversion_11,mean_reversion,,,20.0,2.5,28,0.12982403887561383,0.12374836401024353,0.7857142857142857,72.71428571428571,0.06477643649036077,2.004186181111285,-0.42047999196521624,0.6253587385413736,1.037999824646013,0.484808736090694,0.37516246073865483,3.019978308521011
mean_reversion_12,mean_reversion,,,30.0,1.0,28,0.13737673059240332,0.1221197559373258,0.7142857142857143,194.92857142857142,0.02033908303427092,6.754322717544664,-0.3876750759920618,0.6762786510265085,1.0269560750754636,0.4841580648161769,0.8477742878804289,3.0712066061333374
mean_reversion_13,mean_reversion,,,30.0,1.5,28,0.1715358786018945,0.2002127266042119,0.8214285714285714,158.46428571428572,0.05286543498710626,3.2447643463773947,-0.3227391267149886,0.8796671302071941,1.0351213732266604,0.48762437314821716,0.7652983862233295,3.6783904614602445
mean_reversion_14,mean_reversion,,,30.0,2.0,28,0.13012235764102462,0.08555369969566516,0.6785714285714286,119.53571428571429,0.10973138293326047,1.185826280164227,-0.3807047337256071,0.7962383015477245,1.0295259148233118,0.48799548084603794,0.6394860825300552,2.771815387875541
mean_reversion_15,mean_reversion,,,30.0,2.5,28,0.16182382470313075,0.1553665827929553,0.8214285714285714,71.60714285714286,0.03579595478249309,4.520729386502487,-0.3133322834222208,0.9007522135987222,1.047990508003703,0.48779274395698274,0.4124607386548251,3.712231490476522
mean_reversion_16,mean_reversion,,,60.0,1.0,28,0.1333785461578729,0.14798866064291555,0.6785714285714286,124.64285714285714,0.0370211000802011,3.60277101082698,-0.30794983570947393,0.7416770540196138,1.0268887906540665,0.48876255282951325,0.8068071049496374,3.086691808869055
mean_reversion_17,mean_reversion,,,60.0,1.5,28,0.19331201287590158,0.23218314933645046,0.75,97.35714285714286,0.009693774530858344,19.94187220473598,-0.34800313148697876,1.0545098592586504,1.0411156000607507,0.49188919647218043,0.7180087728798873,4.113055193491988
mean_reversion_18,mean_reversion,,,60.0,2.0,28,0.19688568832679948,0.19236358761563233,0.8214285714285714,74.10714285714286,-0.008694428410041897,-22.645041058639382,-0.3531350149113745,1.0882973177995727,1.0455039340539702,0.4941839443390973,0.6029053395429438,4.065154613887969
mean_reversion_19,mean_reversion,,,60.0,2.5,28,0.18214677141499788,0.1092205523027514,0.75,48.464285714285715,0.0350110620341589,5.202549161098984,-0.1991260350256294,0.9833995082423177,1.053153787562769,0.498145436199516,0.4216397703888227,3.4724070153334408
