book,suffix,slice,budget,median_year_pct,worst_year_pct,dip95_pct,profit_factor,build_median_year_pct,retention,retention_flag,p_random_entry,p_regime_shuffle
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,ALL (book),team1,-1.268784162863844,-2.2498410223032224,10.364732102761332,0.9492735647863312,4.921079681446064,-0.2578263805903282,FIT,0.0,0.92
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,ALL (book),team2,-1.9031762442957665,-3.3747615334548335,15.547098154141988,0.9492735647863312,7.381619522169098,-0.2578263805903282,FIT,0.0,0.92
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,A-trend,team1,-1.08746549149341,-1.4250810119740986,7.727607254224713,0.915924438254382,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,A-trend,team2,-1.6311982372401146,-2.1376215179611484,11.591410881337069,0.915924438254382,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,A-chop,team1,0.6252204436894229,-0.1489861963812553,10.46988065394995,1.045450422119097,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,A-chop,team2,0.9378306655341356,-0.2234792945718834,15.70482098092493,1.0454504221190972,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,B-chop,team1,0.5188523265193975,-4.153173504036582,11.690688791884575,0.9878583435591,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,B-chop,team2,0.7782784897790965,-6.229760256054873,17.53603318782686,0.9878583435591,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,B-trend,team1,0.2994273758819125,-1.1908068120003084,5.445482687651249,1.0066354391646362,,,,book-level,book-level
chop RANGING + trend NOT-RANGING,_blind2_tgnotrang,B-trend,team2,0.4491410638228694,-1.7862102180004624,8.168224031476875,1.0066354391646366,,,,book-level,book-level
