L,churn,duration,separation,lag21,lag63
117,62.737204084628125,11.0,0.03080200111780179,83.0,72.0
118,62.070086402147474,11.0,0.02994231393735844,84.0,73.0
119,61.43947815508526,12.0,0.025576334791447025,85.0,74.0
120,61.028949024543735,12.0,0.02440073819660607,86.0,76.0
121,60.32457042150096,12.0,0.02591176878163534,87.0,77.0
122,59.51506630854457,12.0,0.026595568386580226,88.0,78.0
123,59.287708031648094,12.0,0.02852003270917347,89.0,79.0
124,59.44859577683557,12.0,0.030451103785307188,89.0,79.0
125,58.91151464259473,12.0,0.025983095880142776,89.0,80.0
126,58.54224405811707,12.0,0.027458185940177127,90.0,80.0
127,58.519350706621026,12.0,0.024824341275385353,90.0,81.0
128,57.892636619481664,12.0,0.026120072150831813,90.0,81.0
129,57.276240888944905,12.0,0.02576568333267351,90.0,83.0
130,56.84873949579832,12.0,0.02699349250534816,90.0,83.0
131,56.10068707583048,13.0,0.03476002107252879,90.0,84.0
132,55.83575001050729,13.0,0.03614882903672742,90.0,85.0
133,55.213434498413164,13.0,0.03349694689646901,90.0,86.0
134,55.19528293954427,13.0,0.03062112999651076,90.0,87.0
135,54.48333858929885,13.0,0.03044754695739668,90.0,87.5
136,54.202237268177804,13.0,0.03460956645777852,90.0,89.0
137,53.884250594098965,13.0,0.03526524118069535,90.0,89.0
138,53.645044590274274,13.0,0.036170843210407755,90.0,90.0
139,53.49517218166901,13.0,0.035094377482924655,90.0,90.0
140,53.234799074268885,13.0,0.034337107262053024,90.0,90.0
141,52.81127033226017,13.0,0.031966226041114626,90.0,90.0
142,52.52441282936274,13.0,0.0313546662704042,90.0,90.0
143,51.87438169609969,14.0,0.03241521204493647,90.0,90.0
144,52.266220369668645,13.0,0.030839649162660826,90.0,90.0
145,51.36856511211707,14.0,0.030209363533435007,90.0,90.0
146,50.60225741239892,14.0,0.031107812225698223,90.0,90.0
147,50.63077862724037,14.0,0.030255714431499908,90.0,90.0
148,50.174832539916586,14.0,0.032473078670235744,90.0,90.0
149,50.05582825963301,14.0,0.030246848361538264,90.0,90.0
150,49.64180362410451,14.0,0.033925364061816565,90.0,90.0
151,49.48580700904053,14.0,0.034617816346906555,90.0,90.0
152,49.56160687939974,14.0,0.03315500285233017,90.0,90.0
153,49.12097641181307,14.0,0.034697592773516306,90.0,90.0
154,48.27437173216394,15.0,0.03309396306302048,90.0,90.0
155,48.49235635213495,14.0,0.035980038504013934,90.0,90.0
156,48.26753553502889,14.0,0.033245369700665606,90.0,90.0
157,47.73153909430301,14.0,0.031250371711519315,90.0,90.0
158,47.79132562652941,14.0,0.033828012780393824,90.0,90.0
159,47.35004325168259,14.0,0.029068611139545036,90.0,90.0
160,47.072167123865796,15.0,0.03355149446104247,90.0,90.0
161,46.941941202540995,15.0,0.03255159155978554,90.0,90.0
162,46.59004559270517,15.0,0.034782880061934196,90.0,90.0
163,46.464987650150945,15.0,0.03569686280823242,90.0,90.0
164,46.42434863392593,15.0,0.03606605810739305,90.0,90.0
165,45.47566254883328,15.0,0.032575823951380534,90.0,90.0
166,45.741108388949904,15.0,0.029483703172514863,90.0,90.0
167,45.84820768467079,15.0,0.03178690363275824,90.0,90.0
168,45.75991887438205,15.0,0.03356810317843412,90.0,90.0
169,45.63990956536438,15.0,0.030891761979509547,90.0,90.0
170,45.282121724429416,16.0,0.03058922239660916,90.0,90.0
171,45.35751273434363,15.0,0.03328481779724218,90.0,90.0
172,44.99429247875534,15.0,0.03584127264858325,90.0,90.0
173,44.67853442990338,16.0,0.03728517119308572,90.0,90.0
174,44.44726380783219,16.0,0.03660043260995363,90.0,90.0
175,44.26879560114201,16.0,0.036321473684130606,90.0,90.0
176,44.08498667456322,16.0,0.03629348581048708,90.0,90.0
177,43.652556535719576,16.0,0.03643619985405577,90.0,90.0
178,43.838862559241704,16.0,0.03313247148367626,90.0,90.0
179,43.416848297606705,16.0,0.03192395210376861,90.0,90.0
180,43.66137566137566,16.0,0.03247814254911208,90.0,90.0
181,43.46146519061025,16.0,0.03190872065934164,90.0,90.0
182,43.24561774917436,16.0,0.03507008427548866,90.0,90.0
183,42.69093141925512,16.0,0.0318023168344595,90.0,90.0
184,42.77137774765999,16.0,0.030808707410738073,90.0,90.0
185,42.465318225140315,16.0,0.031355049109878685,90.0,90.0
186,42.26508218945941,16.0,0.033432118902745334,90.0,90.0
187,42.06478676299231,16.0,0.036452672405326264,90.0,90.0
188,41.80086451667585,16.0,0.03842170566031958,90.0,90.0
189,41.58454659122216,16.0,0.03779445719650093,90.0,90.0
190,41.20389995760916,17.0,0.03486961717922618,90.0,90.0
191,41.11992029338817,17.0,0.03351482496605185,90.0,90.0
192,41.18962812195225,17.0,0.03249603081645244,90.0,90.0
193,41.08441654827286,17.0,0.03411532251069008,90.0,90.0
194,40.85722768917543,17.0,0.03558086672883218,90.0,90.0
195,40.8579913034256,17.0,0.032452872688187195,90.0,90.0
196,40.747380033094316,17.0,0.0355981317078268,90.0,90.0
197,40.45108315121682,17.0,0.03125344231887109,90.0,90.0
198,39.96371275783041,18.0,0.03341983807755908,90.0,90.0
199,39.83700150688711,18.0,0.029937209111920132,90.0,90.0
200,39.821693907875186,18.0,0.03155194673305578,90.0,90.0
