country,date
CH,2008-03-24
CH,2008-05-01
CH,2008-05-12
CH,2008-08-01
CH,2008-12-25
CH,2008-12-26
CA,2008-01-01
CA,2008-03-21
CA,2008-05-19
CA,2008-07-01
CA,2008-09-01
CA,2008-10-13
CA,2008-12-25
CA,2008-12-26
AU,2008-01-01
AU,2008-01-26
AU,2008-03-21
AU,2008-03-24
AU,2008-04-25
AU,2008-12-25
AU,2008-12-26
NZ,2008-01-01
NZ,2008-01-02
NZ,2008-02-06
NZ,2008-03-21
NZ,2008-03-24
NZ,2008-04-25
NZ,2008-12-25
NZ,2008-12-26
US,2009-01-01
US,2009-01-19
US,2009-02-16
US,2009-05-25
US,2009-07-04
US,2009-09-07
US,2009-11-26
US,2009-12-25
US,2009-04-10
UK,2009-01-01
UK,2009-04-10
UK,2009-04-13
UK,2009-05-04
UK,2009-05-25
UK,2009-08-31
UK,2009-12-25
UK,2009-12-26
EU,2009-01-01
EU,2009-04-10
EU,2009-04-13
EU,2009-05-01
EU,2009-12-25
EU,2009-12-26
JP,2009-01-01
JP,2009-01-02
JP,2009-01-03
JP,2009-01-12
JP,2009-02-11
JP,2009-04-29
JP,2009-05-03
JP,2009-05-04
JP,2009-05-05
JP,2009-07-20
JP,2009-09-21
JP,2009-10-12
JP,2009-11-03
JP,2009-11-23
CH,2009-01-01
CH,2009-01-02
CH,2009-04-10
CH,2009-04-13
CH,2009-05-21
CH,2009-06-01
CH,2009-08-01
CH,2009-12-25
CH,2009-12-26
CA,2009-01-01
CA,2009-04-10
CA,2009-05-18
CA,2009-07-01
CA,2009-09-07
CA,2009-10-12
CA,2009-12-25
CA,2009-12-26
AU,2009-01-01
AU,2009-01-26
AU,2009-04-10
AU,2009-04-13
AU,2009-04-25
AU,2009-12-25
AU,2009-12-26
NZ,2009-01-01
NZ,2009-01-02
NZ,2009-02-06
NZ,2009-04-10
NZ,2009-04-13
NZ,2009-04-25
NZ,2009-12-25
NZ,2009-12-26
US,2010-01-01
US,2010-01-18
US,2010-02-15
US,2010-05-31
US,2010-07-04
US,2010-09-06
US,2010-11-25
US,2010-12-25
US,2010-04-02
UK,2010-01-01
UK,2010-04-02
UK,2010-04-05
UK,2010-05-03
UK,2010-05-31
UK,2010-08-30
UK,2010-12-25
UK,2010-12-26
EU,2010-01-01
EU,2010-04-02
EU,2010-04-05
EU,2010-05-01
EU,2010-12-25
EU,2010-12-26
JP,2010-01-01
JP,2010-01-02
JP,2010-01-03
JP,2010-01-11
JP,2010-02-11
JP,2010-04-29
JP,2010-05-03
JP,2010-05-04
JP,2010-05-05
JP,2010-07-19
JP,2010-09-20
JP,2010-10-11
JP,2010-11-03
JP,2010-11-23
CH,2010-01-01
CH,2010-01-02
CH,2010-04-02
CH,2010-04-05
CH,2010-05-13
CH,2010-05-24
CH,2010-08-01
CH,2010-12-25
CH,2010-12-26
CA,2010-01-01
CA,2010-04-02
CA,2010-05-24
CA,2010-07-01
CA,2010-09-06
CA,2010-10-11
CA,2010-12-25
CA,2010-12-26
AU,2010-01-01
AU,2010-01-26
AU,2010-04-02
AU,2010-04-05
AU,2010-04-25
AU,2010-12-25
AU,2010-12-26
NZ,2010-01-01
NZ,2010-01-02
NZ,2010-02-06
NZ,2010-04-02
NZ,2010-04-05
NZ,2010-04-25
NZ,2010-12-25
NZ,2010-12-26
US,2011-01-01
US,2011-01-17
US,2011-02-21
US,2011-05-30
US,2011-07-04
US,2011-09-05
US,2011-11-24
US,2011-12-25
US,2011-04-22
UK,2011-01-01
UK,2011-04-22
UK,2011-04-25
UK,2011-05-02
UK,2011-05-30
UK,2011-08-29
UK,2011-12-25
UK,2011-12-26
EU,2011-01-01
EU,2011-04-22
EU,2011-04-25
EU,2011-05-01
EU,2011-12-25
EU,2011-12-26
JP,2011-01-01
JP,2011-01-02
JP,2011-01-03
JP,2011-01-10
JP,2011-02-11
JP,2011-04-29
JP,2011-05-03
JP,2011-05-04
JP,2011-05-05
JP,2011-07-18
JP,2011-09-19
JP,2011-10-10
JP,2011-11-03
JP,2011-11-23
CH,2011-01-01
CH,2011-01-02
CH,2011-04-22
CH,2011-04-25
CH,2011-06-02
CH,2011-06-13
CH,2011-08-01
CH,2011-12-25
CH,2011-12-26
CA,2011-01-01
CA,2011-04-22
CA,2011-05-23
CA,2011-07-01
CA,2011-09-05
CA,2011-10-10
CA,2011-12-25
CA,2011-12-26
AU,2011-01-01
AU,2011-01-26
AU,2011-04-22
AU,2011-04-25
AU,2011-12-25
AU,2011-12-26
NZ,2011-01-01
NZ,2011-01-02
NZ,2011-02-06
NZ,2011-04-22
NZ,2011-04-25
NZ,2011-12-25
NZ,2011-12-26
US,2012-01-01
US,2012-01-16
US,2012-02-20
US,2012-05-28
US,2012-07-04
US,2012-09-03
US,2012-11-22
US,2012-12-25
US,2012-04-06
UK,2012-01-01
UK,2012-04-06
UK,2012-04-09
UK,2012-05-07
UK,2012-05-28
UK,2012-08-27
UK,2012-12-25
UK,2012-12-26
EU,2012-01-01
EU,2012-04-06
EU,2012-04-09
EU,2012-05-01
EU,2012-12-25
EU,2012-12-26
JP,2012-01-01
JP,2012-01-02
JP,2012-01-03
JP,2012-01-09
JP,2012-02-11
JP,2012-04-29
JP,2012-05-03
JP,2012-05-04
JP,2012-05-05
JP,2012-07-16
JP,2012-09-17
JP,2012-10-08
JP,2012-11-03
JP,2012-11-23
CH,2012-01-01
CH,2012-01-02
CH,2012-04-06
CH,2012-04-09
CH,2012-05-17
CH,2012-05-28
CH,2012-08-01
CH,2012-12-25
CH,2012-12-26
CA,2012-01-01
CA,2012-04-06
CA,2012-05-21
CA,2012-07-01
CA,2012-09-03
CA,2012-10-08
CA,2012-12-25
CA,2012-12-26
AU,2012-01-01
AU,2012-01-26
AU,2012-04-06
AU,2012-04-09
AU,2012-04-25
AU,2012-12-25
AU,2012-12-26
NZ,2012-01-01
NZ,2012-01-02
NZ,2012-02-06
NZ,2012-04-06
NZ,2012-04-09
NZ,2012-04-25
NZ,2012-12-25
NZ,2012-12-26
US,2013-01-01
US,2013-01-21
US,2013-02-18
US,2013-05-27
US,2013-07-04
US,2013-09-02
US,2013-11-28
US,2013-12-25
US,2013-03-29
UK,2013-01-01
UK,2013-03-29
UK,2013-04-01
UK,2013-05-06
UK,2013-05-27
UK,2013-08-26
UK,2013-12-25
UK,2013-12-26
EU,2013-01-01
EU,2013-03-29
EU,2013-04-01
EU,2013-05-01
EU,2013-12-25
EU,2013-12-26
JP,2013-01-01
JP,2013-01-02
JP,2013-01-03
JP,2013-01-14
JP,2013-02-11
JP,2013-04-29
JP,2013-05-03
JP,2013-05-04
JP,2013-05-05
JP,2013-07-15
JP,2013-09-16
JP,2013-10-14
JP,2013-11-03
JP,2013-11-23
CH,2013-01-01
CH,2013-01-02
CH,2013-03-29
CH,2013-04-01
CH,2013-05-09
CH,2013-05-20
CH,2013-08-01
CH,2013-12-25
CH,2013-12-26
CA,2013-01-01
CA,2013-03-29
CA,2013-05-20
CA,2013-07-01
CA,2013-09-02
CA,2013-10-14
CA,2013-12-25
CA,2013-12-26
AU,2013-01-01
AU,2013-01-26
AU,2013-03-29
AU,2013-04-01
AU,2013-04-25
AU,2013-12-25
AU,2013-12-26
NZ,2013-01-01
NZ,2013-01-02
NZ,2013-02-06
NZ,2013-03-29
NZ,2013-04-01
NZ,2013-04-25
NZ,2013-12-25
NZ,2013-12-26
US,2014-01-01
US,2014-01-20
US,2014-02-17
US,2014-05-26
US,2014-07-04
US,2014-09-01
US,2014-11-27
US,2014-12-25
US,2014-04-18
UK,2014-01-01
UK,2014-04-18
UK,2014-04-21
UK,2014-05-05
UK,2014-05-26
UK,2014-08-25
UK,2014-12-25
UK,2014-12-26
EU,2014-01-01
EU,2014-04-18
EU,2014-04-21
EU,2014-05-01
EU,2014-12-25
EU,2014-12-26
JP,2014-01-01
JP,2014-01-02
JP,2014-01-03
JP,2014-01-13
JP,2014-02-11
JP,2014-04-29
JP,2014-05-03
JP,2014-05-04
JP,2014-05-05
JP,2014-07-21
JP,2014-09-15
JP,2014-10-13
JP,2014-11-03
JP,2014-11-23
CH,2014-01-01
CH,2014-01-02
CH,2014-04-18
CH,2014-04-21
CH,2014-05-29
CH,2014-06-09
CH,2014-08-01
CH,2014-12-25
CH,2014-12-26
CA,2014-01-01
CA,2014-04-18
CA,2014-05-19
CA,2014-07-01
CA,2014-09-01
CA,2014-10-13
CA,2014-12-25
CA,2014-12-26
AU,2014-01-01
AU,2014-01-26
AU,2014-04-18
AU,2014-04-21
AU,2014-04-25
AU,2014-12-25
AU,2014-12-26
NZ,2014-01-01
NZ,2014-01-02
NZ,2014-02-06
NZ,2014-04-18
NZ,2014-04-21
NZ,2014-04-25
NZ,2014-12-25
NZ,2014-12-26
US,2015-01-01
US,2015-01-19
US,2015-02-16
US,2015-05-25
US,2015-07-04
US,2015-09-07
US,2015-11-26
US,2015-12-25
US,2015-04-03
UK,2015-01-01
UK,2015-04-03
UK,2015-04-06
UK,2015-05-04
UK,2015-05-25
UK,2015-08-31
UK,2015-12-25
UK,2015-12-26
EU,2015-01-01
EU,2015-04-03
EU,2015-04-06
EU,2015-05-01
EU,2015-12-25
EU,2015-12-26
JP,2015-01-01
JP,2015-01-02
JP,2015-01-03
JP,2015-01-12
JP,2015-02-11
JP,2015-04-29
JP,2015-05-03
JP,2015-05-04
JP,2015-05-05
JP,2015-07-20
JP,2015-09-21
JP,2015-10-12
JP,2015-11-03
JP,2015-11-23
CH,2015-01-01
CH,2015-01-02
CH,2015-04-03
CH,2015-04-06
CH,2015-05-14
CH,2015-05-25
CH,2015-08-01
CH,2015-12-25
CH,2015-12-26
CA,2015-01-01
CA,2015-04-03
CA,2015-05-18
CA,2015-07-01
CA,2015-09-07
CA,2015-10-12
CA,2015-12-25
CA,2015-12-26
AU,2015-01-01
AU,2015-01-26
AU,2015-04-03
AU,2015-04-06
AU,2015-04-25
AU,2015-12-25
AU,2015-12-26
NZ,2015-01-01
NZ,2015-01-02
NZ,2015-02-06
NZ,2015-04-03
NZ,2015-04-06
NZ,2015-04-25
NZ,2015-12-25
NZ,2015-12-26
US,2016-01-01
US,2016-01-18
US,2016-02-15
US,2016-05-30
US,2016-07-04
US,2016-09-05
US,2016-11-24
US,2016-12-25
US,2016-03-25
UK,2016-01-01
UK,2016-03-25
UK,2016-03-28
UK,2016-05-02
UK,2016-05-30
UK,2016-08-29
UK,2016-12-25
UK,2016-12-26
EU,2016-01-01
EU,2016-03-25
EU,2016-03-28
EU,2016-05-01
EU,2016-12-25
EU,2016-12-26
JP,2016-01-01
JP,2016-01-02
JP,2016-01-03
JP,2016-01-11
JP,2016-02-11
JP,2016-04-29
JP,2016-05-03
JP,2016-05-04
JP,2016-05-05
JP,2016-07-18
JP,2016-09-19
JP,2016-10-10
JP,2016-11-03
JP,2016-11-23
CH,2016-01-01
CH,2016-01-02
CH,2016-03-25
CH,2016-03-28
CH,2016-05-05
CH,2016-05-16
CH,2016-08-01
CH,2016-12-25
CH,2016-12-26
CA,2016-01-01
CA,2016-03-25
CA,2016-05-23
CA,2016-07-01
CA,2016-09-05
CA,2016-10-10
CA,2016-12-25
CA,2016-12-26
AU,2016-01-01
AU,2016-01-26
AU,2016-03-25
AU,2016-03-28
AU,2016-04-25
AU,2016-12-25
AU,2016-12-26
NZ,2016-01-01
NZ,2016-01-02
NZ,2016-02-06
NZ,2016-03-25
NZ,2016-03-28
NZ,2016-04-25
NZ,2016-12-25
NZ,2016-12-26
US,2017-01-01
US,2017-01-16
US,2017-02-20
US,2017-05-29
US,2017-07-04
US,2017-09-04
US,2017-11-23
US,2017-12-25
US,2017-04-14
UK,2017-01-01
UK,2017-04-14
UK,2017-04-17
UK,2017-05-01
UK,2017-05-29
UK,2017-08-28
UK,2017-12-25
UK,2017-12-26
EU,2017-01-01
EU,2017-04-14
EU,2017-04-17
EU,2017-05-01
EU,2017-12-25
EU,2017-12-26
JP,2017-01-01
JP,2017-01-02
JP,2017-01-03
JP,2017-01-09
JP,2017-02-11
JP,2017-04-29
JP,2017-05-03
JP,2017-05-04
JP,2017-05-05
JP,2017-07-17
JP,2017-09-18
JP,2017-10-09
JP,2017-11-03
JP,2017-11-23
CH,2017-01-01
CH,2017-01-02
CH,2017-04-14
CH,2017-04-17
CH,2017-05-25
CH,2017-06-05
CH,2017-08-01
CH,2017-12-25
CH,2017-12-26
CA,2017-01-01
CA,2017-04-14
CA,2017-05-22
CA,2017-07-01
CA,2017-09-04
CA,2017-10-09
CA,2017-12-25
CA,2017-12-26
AU,2017-01-01
AU,2017-01-26
AU,2017-04-14
AU,2017-04-17
AU,2017-04-25
AU,2017-12-25
AU,2017-12-26
NZ,2017-01-01
NZ,2017-01-02
NZ,2017-02-06
NZ,2017-04-14
NZ,2017-04-17
NZ,2017-04-25
NZ,2017-12-25
NZ,2017-12-26
US,2018-01-01
US,2018-01-15
US,2018-02-19
US,2018-05-28
US,2018-07-04
US,2018-09-03
US,2018-11-22
US,2018-12-25
US,2018-03-30
UK,2018-01-01
UK,2018-03-30
UK,2018-04-02
UK,2018-05-07
UK,2018-05-28
UK,2018-08-27
UK,2018-12-25
UK,2018-12-26
EU,2018-01-01
EU,2018-03-30
EU,2018-04-02
EU,2018-05-01
EU,2018-12-25
EU,2018-12-26
JP,2018-01-01
JP,2018-01-02
JP,2018-01-03
JP,2018-01-08
JP,2018-02-11
JP,2018-04-29
JP,2018-05-03
JP,2018-05-04
JP,2018-05-05
JP,2018-07-16
JP,2018-09-17
JP,2018-10-08
JP,2018-11-03
JP,2018-11-23
CH,2018-01-01
CH,2018-01-02
CH,2018-03-30
CH,2018-04-02
CH,2018-05-10
CH,2018-05-21
CH,2018-08-01
CH,2018-12-25
CH,2018-12-26
CA,2018-01-01
CA,2018-03-30
CA,2018-05-21
CA,2018-07-01
CA,2018-09-03
CA,2018-10-08
CA,2018-12-25
CA,2018-12-26
AU,2018-01-01
AU,2018-01-26
AU,2018-03-30
AU,2018-04-02
AU,2018-04-25
AU,2018-12-25
AU,2018-12-26
NZ,2018-01-01
NZ,2018-01-02
NZ,2018-02-06
NZ,2018-03-30
NZ,2018-04-02
NZ,2018-04-25
NZ,2018-12-25
NZ,2018-12-26
US,2019-01-01
US,2019-01-21
US,2019-02-18
US,2019-05-27
US,2019-07-04
US,2019-09-02
US,2019-11-28
US,2019-12-25
US,2019-04-19
UK,2019-01-01
UK,2019-04-19
UK,2019-04-22
UK,2019-05-06
UK,2019-05-27
UK,2019-08-26
UK,2019-12-25
UK,2019-12-26
EU,2019-01-01
EU,2019-04-19
EU,2019-04-22
EU,2019-05-01
EU,2019-12-25
EU,2019-12-26
JP,2019-01-01
