n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share
320,78.26998364000036,24,6.837114758109384,18,2.691513706559431,34,9.538246762604508,0,0.0,284,62.465392941930766,ehlers_reverse_ema_signals,vortex_signals,variance_volume_signals,tma_baseline,trend,38,0.1218634055997161
121,75.48772765700639,13,3.497543055145659,7,4.854715562551209,19,8.59754305514565,0,0.0,95,50.527461815567776,polychromatic_momentum_signals,bears_bulls_impulse_signals,variance_volume_signals,rma_baseline,chop,39,0.11389325552638581
178,61.11478407974059,14,-3.2341272560041494,4,6.150072171135339,18,2.915944915131191,0,0.0,154,51.05518794446477,center_of_gravity_signals,kase_peak_oscillator_signals,damiani_volatmeter_volume_signals,mcginley_dynamic_index,trend,40,0.04771259457165979
250,71.24341955706691,20,0.47509081641551915,6,1.3988608349509555,24,2.873951651366524,0,0.0,221,62.62733921548872,ehlers_reverse_ema_signals,waddah_attar_explosion_signals,variance_volume_signals,mcginley_dynamic_index,trend,41,0.04033988920288212
146,81.04588711033465,15,16.344506714380994,6,4.346741854001089,20,17.691248568382072,0,0.0,119,49.28615004456293,parabolic_sar_signals,bears_bulls_impulse_signals,variance_volume_signals,fantail_vma,chop,42,0.21828681502736189
98,56.412025338327986,6,2.2957857723309494,4,6.056073684736421,10,8.35185945706737,0,0.0,87,43.48203014644911,trend_direction_force_index_signals,fisher_transform_signals,waddah_attar_explosion_volume_signals,ema_baseline,trend,43,0.1480510477505028
194,155.95211298471574,18,92.9850196064135,4,90.56076814900469,18,92.9850196064135,0,0.0,165,52.524517616729966,coral_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,fantail_vma,trend,44,0.5962408448773413
125,57.569371274004034,9,1.8117239214895484,5,6.285714285714311,14,8.09743820720386,0,0.0,100,47.196769086433854,bears_bulls_impulse_signals,lemantrend_signals,variance_volume_signals,fantail_vma,chop,45,0.1406553177151047
124,67.72517896498105,8,18.600000000000044,11,16.241233646186604,16,30.241233646186597,0,0.0,108,37.48394531879446,schaff_trend_cycle_signals,relative_vigor_index_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,46,0.4465286634653791
114,54.92771259885008,13,22.949764518177865,4,-0.4500000000000135,15,20.949764518177865,0,0.0,96,33.11481912459443,rex_oscillator_signals,ichimoku_signals,volatility_ratio_volume_signals,rma_baseline,chop,47,0.38140609770479417
116,49.60513429093177,11,7.600000000000018,13,18.00000000000003,21,22.400000000000038,0,0.0,90,29.10513429093176,glitch_index_signals,linreg_slope_signals,variance_volume_signals,fantail_vma,chop,48,0.45156615983791304
126,73.32982626325196,13,16.088410688176268,9,3.7243667036433137,21,16.812777391819637,0,0.0,97,43.945611327244784,halftrend_signals,qqe_mod_signals,variance_volume_signals,fantail_vma,chop,49,0.2292761110801252
132,79.28634335396978,9,11.123510153586885,4,-1.2243023478359563,12,9.03312919886595,0,0.0,110,51.8618965479329,supertrend_signals,fx_sniper_ergodic_cci_signals,choppiness_index_volume_signals,mcginley_dynamic_index,chop,50,0.11393045531861662
115,62.97731209034058,6,9.428314741197987,10,9.324153050381845,14,14.968712440600308,0,0.0,99,44.59606082852265,center_of_gravity_signals,linreg_slope_signals,efficiency_ratio_volume_signals,fantail_vma,chop,51,0.23768420632382306
250,88.95138320224277,25,14.72499775756597,17,13.880271950663868,39,27.367397461412256,0,0.0,205,64.08398574083051,fisher_transform_signals,ehlers_reverse_ema_signals,efficiency_ratio_volume_signals,fantail_vma,chop,52,0.30766691282572695
128,69.03172046286602,7,1.1695887698382759,4,3.5000616217959464,11,4.669650391634222,0,0.0,105,53.82882557761079,parabolic_sar_signals,lemantrend_signals,variance_volume_signals,wma_baseline,chop,53,0.06764499508810808
231,97.95344599593,23,12.096784246860398,20,7.5773654121843945,40,18.68722471829496,0,0.0,181,67.13949224943858,polychromatic_momentum_signals,fisher_transform_signals,variance_volume_signals,fantail_vma,chop,54,0.19077659318970178
113,62.38727877077462,12,6.792063133480811,15,14.067664381746642,25,18.832469490528652,0,0.0,85,39.135703407156804,waddah_attar_explosion_signals,volatility_quality_signals,variance_volume_signals,fantail_vma,chop,55,0.3018639354302265
120,55.19286751533842,12,2.3125051323630976,3,-0.3333333333333568,14,0.31250513236308297,0,0.0,103,55.213695716308656,ichimoku_signals,rex_oscillator_signals,volatility_ratio_volume_signals,rma_baseline,chop,56,0.005662056465470578
101,57.63961379081495,4,3.6311362105747103,5,2.9999999999999685,8,7.631136210574681,0,0.0,90,45.00847758024026,waddah_attar_explosion_signals,ssl_channel_signals,waddah_attar_explosion_volume_signals,fantail_vma,chop,57,0.13239395111614585
117,54.21794365260257,14,8.000584128825976,8,6.609659890590505,21,13.236198217889765,0,0.0,91,42.93453462256106,ichimoku_signals,ehlers_reverse_ema_signals,volatility_ratio_volume_signals,rma_baseline,chop,58,0.24412947681490316
226,59.20933906734118,24,3.348186097041613,2,2.6451655434942314,24,3.348186097041613,0,0.0,192,55.62422334564014,kase_peak_oscillator_signals,schaff_trend_cycle_signals,variance_volume_signals,tma_baseline,trend,59,0.05654827683912474
192,53.9583452380309,22,3.5224128432565065,4,1.3831492703839627,24,2.522412843256502,0,0.0,162,51.30512074620975,ehlers_reverse_ema_signals,aroon_signals,variance_volume_signals,tma_baseline,trend,60,0.04674740917515491
