signal,shift,si,so,to,ao,mo
eff_trail_10,4759,-0.0005305840892810276,-0.006205039680341667,-3.3215036910264355,0.6428571428571429,-0.9146993954337244
eff_trail_15,4759,0.00593414461985331,-0.0008000953682893164,-0.4283211299651809,0.5357142857142857,-0.7384035474050461
eff_trail_20,4759,0.004867884950934598,-0.0020115088794985803,-1.0738636635874317,0.4642857142857143,-0.6862558497876342
persist_ratio,4759,0.0032957513117680415,-0.00131994511371189,-0.7063109103317566,0.5,0.059918654761895646
persist_log,4759,0.0032990571878202535,-0.001299085720908283,-0.6954086761374324,0.5357142857142857,0.03756158574354764
persist_diff,4759,0.003503640986120604,0.0012561617764407507,0.6728731996856899,0.5357142857142857,0.894478668329829
ts_slope,4759,0.0027499693978675355,0.000918134785018565,0.49226292922271914,0.5714285714285714,0.5785202550469227
ts_curve,4759,-0.0034139793713054145,-0.0003567999882436723,-0.1919643734377802,0.5,0.16280522789168708
ts_disp,4759,-0.00520700181992792,-0.0006543894554628948,-0.3474729106007539,0.5357142857142857,-0.2649820865930581
xh_agree,4759,0.001156402240494625,-0.0031919220050683366,-0.9099518264325405,0.5714285714285714,
xh_ends,4759,-0.0017801389840809195,-0.0011798793792962361,-0.7452664256537994,0.5,
mtf_agree,4759,0.002486977020032253,0.0006197564982759603,0.14065687319963927,0.5357142857142857,
conf_2of4,4759,0.0018406063888078258,-0.001351806438511746,-0.43034629471679037,0.5714285714285714,
conf_3of4,4759,0.002818341850878218,-7.877152828088957e-05,-0.025002100876841567,0.4642857142857143,
conf_4of4,4759,0.002897092295742742,-0.0015581072407947077,-0.5159276090531154,0.6071428571428571,
conf_3of4_and_persist,4759,0.005706633868410375,6.700732173247884e-05,0.020422630647101425,0.5,
conf_3of4_and_mtf,4759,0.0021735097995320557,-0.0005720877062617176,-0.16254781284500208,0.5,
conf_all_three,4759,0.006584847683885807,-0.0005673869057197156,-0.1423638665680314,0.5,
eff_trail_5,3321,-0.0018082871429717373,-0.001346718343398362,-0.7057416066965391,0.5357142857142857,-0.07950677601218792
eff_trail_10,3321,0.0026866759540816465,0.006972998965198957,3.6627123512240027,0.6428571428571429,0.9597251052466482
eff_trail_15,3321,0.0018327256136645986,0.004140247470475866,2.1782466174841897,0.6071428571428571,0.824275429353838
eff_trail_20,3321,0.0016856546763117375,0.002750836651444183,1.4474162620908315,0.6785714285714286,0.8296830317838367
persist_ratio,3321,0.002057976335929579,0.00020762913266930694,0.10906547518247726,0.4642857142857143,0.44205914990960554
persist_log,3321,0.0021563508174892165,0.00022925675576743187,0.12046235256752647,0.4642857142857143,0.4447587764285171
persist_diff,3321,0.002266929054351219,0.0020860185830196554,1.1017752524377424,0.5357142857142857,0.597735669793459
ts_slope,3321,0.002738024727531929,0.0012451781181276877,0.6575318951532434,0.5,0.38595596832380336
ts_curve,3321,-0.004948076004888752,-0.006304393592824198,-3.3197615765233297,0.6428571428571429,-0.8703362571964263
ts_disp,3321,-0.0047742545231819755,-0.0074198922979089865,-3.8727930783406537,0.6785714285714286,-0.9104894206279738
xh_agree,3321,0.004880861648557702,0.007455123405297146,2.9461242951717166,0.8214285714285714,
xh_ends,3321,-0.002970221073645661,-0.000349932249307102,-0.21863861454826308,0.5,
mtf_agree,3321,0.005691024222487587,0.0029205616718484323,1.281306517279638,0.5714285714285714,
conf_2of4,3321,0.004805731912411237,0.003173622805500317,1.4669933871083563,0.6428571428571429,
conf_3of4,3321,0.004343303400307442,0.003846937447429158,1.5906150807653283,0.6785714285714286,
conf_4of4,3321,0.003925536381429883,0.0058216499891296574,2.2046441684206397,0.6785714285714286,
conf_3of4_and_persist,3321,0.006480051255725515,0.004061620071468352,1.2012986843094258,0.6071428571428571,
conf_3of4_and_mtf,3321,0.0068182793313777,0.0037769504404407744,1.6074402338653122,0.6428571428571429,
conf_all_three,3321,0.007072737649016892,0.002763295746820511,0.8032034588382971,0.5714285714285714,
eff_trail_5,4371,0.005225875207213931,-0.0009398397296030703,-0.4928439417425934,0.6071428571428571,-0.630275960672235
eff_trail_10,4371,0.00796939835861138,-0.001153690900846993,-0.6004930808349206,0.5,0.012755674143022408
eff_trail_15,4371,0.005083335937191152,0.0016024845557419953,0.8363896681873825,0.42857142857142855,0.6004999614872362
eff_trail_20,4371,0.004659566577547791,-0.0032457359400854813,-1.7048383590492724,0.5357142857142857,-0.8669437869459471
persist_ratio,4371,-0.0007065296892087569,-1.6282307005482943e-05,-0.008590524633956076,0.5,-0.15595654287742877
persist_log,4371,-0.0008198579669861372,-2.1631423428591923e-05,-0.011414408780494094,0.5,-0.15630393251624228
persist_diff,4371,-0.002553112212792863,0.0011163018706255579,0.5923370317025811,0.5714285714285714,0.12495303063841912
ts_slope,4371,-0.002699345607973358,-0.00039473155312785835,-0.20985113457430993,0.4642857142857143,0.0311686109509786
ts_curve,4371,-0.0011574421987515515,-0.004598566248814773,-2.4218552121101022,0.5714285714285714,-0.7140301621308537
ts_disp,4371,-0.003994260764818819,-0.0024828668444420166,-1.305906327528047,0.5357142857142857,-0.7601920621174479
xh_agree,4371,0.005535803222243306,-0.003388924609259548,-1.2669740749364526,0.6428571428571429,
xh_ends,4371,-0.0009054609045618904,0.004533867391685313,2.7003412775515057,0.6785714285714286,
mtf_agree,4371,0.0004689051931502127,0.0018783536930694047,0.5976807326607046,0.4642857142857143,
conf_2of4,4371,0.004223671340848159,-0.002566647955586618,-1.0313068683649247,0.6071428571428571,
conf_3of4,4371,0.0030952450962160307,0.00048809146119344656,0.22024907973319155,0.5,
conf_4of4,4371,0.006132130654667731,0.0017159523355874296,0.644513352435144,0.5714285714285714,
conf_3of4_and_persist,4371,-0.0002929252911432568,-0.003522984304733068,-0.8952487191753352,0.5714285714285714,
conf_3of4_and_mtf,4371,0.0022228281788544313,-0.00038308182359065044,-0.13799135193835518,0.5,
conf_all_three,4371,-0.002184569444130444,-0.0035511236814037917,-0.7618805960262662,0.6785714285714286,
eff_trail_5,3047,0.0043739901015543425,0.0010233180934037522,0.5409174646260039,0.5357142857142857,0.688650353535288
eff_trail_10,3047,0.008926572685776485,-0.0014662764154163566,-0.7743257699817443,0.5714285714285714,-0.3246040295745724
eff_trail_15,3047,0.009495513892403856,0.0017796870808162168,0.9426754384732945,0.6071428571428571,0.4008333916734982
