pair,start,end,bars,net_vol,eff,crossings,prev,nxt
NZDUSD,2025-02-13,2025-03-21,27,0.32329731325589445,0.0686746454749362,10,trending,ranging
GBPCAD,2018-02-06,2018-03-14,27,1.4774849233972884,0.3144720910916653,8,trending,trending
GBPJPY,2016-08-10,2016-09-15,27,0.23705096043720233,0.19846296206513633,2,neither,ranging
CADCHF,2021-05-04,2021-06-09,27,0.14835733257457623,0.051809694912672864,13,trending,trending
CADJPY,2022-05-24,2022-06-29,27,1.6337666538573048,0.31689984804918153,4,trending,trending
AUDNZD,2016-01-04,2016-02-09,27,0.018114917614998057,0.0040823011399452715,7,,ranging
CHFJPY,2022-05-26,2022-07-01,27,1.6915024751920587,0.3885718425195437,2,trending,trending
NZDJPY,2016-05-09,2016-06-13,26,0.4854570293169836,0.17542887448953023,6,ranging,neither
USDCHF,2020-07-21,2020-08-25,26,1.4000780572638039,0.2617912231921643,8,trending,trending
NZDUSD,2018-06-19,2018-07-24,26,0.6341192367929286,0.1374859765255528,6,ranging,trending
CHFJPY,2026-06-22,2026-07-27,26,0.005604780566592275,0.0015154216443643766,7,trending,ranging
EURUSD,2026-06-29,2026-08-03,26,0.4851069431435148,0.1318387381111132,8,ranging,ranging
GBPUSD,2023-06-28,2023-08-02,26,0.25198037665016104,0.05166592514040607,7,ranging,trending
GBPCHF,2020-01-08,2020-02-12,26,0.251054200164364,0.0794532679440818,7,trending,ranging
CADJPY,2018-02-20,2018-03-27,26,1.2334067529467363,0.26362894813826154,4,ranging,trending
EURCAD,2018-02-09,2018-03-15,25,1.8848123129518801,0.4009651471081058,2,ranging,trending
EURAUD,2017-01-20,2017-02-23,25,1.283204220767997,0.41278741481273507,2,neither,trending
USDCHF,2017-01-20,2017-02-23,25,0.18906539090690935,0.05494064591573025,9,neither,trending
EURJPY,2021-02-22,2021-03-26,25,0.7514291013468419,0.1783477529559911,8,ranging,trending
CADJPY,2020-01-08,2020-02-11,25,0.685227448834217,0.16496086442255595,2,ranging,ranging
EURAUD,2016-01-25,2016-02-26,25,0.37047514001615506,0.10800866641575706,6,trending,trending
AUDJPY,2018-02-20,2018-03-26,25,1.3134823810280358,0.2608497580555618,6,ranging,trending
CADJPY,2017-01-20,2017-02-23,25,0.025038102481944005,0.006867523796508022,7,trending,trending
NZDCAD,2025-02-13,2025-03-18,24,1.6674927164530342,0.4192549394453766,4,neither,ranging
GBPCAD,2023-02-20,2023-03-23,24,1.4507961417752553,0.3552805944042451,2,trending,trending
GBPCAD,2017-10-11,2017-11-13,24,0.4148026198665439,0.09993107899173533,7,trending,ranging
CADCHF,2020-03-10,2020-04-10,24,0.28045567552385414,0.05596330427276667,9,ranging,trending
GBPUSD,2017-11-22,2017-12-26,24,0.1601611122415436,0.050602987957352324,5,ranging,ranging
EURAUD,2018-02-23,2018-03-28,24,1.1853962480242073,0.2736161352832736,6,trending,trending
EURNZD,2019-06-17,2019-07-18,24,2.339911387029229,0.5124135958096155,4,ranging,ranging
AUDJPY,2023-03-22,2023-04-24,24,0.6634103349618189,0.18676860580075924,6,ranging,ranging
AUDUSD,2021-09-16,2021-10-19,24,0.9591130285007625,0.24697059023674317,2,ranging,trending
GBPNZD,2021-01-13,2021-02-15,24,0.48399845813215453,0.16004551797397037,8,ranging,ranging
USDJPY,2025-12-24,2026-01-27,23,1.1035431853448656,0.28362023433382205,3,trending,trending
GBPCHF,2020-07-09,2020-08-10,23,0.4046436157645295,0.12384223444753316,8,neither,ranging
AUDCAD,2022-09-20,2022-10-20,23,1.4525046836834883,0.3474677670871926,2,ranging,trending
AUDUSD,2022-08-24,2022-09-23,23,1.4801726953862049,0.36154094652915586,4,neither,ranging
NZDUSD,2025-11-06,2025-12-08,23,1.124554798223119,0.3117396094726218,4,ranging,neither
EURUSD,2020-10-02,2020-11-03,23,0.01357156254852564,0.003201224818201306,7,trending,trending
AUDCAD,2017-09-18,2017-10-18,23,0.03131067199128434,0.008013520480777274,13,ranging,ranging
GBPNZD,2025-02-03,2025-03-05,23,0.8542573282900059,0.2241044738321325,2,ranging,trending
EURNZD,2017-08-18,2017-09-19,23,0.732943107421292,0.21496675524505515,7,trending,trending
AUDJPY,2024-02-27,2024-03-28,23,0.0696747561891319,0.01735579867014407,3,ranging,trending
GBPAUD,2016-02-04,2016-03-04,22,1.6153920712667793,0.38930371425933546,2,ranging,trending
GBPUSD,2017-09-06,2017-10-05,22,0.24529625336746594,0.048015975226992025,3,trending,ranging
USDCHF,2024-10-03,2024-11-01,22,0.8448631703811158,0.3198632047141086,2,trending,neither
NZDJPY,2024-03-28,2024-04-26,22,2.02898350338554,0.4489707715552568,4,ranging,ranging
EURGBP,2024-12-04,2025-01-06,22,0.17508696247066852,0.04837217237378192,8,ranging,trending
AUDCHF,2017-11-02,2017-12-01,22,1.5424457863880143,0.46711257815073465,2,ranging,ranging
AUDCAD,2019-05-07,2019-06-05,22,0.6700748618581028,0.1701139821070738,5,ranging,ranging
EURJPY,2018-06-18,2018-07-17,22,1.0037988873096109,0.3576476661440064,4,trending,neither
GBPJPY,2020-08-14,2020-09-14,22,1.1110328585543692,0.256084999358673,8,ranging,ranging
CADJPY,2022-04-08,2022-05-09,22,0.45073013266756823,0.0973613047810087,5,ranging,trending
AUDUSD,2020-11-09,2020-12-08,22,0.6095932265482858,0.23737183427791445,2,trending,trending
AUDJPY,2017-10-02,2017-10-31,22,0.618294442881162,0.23487303416011324,4,trending,trending
EURCHF,2018-10-11,2018-11-09,22,0.38108612367168665,0.13271141967710498,6,trending,trending
GBPCHF,2016-03-29,2016-04-27,22,0.4989288975076763,0.14090555777528066,3,neither,trending
CADJPY,2016-09-19,2016-10-18,22,0.7209911789565079,0.1916861058810366,4,neither,trending
EURUSD,2018-07-02,2018-07-30,21,0.25750461947949504,0.09806043058202829,10,trending,ranging
EURAUD,2024-06-25,2024-07-23,21,1.2622130486874552,0.41514999133815716,2,ranging,ranging
USDCAD,2018-09-11,2018-10-09,21,0.4712115652506548,0.1338006264430844,6,ranging,ranging
USDCAD,2016-01-04,2016-02-01,21,0.017002316330356128,0.003080044973213777,5,,trending
GBPCHF,2022-07-04,2022-08-01,21,0.018579533223612603,0.006616084225329161,11,ranging,ranging
GBPCAD,2024-02-27,2024-03-26,21,0.0355702717880041,0.010806483157977092,5,ranging,ranging
EURCHF,2021-04-07,2021-05-05,21,0.5613842502690259,0.192839592138017,8,trending,ranging
EURAUD,2026-06-01,2026-06-29,21,1.423144356306106,0.3868688459944499,4,trending,trending
CHFJPY,2023-11-08,2023-12-05,20,0.09472003205141512,0.024989316347743432,7,trending,trending
CADJPY,2019-08-15,2019-09-11,20,1.135306574203358,0.2787913553715471,2,neither,ranging
CADJPY,2023-08-07,2023-09-01,20,0.36972123549482905,0.14710774016747286,6,trending,trending
CADJPY,2024-05-30,2024-06-26,20,1.0335059907940398,0.3517398613542346,4,trending,trending
CADJPY,2024-10-17,2024-11-13,20,0.5906886454613902,0.20466638921524952,8,trending,trending
CADCHF,2020-04-21,2020-05-18,20,0.4978941677808131,0.15375373632140188,12,trending,trending
CADCHF,2023-04-14,2023-05-11,20,0.3915517960166292,0.10142824316391769,5,trending,ranging
CHFJPY,2022-09-06,2022-10-03,20,0.15585562071053122,0.03131801169736302,5,trending,trending
GBPNZD,2016-04-11,2016-05-06,20,0.4711220371974083,0.15796759446114692,2,trending,trending
USDJPY,2022-06-01,2022-06-28,20,1.4861407117782341,0.3361071921127676,4,trending,trending
AUDUSD,2026-03-17,2026-04-13,20,0.04060185167653389,0.011195152944553125,3,trending,neither
EURJPY,2025-08-28,2025-09-24,20,1.136830437711501,0.42035086730085564,4,trending,trending
EURJPY,2023-07-31,2023-08-25,20,0.41060746872716136,0.13459882483124394,4,trending,trending
GBPUSD,2017-07-26,2017-08-22,20,1.0505023773747166,0.32217789532176166,2,ranging,trending
GBPUSD,2018-03-07,2018-04-03,20,0.46925412674603284,0.16275256997287038,6,ranging,trending
GBPUSD,2020-01-21,2020-02-17,20,0.15141075688485672,0.04300845837190953,8,trending,trending
GBPUSD,2021-03-30,2021-04-26,20,0.6440630098601718,0.18048075312113074,4,trending,trending
GBPUSD,2021-12-06,2021-12-31,20,1.0756815110532023,0.3264401015403618,2,ranging,ranging
GBPCAD,2023-06-06,2023-07-03,20,0.6075353992720659,0.16642102720635216,6,ranging,trending
GBPCHF,2021-05-06,2021-06-02,20,0.49458126156700294,0.16621342737901626,8,neither,trending
GBPCHF,2026-07-17,2026-08-13,20,0.9189299467796773,0.2802877909876945,4,ranging,trending
GBPJPY,2022-06-14,2022-07-11,20,0.14237935413193611,0.05443891520478661,3,ranging,ranging
GBPJPY,2024-04-23,2024-05-20,20,1.3438549519459093,0.2682724195147494,4,trending,trending
AUDNZD,2019-01-15,2019-02-11,20,0.5438692585429759,0.17264027223814923,2,trending,trending
AUDUSD,2020-10-02,2020-10-29,20,0.725212128074572,0.20133344182273386,8,trending,trending
AUDCAD,2021-07-12,2021-08-06,20,0.522738347654746,0.13270127043860216,4,trending,trending
EURAUD,2018-01-05,2018-02-01,20,0.8640182779747329,0.2543301656710304,6,trending,trending
AUDCHF,2019-07-25,2019-08-21,20,1.8009440312054927,0.2892457651130897,2,trending,trending
EURUSD,2022-09-07,2022-10-04,20,0.06938392080746879,0.014711080880994456,3,trending,trending
AUDJPY,2017-03-02,2017-03-29,20,0.5986926803541172,0.18156873012538863,2,trending,trending
EURUSD,2022-06-15,2022-07-12,20,1.4821471244915536,0.393747399595957,2,trending,trending
EURUSD,2018-03-07,2018-04-03,20,0.5251695710557674,0.15022633447668177,10,neither,trending
NZDCHF,2024-06-28,2024-07-25,20,2.895360515061203,0.7697634765871242,2,ranging,trending
NZDCHF,2025-09-23,2025-10-20,20,0.984888418628113,0.2816398660607487,2,ranging,trending
EURAUD,2026-01-23,2026-02-19,20,1.6758624508989939,0.37159824032748734,4,ranging,trending
USDCAD,2021-02-23,2021-03-22,20,0.27477211116978156,0.0776632127022702,4,trending,trending
USDCAD,2024-05-28,2024-06-24,20,0.06621339239836921,0.024301899232388978,5,ranging,ranging
EURAUD,2021-02-17,2021-03-16,20,0.5513866095077604,0.13930893004835362,4,neither,trending
EURAUD,2018-04-30,2018-05-25,20,2.364690340378093,0.7374797672836404,2,trending,neither
USDCHF,2022-05-03,2022-05-30,20,1.1657477805149794,0.26779259408042316,3,ranging,ranging
USDJPY,2017-01-20,2017-02-16,20,0.3298306276620844,0.0931483222700394,8,trending,trending
EURUSD,2021-12-28,2022-01-24,20,0.07701560448603173,0.022494220598854867,7,trending,trending
