date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-08,USDCAD,,,,weak,3.35938,,,,,,,is
1999-04-08,USDCHF,,,,medium,3.81775,,,,,,,is
1999-04-08,USDJPY,,,,weak,3.7978,,,,,,,is
1999-04-08,CADCHF,,,,weak,3.22978,,,,,,,is
1999-04-08,CADJPY,,,,weak,3.64668,,,,,,,is
1999-04-08,CHFJPY,,,,weak,3.09969,,,,,,,is
1999-04-09,EURGBP,,,,strong,4.35999,,,,,,,is
1999-04-09,EURAUD,,,,weak,3.7335,,,,,,,is
1999-04-09,EURNZD,,,,weak,3.40047,,,,,,,is
1999-04-09,EURUSD,,,,medium,4.04898,,,,,,,is
1999-04-09,EURCAD,,,,weak,3.47278,,,,,,,is
1999-04-09,EURCHF,,,,weak,2.68358,,,,,,,is
1999-04-09,EURJPY,,,,weak,3.45565,,,,,,,is
1999-04-09,GBPAUD,,,,weak,3.13462,,,,,,,is
1999-04-09,GBPNZD,,,,weak,2.68148,,,,,,,is
1999-04-09,GBPUSD,,,,medium,4.34038,,,,,,,is
1999-04-09,GBPCAD,,,,weak,3.01841,,,,,,,is
1999-04-09,GBPCHF,,,,weak,3.55062,,,,,,,is
1999-04-09,GBPJPY,,,,weak,3.69019,,,,,,,is
1999-04-09,AUDNZD,,,,weak,2.88625,,,,,,,is
1999-04-09,AUDUSD,,,,medium,3.73539,,,,,,,is
1999-04-09,AUDCAD,,,,weak,3.622,,,,,,,is
1999-04-09,AUDCHF,,,,weak,3.50737,,,,,,,is
1999-04-09,AUDJPY,,,,medium,4.20526,,,,,,,is
1999-04-09,NZDUSD,,,,weak,3.19509,,,,,,,is
1999-04-09,NZDCAD,,,,weak,3.26088,,,,,,,is
1999-04-09,NZDCHF,,,,weak,3.13679,,,,,,,is
1999-04-09,NZDJPY,,,,medium,3.86809,,,,,,,is
1999-04-09,USDCAD,,,,weak,2.98774,,,,,,,is
1999-04-09,USDCHF,,,,medium,3.73277,,,,,,,is
1999-04-09,USDJPY,,,,medium,3.94388,,,,,,,is
1999-04-09,CADCHF,,,,weak,3.30853,,,,,,,is
1999-04-09,CADJPY,,,,weak,3.87376,,,,,,,is
1999-04-09,CHFJPY,,,,weak,3.45375,,,,,,,is
1999-04-12,EURGBP,,,,strong,4.46065,,,,,,,is
1999-04-12,EURAUD,,,,medium,4.39116,,,,,,,is
1999-04-12,EURNZD,,,,weak,3.84087,,,,,,,is
1999-04-12,EURUSD,,,,medium,4.33502,,,,,,,is
1999-04-12,EURCAD,,,,medium,4.08786,,,,,,,is
1999-04-12,EURCHF,,,,weak,3.06414,,,,,,,is
1999-04-12,EURJPY,,,,weak,3.57607,,,,,,,is
1999-04-12,GBPAUD,,,,weak,3.76329,,,,,,,is
1999-04-12,GBPNZD,,,,weak,3.07295,,,,,,,is
1999-04-12,GBPUSD,,,,medium,4.50136,,,,,,,is
1999-04-12,GBPCAD,,,,weak,3.53505,,,,,,,is
1999-04-12,GBPCHF,,,,weak,3.79557,,,,,,,is
1999-04-12,GBPJPY,,,,weak,3.68614,,,,,,,is
1999-04-12,AUDNZD,,,,weak,2.79198,,,,,,,is
1999-04-12,AUDUSD,,,,medium,3.97913,,,,,,,is
1999-04-12,AUDCAD,,,,weak,3.80953,,,,,,,is
1999-04-12,AUDCHF,,,,medium,4.31426,,,,,,,is
1999-04-12,AUDJPY,,,,medium,4.18457,,,,,,,is
1999-04-12,NZDUSD,,,,weak,3.2583,,,,,,,is
1999-04-12,NZDCAD,,,,weak,3.34432,,,,,,,is
1999-04-12,NZDCHF,,,,weak,3.66901,,,,,,,is
1999-04-12,NZDJPY,,,,medium,3.79166,,,,,,,is
1999-04-12,USDCAD,,,,weak,3.26073,,,,,,,is
1999-04-12,USDCHF,,,,medium,4.27552,,,,,,,is
1999-04-12,USDJPY,,,,medium,3.91614,,,,,,,is
