sig,fam,spread_is,t_is,n_is,agree_is,spread_oos,t_oos,n_oos,agree_oos,held,p_is,fdr_pass
ef_120,ef,-0.013060012566191798,-7.685268785653485,93156.0,0.6428571428571429,-0.014733339526823597,-8.197506069078859,76524.0,0.6428571428571429,True,1.5267610828106065e-14,True
ampratio_120,ampratio,0.013032314770971581,7.668952835112328,93150.0,0.6428571428571429,0.014703822987420234,8.181256976076668,76520.0,0.6428571428571429,True,1.734061805327611e-14,True
dens_120,dens,0.013102081737348004,7.660910950702279,93156.0,0.6785714285714286,0.015793970120804635,8.919543075867855,76524.0,0.6785714285714286,True,1.8461883994345662e-14,True
d_cv_250,d_cv,0.013386166521481113,7.653323668501217,88956.0,0.75,-0.007466632340635576,-4.169494432774275,76524.0,0.6071428571428571,False,1.9585013173365645e-14,True
hma_60,hma,-0.012680209108761387,-7.5959640164276845,94276.0,0.6785714285714286,0.008077608155352717,4.5477853033471,76524.0,0.6785714285714286,False,3.055094210268378e-14,True
d_accel_10,d_accel,0.012444996408053799,7.498972015155661,95648.0,0.75,0.0009262588407311922,0.5158899742010231,76524.0,0.4642857142857143,True,6.432025661669858e-14,True
absmom_120,absmom,-0.012709866677011766,-7.493506586999689,93156.0,0.6428571428571429,-0.014259186706372662,-7.9300937318985225,76524.0,0.6071428571428571,True,6.705746644712287e-14,True
d_volratio_10,d_volratio,-0.012557933905294971,-7.464439389030395,95116.0,0.7857142857142857,-0.00010689773729868901,-0.05912409440195166,76524.0,0.4642857142857143,True,8.365501029318796e-14,True
z_ac1_120,z_ac1,-0.01403622488890377,-7.440306117928584,79156.0,0.6785714285714286,-0.006665229797363281,-3.7640348706916913,76524.0,0.4642857142857143,True,1.0045224821659464e-13,True
macorr_10,macorr,-0.012402363121509552,-7.423906532329627,96012.0,0.8928571428571429,0.00041033593671660484,0.2284317184856198,76524.0,0.5357142857142857,False,1.1371542204467568e-13,True
z_maxdd_40,z_maxdd,0.013717497033732262,7.419587604952952,80360.0,0.6071428571428571,0.01700314560106822,9.31770807277067,76524.0,0.6785714285714286,True,1.174855694489661e-13,True
ou_40,ou,-0.012724214711190451,-7.317785351607166,90976.0,0.75,-0.007170300148368669,-3.9310221331164024,73406.0,0.6071428571428571,True,2.5209666996516174e-13,True
ou_20,ou,-0.01249938027669864,-7.305778173251147,90928.0,0.7142857142857143,0.003392267350692868,1.855574798923504,72704.0,0.5714285714285714,False,2.7566663626904686e-13,True
z_vov_20,z_vov,-0.013409666184868135,-7.289285134383698,81452.0,0.6071428571428571,0.0019158151532922274,1.0517934350422176,76524.0,0.5,False,3.1160395328285217e-13,True
z_signent_60,z_signent,0.013388600200414658,7.279514647825626,80892.0,0.75,-0.01330178869622095,-7.305446197130214,76524.0,0.6785714285714286,False,3.350232942198814e-13,True
ddlow_40,ddlow,-0.01210456660815648,-7.263562033427204,95424.0,0.6071428571428571,-0.00697835428374155,-3.892964943193215,76524.0,0.5357142857142857,True,3.77027408292135e-13,True
d_maxdd_10,d_maxdd,0.011991923408848887,7.256092246622717,95452.0,0.6428571428571429,0.003652541232960549,2.08367578091002,76524.0,0.5714285714285714,True,3.984334108585309e-13,True
d_tstat_10,d_tstat,0.012054598225014562,7.254327876210084,95676.0,0.75,0.0001115543501717664,0.062156527362945954,76524.0,0.5,True,4.0366122823614656e-13,True
d_sharpe_10,d_sharpe,0.012054598225014562,7.254327876210084,95676.0,0.75,0.0001115543501717664,0.062156527362945954,76524.0,0.5,True,4.0366122823614656e-13,True
z_hma_90,z_hma,-0.012976180229868212,-7.19922602051779,79212.0,0.6071428571428571,0.007034209157739363,3.92532008010128,76524.0,0.6071428571428571,False,6.055530147747296e-13,True
ddhigh_250,ddhigh,0.012257188558578491,7.198944684478766,89544.0,0.6785714285714286,0.005066242601190318,2.8223131108552573,76524.0,0.6071428571428571,True,6.068035973699514e-13,True
z_zc_60,z_zc,0.013120363333395557,7.179617361866103,80892.0,0.6428571428571429,0.006525096084390364,3.6127188162579142,76524.0,0.7142857142857143,True,6.990679150556919e-13,True
ddlow_60,ddlow,-0.011862941086292267,-7.174487894069468,94864.0,0.6428571428571429,-0.010203982038157311,-5.677741775839943,76524.0,0.6428571428571429,True,7.25783439477434e-13,True
zc_10,zc,0.011854587388890142,7.1165044852129355,96012.0,0.5714285714285714,-0.0006194476570401952,-0.34710208430589334,76524.0,0.6071428571428571,False,1.1069857571855181e-12,True
zc_20,zc,0.011961448937654495,7.102735430197295,95984.0,0.6428571428571429,-0.001212852873972492,-0.6745474722449759,76524.0,0.5714285714285714,False,1.2231141987339183e-12,True
d_acsum_40,d_acsum,-0.011804573237895966,-7.090806130303364,94696.0,0.6428571428571429,-0.001248416623898907,-0.6925237713814643,76524.0,0.5,True,1.3333302173217942e-12,True
d_vr_60,d_vr,-0.011919139751366215,-7.085473126091111,92624.0,0.8571428571428571,0.00904535076447896,5.0160061274173895,76524.0,0.6071428571428571,False,1.385700596201312e-12,True
d_rsi_10,d_rsi,0.011765368282794952,7.064170435741881,95676.0,0.75,-0.00010114216378756535,-0.056253812001554826,76524.0,0.5,False,1.6157833051136773e-12,True
z_ampratio_60,z_ampratio,0.013114936831502055,7.047660043691073,79116.0,0.7142857142857143,-0.004724386220666926,-2.591127780856331,75529.0,0.5714285714285714,False,1.8195149936715782e-12,True
ou_60,ou,-0.012375633037072842,-7.032481254468685,90467.0,0.7142857142857143,-0.008249980841445265,-4.472236855580049,73854.0,0.6785714285714286,True,2.028925724325584e-12,True
z_ac1_90,z_ac1,-0.013018806598016186,-7.015721950724173,79996.0,0.75,-0.0002852720873696424,-0.15646110295772458,76524.0,0.42857142857142855,True,2.287645954418618e-12,True
z_df_60,z_df,-0.013023293444088507,-7.011733448471944,80864.0,0.7142857142857143,-0.003918148577213287,-2.1731275181025245,76524.0,0.6428571428571429,True,2.3538333052654466e-12,True
d_ddratio_90,d_ddratio,-0.012244959494897317,-7.004979047085434,90972.0,0.6785714285714286,-0.00490251768912589,-2.7289636503428953,76524.0,0.5714285714285714,True,2.4702279968775823e-12,True
d_ac2_10,d_ac2,-0.011879808136395054,-6.9854599226170455,95620.0,0.8214285714285714,0.006502975310598097,3.566081831905806,76524.0,0.5714285714285714,False,2.8392430617877556e-12,True
z_hurst_90,z_hurst,-0.012912395277193622,-6.981121398984109,80024.0,0.5714285714285714,-0.00963256561330389,-5.360758871857136,76524.0,0.6428571428571429,True,2.9283312815596923e-12,True
ddratio_120,ddratio,-0.012050751596689224,-6.952036584985881,89852.0,0.7142857142857143,-0.0038186279790742295,-2.1040282516941753,76524.0,0.5714285714285714,True,3.6004999390940488e-12,True
absmom_40,absmom,-0.01170110383204051,-6.932516188385864,95396.0,0.7142857142857143,-0.001784953155687885,-0.9854469189971256,76524.0,0.5,True,4.13420220793537e-12,True
