family,fast,slow,state,lead,lift,surr,surr_sd,excess,p
mas,1,8,nine-box,1,1.013873796404687,0.9884552126156775,0.023773764525161563,0.02541858378900963,0.23809523809523808
mas,1,8,product M=5,3,1.0217738002122665,1.0326671162951702,0.021128133405579407,-0.01089331608290367,0.8095238095238095
mas,1,8,structural M=5,3,1.1188610575506939,1.1063903365990313,0.02988734770779778,0.012470720951662573,0.3333333333333333
mas,1,8,nine-box,3,0.9920958123136753,0.9869909283126221,0.009393478183112477,0.005104884001053134,0.2857142857142857
mas,1,10,product M=5,1,1.0468017721764515,1.0324143346475563,0.04322845882137346,0.014387437528895264,0.42857142857142855
mas,1,10,structural M=5,1,1.1193624425157673,1.1073281694679484,0.05616248711644608,0.0120342730478189,0.42857142857142855
mas,1,10,nine-box,1,1.00410457674843,0.989265505679621,0.023694669377815822,0.014839071068808996,0.2857142857142857
mas,1,10,product M=5,3,1.0198435515222413,1.0486319188659634,0.016898955685073595,-0.028788367343722143,0.9047619047619048
mas,1,10,structural M=5,3,1.1278459724145005,1.1218778396802094,0.028104577088640288,0.005968132734291087,0.47619047619047616
mas,1,10,nine-box,3,0.9964877120135518,0.9891760362532549,0.010989332491347979,0.0073116757602968985,0.2857142857142857
mas,1,13,product M=5,1,1.0527692014429213,1.031312742988737,0.03823344626733712,0.021456458454184313,0.3333333333333333
mas,1,13,structural M=5,1,1.1713722567131508,1.0908189408863591,0.04686721563020953,0.0805533158267917,0.09523809523809523
mas,1,13,nine-box,1,1.0195378965476607,0.999637089236432,0.02463517901347203,0.019900807311228674,0.19047619047619047
mas,1,13,product M=5,3,1.026271040795578,1.0398408108801611,0.018638270499708582,-0.013569770084583155,0.6666666666666666
mas,1,13,structural M=5,3,1.1072755748456962,1.0977015118281774,0.025780180730205885,0.00957406301751873,0.42857142857142855
mas,1,13,nine-box,3,0.990353058278241,0.9922414977055529,0.011098196597989489,-0.001888439427311872,0.5714285714285714
mas,1,16,product M=5,1,1.059455787333589,1.022836420274314,0.03175333204545932,0.03661936705927493,0.19047619047619047
mas,1,16,structural M=5,1,1.223347795168965,1.0668296802583532,0.04753003638137636,0.15651811491061185,0.047619047619047616
mas,1,16,nine-box,1,1.031432087248194,1.0137707257054553,0.02201189049356136,0.017661361542738563,0.19047619047619047
mas,1,16,product M=5,3,1.017128215214034,1.0283342813997982,0.017858430161321073,-0.011206066185764252,0.7142857142857143
mas,1,16,structural M=5,3,1.0868720878076343,1.067123604824356,0.02765243210416753,0.01974848298327836,0.2857142857142857
mas,1,16,nine-box,3,0.9762806111553712,1.000047579843283,0.009965584435173196,-0.023766968687911838,1.0
mas,1,21,product M=5,1,1.055192031482549,1.0098352679085403,0.041445211316197036,0.04535676357400864,0.19047619047619047
mas,1,21,structural M=5,1,1.1956649179359506,1.0307933231599322,0.05380110131642985,0.16487159477601843,0.047619047619047616
mas,1,21,nine-box,1,1.0479070953607017,1.0388232718754167,0.01964214873890139,0.009083823485285025,0.38095238095238093
mas,1,21,product M=5,3,1.0105027214416842,1.012341424210049,0.019661885636574766,-0.0018387027683648416,0.5238095238095238
mas,1,21,structural M=5,3,1.0742991585235389,1.026061045461689,0.021152510815186223,0.048238113061849885,0.047619047619047616
mas,1,21,nine-box,3,0.9875043543729141,1.0145681588575945,0.008228414544413212,-0.027063804484680487,1.0
mas,1,27,product M=5,1,0.9952948900694245,0.9953130589648487,0.037467898829652034,-1.8168895424164333e-05,0.5714285714285714
mas,1,27,structural M=5,1,1.097124378934907,1.0035529246803425,0.04950758658203196,0.09357145425456448,0.047619047619047616
