    null round: 488 trials, best 15.455%, members 8
    null round: 486 trials, best 16.317%, members 9
    null round: 484 trials, best 17.038%, members 10
    null round: 482 trials, best 17.967%, members 11
    null round: 480 trials, best 18.963%, members 12
    null round: 478 trials, best 19.680%, members 13
    null round: 476 trials, best 20.223%, members 14
    null round: 474 trials, best 20.681%, members 15
    null round: 472 trials, best 21.290%, members 16
    null round: 470 trials, best 21.290%, members 17
    null round: 504 trials, best 4.168%, members 0
    null round: 502 trials, best 5.978%, members 1
    null round: 500 trials, best 7.591%, members 2
    null round: 498 trials, best 9.377%, members 3
    null round: 496 trials, best 10.605%, members 4
    null round: 494 trials, best 12.017%, members 5
    null round: 492 trials, best 13.960%, members 6
    null round: 490 trials, best 14.793%, members 7
    null round: 488 trials, best 15.588%, members 8
    null round: 486 trials, best 16.501%, members 9
    null round: 484 trials, best 17.349%, members 10
    null round: 482 trials, best 17.668%, members 11
    null round: 480 trials, best 18.641%, members 12
    null round: 478 trials, best 19.243%, members 13
    null round: 476 trials, best 19.678%, members 14
    null round: 474 trials, best 20.476%, members 15
    null round: 472 trials, best 20.971%, members 16
    null round: 470 trials, best 21.156%, members 17
    null round: 468 trials, best 21.428%, members 18
    null round: 466 trials, best 22.605%, members 19
    null round: 464 trials, best 23.348%, members 20
    null round: 462 trials, best 23.554%, members 21
    null round: 460 trials, best 23.554%, members 22
    null round: 504 trials, best 4.179%, members 0
    null round: 502 trials, best 5.977%, members 1
    null round: 500 trials, best 7.641%, members 2
    null round: 498 trials, best 9.472%, members 3
    null round: 496 trials, best 10.668%, members 4
    null round: 494 trials, best 11.991%, members 5
    null round: 492 trials, best 13.855%, members 6
    null round: 490 trials, best 14.720%, members 7
    null round: 488 trials, best 15.669%, members 8
    null round: 486 trials, best 16.672%, members 9
    null round: 484 trials, best 18.085%, members 10
    null round: 482 trials, best 18.802%, members 11
    null round: 480 trials, best 19.492%, members 12
    null round: 478 trials, best 20.071%, members 13
    null round: 476 trials, best 20.859%, members 14
    null round: 474 trials, best 21.539%, members 15
    null round: 472 trials, best 21.629%, members 16
    null round: 470 trials, best 21.697%, members 17
    null round: 468 trials, best 22.280%, members 18
    null round: 466 trials, best 22.280%, members 19
    null round: 464 trials, best 22.406%, members 20
    null round: 462 trials, best 22.406%, members 21
    null round: 504 trials, best 4.169%, members 0
    null round: 502 trials, best 6.103%, members 1
    null round: 500 trials, best 7.597%, members 2
    null round: 498 trials, best 9.271%, members 3
    null round: 496 trials, best 10.701%, members 4
    null round: 494 trials, best 12.649%, members 5
    null round: 492 trials, best 13.666%, members 6
    null round: 490 trials, best 14.648%, members 7
    null round: 488 trials, best 15.874%, members 8
    null round: 486 trials, best 16.517%, members 9
    null round: 484 trials, best 17.169%, members 10
