n,yardstick,seed,dipb,median_year_pct,max_dd_pct,worst_year_pct,profit_factor,budget
3375,calmar,-1,5.4,7.232815238986894,2.420319835034263,3.262116271984934,1.4058887138123446,team2
3375,gate3_composite,-1,5.4,3.1964623393850564,2.4259095648313593,1.9961789150480163,1.2779394674548472,team2
3375,random,20260924,5.4,7.373256735801268,3.058040987031969,5.951053543305612,1.4655129296600427,team2
3375,random,20260925,5.4,6.163154392269743,3.2323422224628473,4.558460740413481,1.42543104323982,team2
3375,random,20260926,5.4,7.829155294441631,2.748967133725113,4.261950990898493,1.4519682334803317,team2
3375,random,20260927,5.4,7.6920816232028795,2.9181390662904754,5.3239762011875795,1.4923109913402202,team2
3375,random,20260928,5.4,6.706237100231269,3.328735835323407,4.813954311872579,1.4148753040764706,team2
3375,random,20260929,5.4,7.084942362261133,2.594687635472873,4.518520078939718,1.4380423107167672,team2
3375,random,20260930,5.4,8.103828560930207,3.1120197933598277,4.564861321835043,1.4682991798980451,team2
3375,random,20260931,5.4,7.2119362881789035,3.068480755786606,5.817001762622112,1.4813458753888091,team2
3375,random,20260932,5.4,6.488337143803699,3.038759856693119,3.3338746831729695,1.4537391738909733,team2
3375,random,20260933,5.4,7.0124567769387145,3.250437827205097,4.662909398294939,1.486724223217194,team2
3375,random,20260934,5.4,7.5947330672131885,2.6975304442022754,5.011617579555282,1.4722155887537007,team2
3375,random,20260935,5.4,7.900046055223099,3.1159834430489184,4.559749649670763,1.472281717440237,team2
3375,random,20260936,5.4,6.912856853054122,3.017169803850873,4.773758727347894,1.4623092711669305,team2
3375,random,20260937,5.4,7.30889900381334,2.883464518140748,4.968624733800555,1.470536374373588,team2
3375,random,20260938,5.4,6.128245479650693,2.567678020808991,5.0164477383721495,1.4687027651628917,team2
3375,random,20260939,5.4,6.382798950879604,2.7192312935825598,5.267259129336157,1.4601690831228176,team2
3375,random,20260940,5.4,7.2095190318830396,2.8841291989700153,4.066722453170187,1.44833052876064,team2
3375,random,20260941,5.4,7.18426776042494,2.8108147260270115,4.801537309527778,1.4541387675776174,team2
3375,random,20260942,5.4,7.525584784015253,2.789169449381344,5.4382876808611895,1.4812583018273937,team2
3375,random,20260943,5.4,8.047145999249432,3.2767669584220016,5.031776589010706,1.4605318860617202,team2
3375,random,20260944,5.4,7.65093720501636,2.996691399076873,5.461815089555813,1.4828329140252012,team2
3375,random,20260945,5.4,7.8046511497401845,2.7895669249557216,4.696918259738997,1.4652290240684254,team2
3375,random,20260946,5.4,6.876949317431508,2.8342518044891953,5.628952856028008,1.4526252419801255,team2
3375,random,20260947,5.4,7.1859203376704555,2.7600267959040963,4.972316511847311,1.4499104314009659,team2
3375,random,20260948,5.4,7.122815917843946,3.2868916671720676,5.4736095905373,1.475952361625898,team2
5272,sortino,-1,5.4,7.6355168353021226,2.885828879548903,4.0425144093274445,1.4540581266302497,team2
5272,expectancy_R,-1,5.4,9.181892815431036,3.6088092296119854,6.0636530165173355,1.5159980755215157,team2
5272,profit_factor,-1,5.4,7.783878503187612,2.6169093937607215,5.249915887545929,1.4733277592768868,team2
5272,calmar,-1,5.4,8.72293118500814,3.2313223976852967,5.970693764342535,1.4936515594171873,team2
5272,gate3_composite,-1,5.4,8.535991916126791,3.161055475848414,6.2494190228363795,1.4885673215932709,team2
5272,random,20260924,5.4,7.676402142474288,3.1338728486540646,4.858948617185634,1.4843715066434138,team2
5272,random,20260925,5.4,7.733767164081979,3.0239736674622186,5.150799872441724,1.4871938739351465,team2
5272,random,20260926,5.4,7.960096709279009,2.914606221752706,5.419114475631504,1.4710566147207904,team2
5272,random,20260927,5.4,7.261833446157839,2.854435047591238,3.8665560606453644,1.4312984613778055,team2
5272,random,20260928,5.4,7.670297707557937,2.9444199064421497,5.8892677198896015,1.4775256652505249,team2
5272,random,20260929,5.4,7.995514516858957,2.7814718450632085,3.994045137497555,1.4483791067208078,team2
5272,random,20260930,5.4,8.501514987217723,2.688601756701061,5.392493908695818,1.4922521994013314,team2
5272,random,20260931,5.4,6.730726617844908,3.12108960298972,5.455817713207528,1.4657673587531208,team2
5272,random,20260932,5.4,7.825299577551571,2.913639704960314,4.231744051465021,1.4780211387701676,team2
5272,random,20260933,5.4,7.706166775600039,2.986209168049548,5.639188286479778,1.4981268060274315,team2
5272,random,20260934,5.4,8.393478672410064,2.8233327545419087,5.2758869090460925,1.4980942369819166,team2
5272,random,20260935,5.4,7.655560966966182,2.5489223716734486,4.917292020784606,1.4846385811003624,team2
5272,random,20260936,5.4,7.420155821717771,2.757356470509599,4.498187204989717,1.482247502011479,team2
