N,B,D,R,A_real,A_surr,A_corr,A_z,B_real,B_surr,B_corr,B_z,agree
3,3,0.5,0.75,0.47680269698594097,0.5409383573531743,-0.06413566036723334,-1.1546670525884397,0.48250165013985097,0.5466405691811518,-0.06413891904130081,-1.4280573244213086,True
3,3,0.5,1.0,0.47692935074328546,0.540357187612731,-0.06342783686944553,-1.1429569697973472,0.4816001700232948,0.5464258520366755,-0.06482568201338068,-1.441600846231143,True
3,3,1.0,0.5,0.5188782999862015,0.5391171353619885,-0.020238835375786968,-0.6441824249964785,0.4934395727789027,0.5226903868688996,-0.029250814089996857,-0.7036886348832182,True
3,3,1.0,0.62,0.5205005776514114,0.5380116007452684,-0.017511023093856992,-0.5537124870698945,0.492107230815708,0.5217386128584194,-0.029631382042711374,-0.7143322290774375,True
3,3,1.0,0.75,0.5200137206305943,0.5376261864517506,-0.017612465821156387,-0.5564892490380933,0.49217975350712156,0.5210676819070024,-0.028887928399880802,-0.699158110694194,True
3,3,1.0,1.0,0.5201583310117487,0.5372698914534753,-0.01711156044172657,-0.5414861269498732,0.4928038212234437,0.5207934026431016,-0.027989581419657905,-0.6736063037244265,True
5,1,0.25,0.5,0.3788391112686643,0.3661963400195574,0.012642771249106899,0.5198274520080312,0.379415930030303,0.3622456386326519,0.017170291397651083,0.7287964993379215,True
5,1,0.25,0.62,0.37949841434096737,0.365251715128806,0.014246699212161373,0.5853655429454631,0.3791676386438841,0.3615893913454168,0.017578247298467298,0.7512561071168788,True
5,1,0.25,0.75,0.37904264442525293,0.3651005878966019,0.013942056528651048,0.5731029623737212,0.37982894495551345,0.3614058982889687,0.018423046666544762,0.7895363800803417,True
5,1,0.25,1.0,0.37942318329248803,0.36509846150756997,0.01432472178491806,0.5897137208652171,0.3794158382860175,0.36132454140690456,0.018091296879112928,0.7737251761599695,True
5,1,0.5,0.5,0.40737270872102893,0.38926874057476557,0.01810396814626336,0.7508848828176456,0.40939195201110473,0.38446011979061706,0.02493183222048767,0.9695768796110154,True
5,1,0.5,0.62,0.40774096840470625,0.3888168728643893,0.018924095540316932,0.7820059448474511,0.40940791474036886,0.3839003735850948,0.02550754115527404,0.9938542345127713,True
5,1,0.5,0.75,0.4076059219284182,0.3885824271896613,0.01902349473875692,0.7861622687615779,0.40981269003015197,0.3837821111344122,0.026030578895739787,1.020148223952412,True
5,1,0.5,1.0,0.40804511018877687,0.3885943036541306,0.01945080653464626,0.8048599273400946,0.40951797844168786,0.38374990328182024,0.02576807515986762,1.0083753444313552,True
5,1,1.0,0.5,0.4229416266456126,0.425903331346697,-0.002961704701084422,-0.12232063684081362,0.4283792872277874,0.419518267333533,0.008861019894254418,0.332609566658617,False
5,1,1.0,0.62,0.4234376077664815,0.4258064513648665,-0.0023688435983850176,-0.09828159528083087,0.4286321611903642,0.41910834334341907,0.009523817846945115,0.3583530000039031,False
