budget,structure,draw,median_year_pct,total_return_pct,members_step1,members_step2
team2,PICKED,3,16.81750572722709,86.84607307021403,48,40
team2,FAMILY_CAP,3,1.4549776205178697,13.269137762417241,30,31
team2,ALLPASS,4,7.729983829840321,43.46643198498129,1094,1008
team2,STABLE,4,6.279761360912051,22.858699564435906,823,19
team2,PICKED,4,11.186981071167411,77.82158600204026,43,23
team2,FAMILY_CAP,4,2.5096062943418773,15.518010000342345,27,25
team2,ALLPASS,5,6.248703670264021,37.44463162093215,1094,1008
team2,STABLE,5,5.256690160186963,19.976931315248827,823,19
team2,PICKED,5,2.63507405576157,11.821581002168763,9,28
team2,FAMILY_CAP,5,2.095155694657347,18.182743208883455,29,28
team2,ALLPASS,6,6.958457493018082,36.95095863548514,1094,1008
team2,STABLE,6,4.873368748862058,19.58069867405672,823,19
team2,PICKED,6,8.472412275630878,60.38142368532757,32,27
team2,FAMILY_CAP,6,0.29625575210707555,11.77561902953717,27,26
team2,ALLPASS,7,7.242000817329677,42.186893378005195,1094,1008
team2,STABLE,7,4.839417216594035,21.784012915288287,823,19
team2,PICKED,7,2.04117949881958,19.543708336580956,13,46
team2,FAMILY_CAP,7,-0.9411264597572876,2.419414320104991,23,21
team2,ALLPASS,8,7.284435169853538,39.506883411930616,1094,1008
team2,STABLE,8,4.600178793019057,24.91123646283369,823,19
team2,PICKED,8,14.0226192041469,87.34474371960421,44,39
team2,FAMILY_CAP,8,-1.0908558204924157,7.870889550182626,23,23
team2,ALLPASS,9,7.3874139449292855,42.69937024911903,1094,1008
team2,STABLE,9,6.9765788307553755,27.494116097723015,823,19
team2,PICKED,9,7.850544918646902,33.263172114541995,26,24
team2,FAMILY_CAP,9,1.5650097755104597,2.8624755133941524,23,21
team2,ALLPASS,10,7.509648694748243,44.19271940825242,1094,1008
team2,STABLE,10,7.366723334752893,26.78911680620052,823,19
team2,PICKED,10,2.1560576948442303,18.23273595435587,26,15
team2,FAMILY_CAP,10,1.3313749019236507,7.855486414257439,27,28
team2,ALLPASS,11,6.9235663144376165,41.57475393609932,1094,1008
team2,STABLE,11,6.93689473631343,24.160247463157695,823,19
team2,PICKED,11,10.366882277002228,52.02323348065877,38,25
team2,FAMILY_CAP,11,0.37379987117181646,6.879584513151337,26,26
team2,ALLPASS,12,7.626428264347879,44.403165785717285,1094,1008
team2,STABLE,12,7.00596141627982,26.232527799825878,823,19
team2,PICKED,12,14.345611339068467,81.19395324014877,37,31
team2,FAMILY_CAP,12,-0.22430652654546865,-0.6114964620154648,23,23
team2,ALLPASS,13,8.09485383420054,42.66885285814776,1094,1008
team2,STABLE,13,7.688581845294907,26.534498861456992,823,19
team2,PICKED,13,4.656817089007048,37.549460221687305,10,55
team2,FAMILY_CAP,13,-1.212062417105437,-1.3260818451185523,20,22
team2,ALLPASS,14,7.213936864812766,41.625887255143866,1094,1008
team2,STABLE,14,5.669957127684031,25.47426773861837,823,19
team2,PICKED,14,13.891963581454485,107.91236331427118,31,46
team2,FAMILY_CAP,14,3.3112029072713094,27.680136963881694,28,27
team2,ALLPASS,15,7.982175607989993,42.495418944186866,1094,1008
team2,STABLE,15,6.940492597105616,31.285216283257597,823,19
team2,PICKED,15,11.075874980543412,79.73904076203391,32,45
team2,FAMILY_CAP,15,1.2791866405467207,11.454429336596693,22,24
team2,ALLPASS,16,6.748933701020399,41.94151372469586,1094,1008
team2,STABLE,16,6.622567510946435,26.171486849414208,823,19
team2,PICKED,16,3.2726942978027957,39.118626762988704,45,27
team2,FAMILY_CAP,16,-2.3983155868240953,1.3355292524507512,25,26
team2,ALLPASS,17,5.654658831250708,34.737802161308764,1094,1008
team2,STABLE,17,4.960208860647233,22.400165183581088,823,19
team2,PICKED,17,-0.2512188394981163,13.93937487541665,14,20
team2,FAMILY_CAP,17,1.0731223707434037,5.554275922590311,23,25
team2,ALLPASS,18,6.940765278949722,38.78937214856931,1094,1008
team2,STABLE,18,6.557387789461141,25.60879705529208,823,19
team2,PICKED,18,8.23506005577756,65.37947579459416,44,25
