s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
ra_hz500_sg2_v120,7.251,0.02063,0.786,0.927,28.0,6.558,0.01469,0.75,0.636,28.0,5,trend-duration
ra_hz750_sg2_v120,4.758,0.01513,0.679,0.854,28.0,4.125,0.00919,0.75,0.752,28.0,4,trend-duration
ra_ts_sg2_v120_pl,4.374,0.01166,0.571,-0.113,28.0,-0.556,-0.00124,0.429,-0.556,28.0,2,trend-duration
ra_hz250_sg2_v120_pl,-3.587,-0.00935,0.571,-0.466,28.0,-7.661,-0.01703,0.714,-0.794,28.0,5,trend-duration
ra_hz500_sg2_v120_pl,-2.518,-0.00684,0.607,-0.456,28.0,0.701,0.00156,0.5,-0.24,28.0,2,trend-duration
ra_hz750_sg2_v120_pl,-2.75,-0.0081,0.607,-0.418,28.0,-1.715,-0.00375,0.5,-0.758,28.0,3,trend-duration
ra_ts_sg2_v120_ph,7.352,0.01859,0.714,0.677,28.0,-1.489,-0.00324,0.643,-0.044,28.0,1,trend-duration
ra_hz250_sg2_v120_ph,10.212,0.02644,0.857,0.867,28.0,-1.371,-0.00305,0.429,-0.304,28.0,2,trend-duration
ra_hz500_sg2_v120_ph,8.291,0.02276,0.821,0.934,28.0,1.206,0.00267,0.429,0.708,28.0,4,trend-duration
ra_hz750_sg2_v120_ph,5.392,0.01657,0.643,0.45,28.0,-2.467,-0.00535,0.679,0.065,28.0,4,trend-duration
ra_ts_sg2_v120_ol,-1.899,-0.00521,0.571,-0.275,28.0,-1.188,-0.00262,0.429,-0.568,28.0,4,trend-duration
ra_hz250_sg2_v120_ol,4.054,0.01122,0.714,0.762,28.0,-1.036,-0.00229,0.571,-0.41,28.0,2,trend-duration
ra_hz500_sg2_v120_ol,1.249,0.00353,0.536,0.522,28.0,1.382,0.0031,0.643,0.036,28.0,2,trend-duration
ra_hz750_sg2_v120_ol,-1.049,-0.0032,0.607,-0.362,28.0,-3.526,-0.0077,0.607,-0.821,28.0,4,trend-duration
ra_ts_sg2_v120_oh,6.738,0.01783,0.643,0.929,28.0,2.167,0.00471,0.536,0.319,28.0,4,trend-duration
ra_hz250_sg2_v120_oh,5.223,0.01379,0.571,0.428,28.0,0.013,3e-05,0.5,-0.285,28.0,3,trend-duration
ra_hz500_sg2_v120_oh,6.686,0.01887,0.643,0.541,28.0,2.978,0.00644,0.536,0.542,28.0,2,trend-duration
ra_hz750_sg2_v120_oh,6.969,0.0216,0.571,0.324,28.0,0.316,0.00069,0.536,0.381,28.0,2,trend-duration
ra_ts_sg2_v120_ch,10.659,0.02829,0.857,0.806,28.0,3.438,0.00767,0.714,0.344,28.0,4,trend-duration
ra_hz250_sg2_v120_ch,6.391,0.01672,0.679,0.951,28.0,0.979,0.00219,0.643,0.14,28.0,4,trend-duration
ra_hz500_sg2_v120_ch,7.421,0.02119,0.679,0.936,28.0,4.512,0.01004,0.679,0.464,28.0,4,trend-duration
ra_hz750_sg2_v120_ch,5.21,0.01664,0.643,0.886,28.0,2.572,0.00572,0.643,0.369,28.0,3,trend-duration
ra_ts_su2_v120,3.318,0.00839,0.571,0.706,28.0,5.089,0.01124,0.679,0.849,28.0,5,trend-duration
ra_hz250_su2_v120,5.389,0.01394,0.571,0.812,28.0,2.947,0.00652,0.679,0.755,28.0,3,trend-duration
ra_hz500_su2_v120,-0.634,-0.00177,0.536,0.385,28.0,6.005,0.01323,0.679,0.806,28.0,5,trend-duration
ra_hz750_su2_v120,-2.144,-0.00664,0.607,0.149,28.0,4.393,0.00963,0.679,0.84,28.0,4,trend-duration
ra_ts_su2_v120_pl,-1.23,-0.0034,0.5,-0.49,28.0,0.885,0.00196,0.714,0.144,28.0,3,trend-duration
ra_hz250_su2_v120_pl,-1.951,-0.00535,0.571,-0.784,28.0,0.818,0.00184,0.536,0.166,28.0,2,trend-duration
ra_hz500_su2_v120_pl,-4.129,-0.01156,0.607,-0.865,28.0,2.296,0.00513,0.571,0.451,28.0,3,trend-duration
ra_hz750_su2_v120_pl,-2.623,-0.00802,0.464,-0.821,28.0,-0.715,-0.00156,0.464,0.136,28.0,3,trend-duration
ra_ts_su2_v120_ph,6.605,0.01702,0.714,0.701,28.0,-1.644,-0.0036,0.643,0.132,28.0,2,trend-duration
ra_hz250_su2_v120_ph,4.05,0.01078,0.643,0.656,28.0,-4.02,-0.00894,0.393,-0.919,28.0,3,trend-duration
ra_hz500_su2_v120_ph,2.934,0.00827,0.536,0.614,28.0,-0.201,-0.00044,0.536,0.016,28.0,2,trend-duration
ra_hz750_su2_v120_ph,0.717,0.00221,0.571,0.262,28.0,-1.605,-0.00354,0.5,0.114,28.0,3,trend-duration
ra_ts_su2_v120_ol,-0.863,-0.00248,0.5,-0.218,28.0,-0.992,-0.0022,0.464,-0.436,28.0,2,trend-duration
ra_hz250_su2_v120_ol,1.89,0.00526,0.5,0.539,28.0,3.097,0.00679,0.607,0.58,28.0,5,trend-duration
ra_hz500_su2_v120_ol,1.555,0.0045,0.571,-0.021,28.0,2.398,0.00524,0.5,0.509,28.0,3,trend-duration
ra_hz750_su2_v120_ol,-3.989,-0.0123,0.536,-0.839,28.0,-1.895,-0.00416,0.464,-0.349,28.0,5,trend-duration
ra_ts_su2_v120_oh,1.285,0.00341,0.536,0.755,28.0,-0.079,-0.00017,0.571,0.378,28.0,3,trend-duration
ra_hz250_su2_v120_oh,-0.487,-0.00129,0.5,-0.056,28.0,-1.878,-0.00416,0.571,-0.414,28.0,3,trend-duration
ra_hz500_su2_v120_oh,1.679,0.00483,0.571,0.265,28.0,0.253,0.00055,0.571,0.408,28.0,2,trend-duration
ra_hz750_su2_v120_oh,1.045,0.00325,0.571,-0.058,28.0,1.05,0.00232,0.464,0.443,28.0,3,trend-duration
ra_ts_su2_v120_ch,4.36,0.0114,0.679,0.751,28.0,2.619,0.00575,0.5,0.468,28.0,3,trend-duration
ra_hz250_su2_v120_ch,6.413,0.01687,0.607,0.797,28.0,-1.676,-0.00371,0.393,-0.205,28.0,2,trend-duration
ra_hz500_su2_v120_ch,0.97,0.00272,0.571,0.517,28.0,1.835,0.00397,0.571,0.428,28.0,2,trend-duration
ra_hz750_su2_v120_ch,-1.11,-0.00346,0.536,0.304,28.0,1.74,0.00377,0.571,0.514,28.0,2,trend-duration
ra_ts_sd2_v120,8.716,0.022,0.679,0.955,28.0,1.609,0.00356,0.5,0.817,28.0,4,trend-duration
ra_hz250_sd2_v120,6.047,0.01542,0.679,0.884,28.0,3.141,0.00704,0.643,0.394,28.0,5,trend-duration
ra_hz500_sd2_v120,6.238,0.01729,0.75,0.823,28.0,3.288,0.00734,0.643,0.896,28.0,5,trend-duration
ra_hz750_sd2_v120,5.444,0.01691,0.75,0.739,28.0,1.392,0.00308,0.607,0.805,28.0,3,trend-duration
ra_ts_sd2_v120_pl,-0.206,-0.00056,0.5,-0.447,28.0,1.892,0.00423,0.571,0.498,28.0,2,trend-duration
ra_hz250_sd2_v120_pl,-0.951,-0.00253,0.464,-0.244,28.0,-4.793,-0.01068,0.643,-0.731,28.0,3,trend-duration
ra_hz500_sd2_v120_pl,-0.999,-0.00281,0.536,-0.542,28.0,1.531,0.00343,0.571,0.019,28.0,3,trend-duration
ra_hz750_sd2_v120_pl,-1.569,-0.0047,0.5,-0.505,28.0,1.882,0.00416,0.536,0.359,28.0,3,trend-duration
ra_ts_sd2_v120_ph,8.756,0.0224,0.786,0.738,28.0,-3.308,-0.00721,0.679,-0.199,28.0,2,trend-duration
ra_hz250_sd2_v120_ph,9.651,0.02567,0.821,0.715,28.0,0.271,0.00061,0.571,-0.192,28.0,3,trend-duration
ra_hz500_sd2_v120_ph,8.317,0.02305,0.75,0.823,28.0,0.277,0.00061,0.429,0.479,28.0,4,trend-duration
ra_hz750_sd2_v120_ph,6.451,0.01982,0.714,0.658,28.0,-2.778,-0.00603,0.571,0.027,28.0,2,trend-duration
ra_ts_sd2_v120_ol,-2.278,-0.00634,0.536,-0.266,28.0,2.561,0.00577,0.607,0.286,28.0,2,trend-duration
ra_hz250_sd2_v120_ol,3.535,0.01021,0.571,0.56,28.0,-3.149,-0.00696,0.643,-0.795,28.0,3,trend-duration
ra_hz500_sd2_v120_ol,1.069,0.00302,0.536,-0.059,28.0,2.501,0.00556,0.571,0.077,28.0,2,trend-duration
ra_hz750_sd2_v120_ol,-2.331,-0.00711,0.643,-0.392,28.0,1.525,0.00338,0.571,0.06,28.0,2,trend-duration
ra_ts_sd2_v120_oh,7.96,0.02125,0.714,0.821,28.0,0.57,0.00124,0.429,0.249,28.0,4,trend-duration
ra_hz250_sd2_v120_oh,-1.595,-0.00433,0.464,-0.382,28.0,1.464,0.00328,0.571,-0.143,28.0,2,trend-duration
ra_hz500_sd2_v120_oh,5.71,0.01596,0.679,0.698,28.0,2.437,0.00533,0.5,0.667,28.0,4,trend-duration
ra_hz750_sd2_v120_oh,6.543,0.02033,0.679,0.439,28.0,-0.5,-0.00111,0.571,-0.063,28.0,1,trend-duration
ra_ts_sd2_v120_ch,10.2,0.02657,0.75,0.962,28.0,0.996,0.00222,0.464,0.078,28.0,3,trend-duration
ra_hz250_sd2_v120_ch,6.652,0.01727,0.679,0.814,28.0,2.236,0.00504,0.643,-0.022,28.0,4,trend-duration
ra_hz500_sd2_v120_ch,8.15,0.0227,0.714,0.92,28.0,2.074,0.00463,0.607,0.313,28.0,3,trend-duration
ra_hz750_sd2_v120_ch,6.495,0.02015,0.679,0.693,28.0,0.878,0.00196,0.607,-0.127,28.0,3,trend-duration
ra_ts_sg2.5_v120,11.685,0.0292,0.893,0.922,28.0,3.578,0.00799,0.607,0.525,28.0,5,trend-duration
ra_hz250_sg2.5_v120,11.176,0.02856,0.786,0.905,28.0,0.145,0.00032,0.536,-0.344,28.0,4,trend-duration
ra_hz500_sg2.5_v120,10.401,0.02833,0.786,0.797,28.0,4.211,0.00938,0.607,0.788,28.0,4,trend-duration
ra_hz750_sg2.5_v120,7.431,0.0227,0.714,0.574,28.0,2.462,0.00541,0.607,0.419,28.0,3,trend-duration
ra_ts_sg2.5_v120_pl,-0.534,-0.00146,0.429,-0.049,28.0,5.429,0.01224,0.643,0.383,28.0,2,trend-duration
ra_hz250_sg2.5_v120_pl,-1.797,-0.00471,0.536,-0.023,28.0,-6.806,-0.01498,0.607,-0.775,28.0,5,trend-duration
ra_hz500_sg2.5_v120_pl,-0.116,-0.00032,0.5,-0.29,28.0,-0.945,-0.0021,0.571,0.116,28.0,2,trend-duration
ra_hz750_sg2.5_v120_pl,1.926,0.00588,0.607,0.046,28.0,-0.291,-0.00064,0.643,-0.288,28.0,2,trend-duration
ra_ts_sg2.5_v120_ph,5.075,0.01324,0.536,0.563,28.0,-1.941,-0.00424,0.643,0.129,28.0,1,trend-duration
ra_hz250_sg2.5_v120_ph,5.427,0.01464,0.786,0.635,28.0,-0.758,-0.00171,0.393,-0.316,28.0,2,trend-duration
ra_hz500_sg2.5_v120_ph,3.677,0.01043,0.607,0.645,28.0,1.066,0.00235,0.5,0.335,28.0,3,trend-duration
ra_hz750_sg2.5_v120_ph,4.411,0.01365,0.536,0.096,28.0,-2.794,-0.00609,0.571,0.026,28.0,3,trend-duration
ra_ts_sg2.5_v120_ol,1.831,0.00527,0.571,-0.03,28.0,1.251,0.00283,0.571,0.099,28.0,2,trend-duration
ra_hz250_sg2.5_v120_ol,2.236,0.00652,0.5,0.71,28.0,-0.048,-0.0001,0.536,-0.403,28.0,4,trend-duration
ra_hz500_sg2.5_v120_ol,1.898,0.00565,0.464,0.991,28.0,-0.363,-0.00081,0.5,0.152,28.0,3,trend-duration
ra_hz750_sg2.5_v120_ol,2.719,0.00831,0.571,0.118,28.0,-4.751,-0.01047,0.571,-0.54,28.0,3,trend-duration
ra_ts_sg2.5_v120_oh,4.015,0.01075,0.571,0.893,28.0,-0.957,-0.00208,0.571,0.212,28.0,1,trend-duration
ra_hz250_sg2.5_v120_oh,1.758,0.00475,0.643,0.188,28.0,-2.126,-0.00473,0.5,-0.534,28.0,3,trend-duration
ra_hz500_sg2.5_v120_oh,3.267,0.00925,0.643,0.765,28.0,2.991,0.00656,0.429,0.383,28.0,2,trend-duration
ra_hz750_sg2.5_v120_oh,2.823,0.00876,0.571,0.018,28.0,-1.494,-0.00326,0.571,-0.138,28.0,4,trend-duration
ra_ts_sg2.5_v120_ch,12.755,0.0328,0.821,0.93,28.0,2.967,0.00663,0.607,0.313,28.0,4,trend-duration
ra_hz250_sg2.5_v120_ch,11.802,0.0303,0.786,0.933,28.0,-1.447,-0.0032,0.5,-0.471,28.0,2,trend-duration
ra_hz500_sg2.5_v120_ch,10.949,0.02975,0.786,0.789,28.0,2.736,0.00608,0.571,0.778,28.0,3,trend-duration
ra_hz750_sg2.5_v120_ch,8.293,0.02526,0.679,0.678,28.0,1.944,0.00429,0.607,0.193,28.0,2,trend-duration
ra_ts_su2.5_v120,3.017,0.0075,0.536,0.34,28.0,4.135,0.00919,0.714,0.382,28.0,4,trend-duration
ra_hz250_su2.5_v120,10.799,0.02835,0.75,0.905,28.0,-0.72,-0.00161,0.464,-0.243,28.0,2,trend-duration
ra_hz500_su2.5_v120,3.93,0.0111,0.714,0.581,28.0,1.883,0.00416,0.429,0.579,28.0,3,trend-duration
ra_hz750_su2.5_v120,-2.385,-0.00727,0.464,-0.807,28.0,0.326,0.00072,0.429,-0.15,28.0,3,trend-duration
ra_ts_su2.5_v120_pl,-1.613,-0.00503,0.464,-0.278,26.0,3.462,0.00778,0.607,0.467,28.0,4,trend-duration
ra_hz250_su2.5_v120_pl,4.7,0.0139,0.714,0.878,28.0,-1.153,-0.00254,0.536,-0.537,27.0,2,trend-duration
ra_hz500_su2.5_v120_pl,-5.638,-0.01667,0.643,-0.767,28.0,-2.398,-0.00538,0.5,-0.323,28.0,3,trend-duration
ra_hz750_su2.5_v120_pl,1.263,0.00394,0.429,0.504,28.0,-0.921,-0.00206,0.5,-0.442,28.0,2,trend-duration
ra_ts_su2.5_v120_ph,1.942,0.00538,0.571,0.513,28.0,0.168,0.00037,0.5,0.36,28.0,1,trend-duration
ra_hz250_su2.5_v120_ph,0.873,0.00246,0.536,0.543,28.0,-4.087,-0.00916,0.571,-0.614,28.0,4,trend-duration
ra_hz500_su2.5_v120_ph,2.408,0.00708,0.714,0.259,28.0,2.171,0.0048,0.5,0.356,28.0,3,trend-duration
ra_hz750_su2.5_v120_ph,-4.433,-0.01443,0.5,-0.876,28.0,-1.706,-0.00377,0.571,0.043,28.0,4,trend-duration
rb_ts_sg2.5_v40,-0.25,-0.00057,0.571,0.331,28.0,3.641,0.00803,0.643,0.502,28.0,5,trend-duration
rb_hz250_sg2.5_v40,1.437,0.00337,0.5,0.469,28.0,0.28,0.00062,0.607,0.256,28.0,4,trend-duration
rb_hz500_sg2.5_v40,4.482,0.01144,0.679,0.695,28.0,1.546,0.00341,0.536,0.426,28.0,5,trend-duration
rb_hz750_sg2.5_v40,4.392,0.01209,0.607,0.626,28.0,3.008,0.00666,0.536,0.495,28.0,5,trend-duration
rb_ts_sg2.5_v40_pl,-1.683,-0.00418,0.607,-0.614,28.0,-2.633,-0.00571,0.607,-0.257,28.0,3,trend-duration
rb_hz250_sg2.5_v40_pl,2.414,0.00599,0.571,0.616,28.0,-1.722,-0.00378,0.536,0.104,28.0,3,trend-duration
rb_hz500_sg2.5_v40_pl,-0.182,-0.00046,0.536,-0.409,28.0,-2.462,-0.00537,0.607,-0.067,28.0,3,trend-duration
rb_hz750_sg2.5_v40_pl,0.888,0.00244,0.393,-0.344,28.0,-4.365,-0.0095,0.643,-0.169,28.0,3,trend-duration
rb_ts_sg2.5_v40_ph,8.087,0.01976,0.75,0.896,28.0,7.604,0.0169,0.607,0.87,28.0,5,trend-duration
rb_hz250_sg2.5_v40_ph,-0.447,-0.00109,0.464,-0.129,28.0,-4.521,-0.01012,0.536,-0.686,28.0,4,trend-duration
rb_hz500_sg2.5_v40_ph,9.558,0.02477,0.786,0.871,28.0,2.678,0.00587,0.464,0.613,28.0,4,trend-duration
rb_hz750_sg2.5_v40_ph,1.614,0.00458,0.536,0.423,28.0,4.186,0.00908,0.607,0.846,28.0,4,trend-duration
rb_ts_sg2.5_v40_ol,-4.102,-0.01059,0.536,-0.43,28.0,-1.842,-0.00402,0.643,-0.639,28.0,5,trend-duration
rb_hz250_sg2.5_v40_ol,5.857,0.01521,0.643,0.896,28.0,0.915,0.00199,0.464,0.076,28.0,4,trend-duration
rb_hz500_sg2.5_v40_ol,0.672,0.00174,0.464,-0.026,28.0,-0.792,-0.00174,0.571,0.106,28.0,3,trend-duration
rb_hz750_sg2.5_v40_ol,-2.04,-0.00559,0.5,-0.293,28.0,-3.416,-0.00749,0.571,-0.512,28.0,4,trend-duration
rb_ts_sg2.5_v40_oh,5.925,0.01472,0.75,0.891,28.0,7.602,0.01686,0.607,0.802,28.0,4,trend-duration
rb_hz250_sg2.5_v40_oh,-2.593,-0.00653,0.714,-0.512,28.0,-2.274,-0.00507,0.5,-0.478,28.0,4,trend-duration
rb_hz500_sg2.5_v40_oh,5.434,0.01425,0.607,0.806,28.0,8.918,0.01971,0.75,0.831,28.0,4,trend-duration
rb_hz750_sg2.5_v40_oh,-2.903,-0.00806,0.607,-0.469,28.0,7.911,0.01749,0.75,0.857,28.0,2,trend-duration
rb_ts_sg2.5_v40_ch,2.197,0.00527,0.464,0.509,28.0,0.524,0.00116,0.536,0.093,28.0,4,trend-duration
rb_hz250_sg2.5_v40_ch,3.896,0.00928,0.607,0.74,28.0,-3.011,-0.00661,0.536,-0.644,28.0,3,trend-duration
rb_hz500_sg2.5_v40_ch,5.821,0.01508,0.679,0.815,28.0,-1.575,-0.00347,0.536,-0.084,28.0,1,trend-duration
rb_hz750_sg2.5_v40_ch,4.296,0.01196,0.643,0.694,28.0,-1.107,-0.00245,0.536,-0.099,28.0,1,trend-duration
rb_ts_su2.5_v40,4.144,0.00937,0.607,0.667,28.0,1.07,0.00235,0.5,0.616,28.0,4,trend-duration
rb_hz250_su2.5_v40,8.395,0.01987,0.607,0.855,28.0,-2.084,-0.00456,0.536,-0.254,28.0,3,trend-duration
rb_hz500_su2.5_v40,7.226,0.01826,0.643,0.737,28.0,1.129,0.00246,0.536,0.553,28.0,3,trend-duration
rb_hz750_su2.5_v40,3.83,0.01057,0.643,0.604,28.0,0.232,0.00051,0.536,0.505,28.0,4,trend-duration
rb_ts_su2.5_v40_pl,-0.625,-0.00167,0.536,-0.34,28.0,-4.306,-0.00952,0.643,-0.788,28.0,3,trend-duration
rb_hz250_su2.5_v40_pl,4.145,0.01081,0.679,0.79,28.0,3.785,0.00833,0.5,0.894,28.0,3,trend-duration
rb_hz500_su2.5_v40_pl,1.556,0.00411,0.536,-0.322,28.0,0.352,0.00078,0.464,-0.13,28.0,3,trend-duration
rb_hz750_su2.5_v40_pl,-0.456,-0.00129,0.536,-0.376,28.0,-4.123,-0.00905,0.607,-0.57,28.0,2,trend-duration
rb_ts_su2.5_v40_ph,-0.611,-0.0017,0.321,-0.391,24.0,9.171,0.02033,0.643,0.752,28.0,2,trend-duration
rb_hz250_su2.5_v40_ph,-0.227,-0.0006,0.5,-0.06,28.0,-4.134,-0.00921,0.571,-0.572,28.0,4,trend-duration
rb_hz500_su2.5_v40_ph,4.202,0.01154,0.679,0.807,28.0,6.038,0.01348,0.679,0.641,28.0,2,trend-duration
rb_hz750_su2.5_v40_ph,-1.628,-0.00487,0.571,-0.343,28.0,7.412,0.01636,0.679,0.727,28.0,2,trend-duration
rb_ts_su2.5_v40_ol,5.27,0.01433,0.714,0.403,28.0,-2.766,-0.00607,0.571,-0.811,28.0,3,trend-duration
rb_hz250_su2.5_v40_ol,9.514,0.02543,0.679,0.951,28.0,7.989,0.01751,0.571,0.383,28.0,4,trend-duration
rb_hz500_su2.5_v40_ol,4.244,0.01143,0.714,0.189,28.0,3.204,0.00697,0.5,0.696,28.0,3,trend-duration
rb_hz750_su2.5_v40_ol,0.806,0.00234,0.464,-0.257,28.0,-1.495,-0.00327,0.607,-0.127,28.0,4,trend-duration
rb_ts_su2.5_v40_oh,4.308,0.01153,0.643,0.45,27.0,6.374,0.01421,0.607,0.668,28.0,5,trend-duration
rb_hz250_su2.5_v40_oh,0.852,0.00228,0.5,0.462,27.0,-2.67,-0.006,0.5,-0.286,28.0,3,trend-duration
rb_hz500_su2.5_v40_oh,4.917,0.01349,0.643,0.85,27.0,5.669,0.01253,0.607,0.605,28.0,3,trend-duration
rb_hz750_su2.5_v40_oh,-5.567,-0.01637,0.643,-0.538,27.0,6.858,0.01514,0.679,0.736,28.0,2,trend-duration
rb_ts_su2.5_v40_ch,4.342,0.01034,0.607,0.82,28.0,1.299,0.00287,0.5,0.053,28.0,3,trend-duration
rb_hz250_su2.5_v40_ch,9.275,0.02243,0.786,0.747,28.0,-4.9,-0.01072,0.643,-0.667,28.0,4,trend-duration
rb_hz500_su2.5_v40_ch,7.701,0.0196,0.643,0.89,28.0,-0.027,-6e-05,0.429,0.199,28.0,2,trend-duration
rb_hz750_su2.5_v40_ch,2.778,0.00765,0.571,0.62,28.0,-2.744,-0.00601,0.643,-0.087,28.0,2,trend-duration
rb_ts_sd2.5_v40,6.743,0.01532,0.679,0.903,28.0,3.321,0.00736,0.607,0.553,28.0,5,trend-duration
rb_hz250_sd2.5_v40,3.542,0.00822,0.571,0.626,28.0,-0.444,-0.00099,0.464,-0.311,28.0,3,trend-duration
rb_hz500_sd2.5_v40,10.426,0.02666,0.679,0.795,28.0,3.13,0.00704,0.643,0.258,28.0,5,trend-duration
rb_hz750_sd2.5_v40,9.233,0.02525,0.75,0.823,28.0,2.764,0.00611,0.607,0.469,28.0,4,trend-duration
rb_ts_sd2.5_v40_pl,-0.908,-0.00235,0.536,-0.422,28.0,0.924,0.00203,0.536,0.122,28.0,2,trend-duration
rb_hz250_sd2.5_v40_pl,2.891,0.00732,0.536,0.405,28.0,-0.491,-0.00107,0.5,0.207,28.0,3,trend-duration
rb_hz500_sd2.5_v40_pl,-1.579,-0.00411,0.536,-0.558,28.0,-1.177,-0.00259,0.536,-0.111,28.0,3,trend-duration
rb_hz750_sd2.5_v40_pl,-3.366,-0.00931,0.643,-0.91,28.0,0.915,0.00202,0.429,0.223,28.0,3,trend-duration
rb_ts_sd2.5_v40_ph,10.811,0.02703,0.857,0.999,28.0,9.239,0.02057,0.643,0.792,28.0,5,trend-duration
rb_hz250_sd2.5_v40_ph,0.275,0.00069,0.5,-0.372,28.0,-3.567,-0.00802,0.429,-0.63,28.0,3,trend-duration
rb_hz500_sd2.5_v40_ph,6.941,0.01855,0.714,0.784,28.0,9.05,0.02006,0.571,0.822,28.0,3,trend-duration
rb_hz750_sd2.5_v40_ph,6.31,0.01787,0.679,0.572,28.0,6.426,0.01432,0.679,0.788,28.0,4,trend-duration
rb_ts_sd2.5_v40_ol,0.258,0.00069,0.536,-0.114,28.0,0.108,0.00024,0.536,-0.397,28.0,2,trend-duration
rb_hz250_sd2.5_v40_ol,1.655,0.00441,0.571,0.751,28.0,2.53,0.00554,0.571,0.1,28.0,3,trend-duration
rb_hz500_sd2.5_v40_ol,-1.176,-0.00311,0.5,-0.583,28.0,1.782,0.00394,0.536,0.643,28.0,2,trend-duration
rb_hz750_sd2.5_v40_ol,-3.609,-0.00991,0.643,-0.825,28.0,0.845,0.00186,0.5,0.106,28.0,2,trend-duration
rb_ts_sd2.5_v40_oh,8.838,0.02211,0.821,0.833,28.0,11.01,0.02454,0.75,0.758,28.0,5,trend-duration
rb_hz250_sd2.5_v40_oh,-6.747,-0.01726,0.679,-0.788,28.0,-3.915,-0.00875,0.607,-0.741,28.0,3,trend-duration
rb_hz500_sd2.5_v40_oh,5.565,0.01478,0.679,0.784,28.0,8.232,0.01803,0.643,0.714,28.0,4,trend-duration
rb_hz750_sd2.5_v40_oh,0.949,0.00264,0.536,0.093,28.0,7.57,0.01671,0.643,0.557,28.0,3,trend-duration
rb_ts_sd2.5_v40_ch,7.858,0.01875,0.714,0.923,28.0,3.284,0.00739,0.643,0.379,28.0,3,trend-duration
rb_hz250_sd2.5_v40_ch,4.931,0.01176,0.643,0.755,28.0,-3.525,-0.0078,0.536,-0.568,28.0,4,trend-duration
rb_hz500_sd2.5_v40_ch,8.787,0.02249,0.679,0.948,28.0,1.064,0.00239,0.643,0.022,28.0,4,trend-duration
rb_hz750_sd2.5_v40_ch,9.137,0.02498,0.786,0.87,28.0,1.498,0.00333,0.607,0.399,28.0,4,trend-duration
rb_ts_sg3_v40,6.695,0.01532,0.643,0.656,28.0,0.129,0.00029,0.536,0.244,28.0,5,trend-duration
rb_hz250_sg3_v40,5.384,0.01261,0.643,0.75,28.0,-0.873,-0.0019,0.571,-0.432,28.0,3,trend-duration
rb_hz500_sg3_v40,3.792,0.00979,0.679,0.876,28.0,-0.034,-8e-05,0.5,-0.401,28.0,2,trend-duration
rb_hz750_sg3_v40,2.873,0.00785,0.5,0.41,28.0,-1.49,-0.00327,0.536,-0.713,28.0,1,trend-duration
rb_ts_sg3_v40_pl,0.867,0.00227,0.5,-0.14,28.0,-1.253,-0.00277,0.429,0.115,28.0,4,trend-duration
rb_hz250_sg3_v40_pl,2.375,0.00612,0.571,0.745,28.0,2.191,0.00472,0.607,0.054,28.0,2,trend-duration
rb_hz500_sg3_v40_pl,-0.701,-0.00185,0.571,-0.451,28.0,-1.009,-0.00223,0.5,-0.639,28.0,3,trend-duration
rb_hz750_sg3_v40_pl,-1.576,-0.00444,0.536,-0.419,28.0,-3.356,-0.00742,0.536,-0.477,28.0,3,trend-duration
rb_ts_sg3_v40_ph,5.937,0.01596,0.714,0.921,27.0,10.182,0.02268,0.643,0.531,28.0,5,trend-duration
rb_hz250_sg3_v40_ph,-0.058,-0.00015,0.5,-0.417,27.0,-3.856,-0.00859,0.5,-0.814,28.0,5,trend-duration
rb_hz500_sg3_v40_ph,7.937,0.02251,0.786,0.437,27.0,7.479,0.01657,0.679,0.595,28.0,3,trend-duration
rb_hz750_sg3_v40_ph,2.947,0.00877,0.536,0.223,27.0,6.954,0.01509,0.75,0.417,28.0,4,trend-duration
rb_ts_sg3_v40_ol,1.404,0.00384,0.536,0.165,27.0,0.333,0.00074,0.536,0.151,28.0,3,trend-duration
rb_hz250_sg3_v40_ol,5.917,0.0166,0.536,0.645,27.0,0.881,0.00194,0.464,-0.179,28.0,3,trend-duration
rb_hz500_sg3_v40_ol,3.017,0.0084,0.571,0.306,27.0,-1.501,-0.00328,0.571,-0.629,28.0,3,trend-duration
rb_hz750_sg3_v40_ol,1.353,0.00378,0.536,0.008,27.0,-2.711,-0.00598,0.571,-0.387,28.0,3,trend-duration
rb_ts_sg3_v40_oh,3.258,0.0086,0.536,0.789,27.0,8.684,0.01937,0.679,0.667,28.0,4,trend-duration
rb_hz250_sg3_v40_oh,3.282,0.00842,0.571,-0.004,28.0,-1.678,-0.00363,0.464,-0.551,28.0,3,trend-duration
rb_hz500_sg3_v40_oh,8.179,0.02221,0.75,0.385,28.0,8.981,0.01972,0.571,0.608,28.0,3,trend-duration
rb_hz750_sg3_v40_oh,-0.7,-0.00201,0.571,-0.521,28.0,6.5,0.01419,0.607,0.518,28.0,2,trend-duration
rb_ts_sg3_v40_ch,7.109,0.01705,0.643,0.766,28.0,1.395,0.0031,0.536,0.387,28.0,4,trend-duration
rb_hz250_sg3_v40_ch,5.498,0.01301,0.643,0.883,28.0,-1.751,-0.00379,0.536,-0.522,28.0,3,trend-duration
rb_hz500_sg3_v40_ch,3.93,0.01017,0.643,0.71,28.0,0.27,0.00059,0.536,0.221,28.0,4,trend-duration
rb_hz750_sg3_v40_ch,3.878,0.01063,0.536,0.42,28.0,-0.253,-0.00055,0.571,-0.428,28.0,1,trend-duration
