s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
za_cx2.5_x60_pl,-4.296,-0.01044,0.536,-0.562,28.0,-5.435,-0.01203,0.607,-0.695,28.0,4,trend-duration
za_cx2.5_s60_pl,-3.707,-0.00918,0.607,-0.495,28.0,-6.582,-0.01486,0.714,-0.829,28.0,4,trend-duration
za_cx2.5_m75_pl,-5.51,-0.01365,0.75,-0.715,28.0,-4.194,-0.00982,0.536,-0.355,28.0,4,trend-duration
za_cx2.5_x75_pl,-6.488,-0.01585,0.679,-0.749,28.0,-4.619,-0.01023,0.607,-0.539,28.0,4,trend-duration
za_cx2.5_s75_pl,-4.241,-0.01063,0.571,-0.609,28.0,-5.949,-0.01335,0.714,-0.85,28.0,4,trend-duration
za_cx2.5_m90_pl,-4.293,-0.01082,0.643,-0.255,28.0,-4.728,-0.01093,0.571,-0.65,28.0,4,trend-duration
za_cx2.5_x90_pl,-7.952,-0.01972,0.679,-0.945,28.0,-8.142,-0.01794,0.75,-0.23,28.0,4,trend-duration
za_cx2.5_s90_pl,-4.783,-0.01202,0.679,-0.735,28.0,-4.654,-0.01048,0.643,-0.361,28.0,4,trend-duration
za_cx2.5_m120_pl,-8.383,-0.02095,0.714,-0.239,28.0,-6.144,-0.01396,0.786,-0.446,28.0,4,trend-duration
za_cx2.5_x120_pl,-6.907,-0.0174,0.679,-0.513,28.0,-3.748,-0.0085,0.679,-0.332,28.0,3,trend-duration
za_cx2.5_s120_pl,-7.985,-0.02,0.643,-0.184,28.0,-2.808,-0.00644,0.607,-0.306,28.0,4,trend-duration
za_cx2.5_m150_pl,-2.125,-0.00527,0.536,0.176,28.0,-3.763,-0.00852,0.679,-0.174,28.0,3,trend-duration
za_cx2.5_x150_pl,-11.864,-0.0294,0.714,-0.253,28.0,0.658,0.00147,0.464,0.173,28.0,1,trend-duration
za_cx2.5_s150_pl,-5.281,-0.01296,0.571,-0.146,28.0,-4.107,-0.00935,0.679,-0.209,28.0,3,trend-duration
za_cx2.5_m180_pl,2.686,0.00671,0.607,0.798,28.0,-0.667,-0.00152,0.5,0.061,28.0,2,trend-duration
za_cx2.5_x180_pl,-3.173,-0.00782,0.5,0.193,28.0,3.509,0.0078,0.607,0.365,28.0,1,trend-duration
za_cx2.5_s180_pl,-2.941,-0.00718,0.536,0.103,28.0,8.547,0.01956,0.643,0.344,28.0,3,trend-duration
za_cx2.5_m250_pl,-1.326,-0.00328,0.536,0.089,28.0,1.657,0.00361,0.643,0.26,28.0,4,trend-duration
za_cx2.5_x250_pl,-0.121,-0.00031,0.571,0.389,28.0,1.674,0.00356,0.571,0.164,28.0,2,trend-duration
za_cx2.5_s250_pl,10.043,0.02478,0.821,0.782,28.0,3.017,0.00668,0.643,0.317,28.0,4,trend-duration
za_cx2.5_m375_pl,-1.77,-0.00464,0.607,0.274,28.0,9.266,0.02034,0.821,0.69,28.0,5,trend-duration
za_cx2.5_x375_pl,5.86,0.01565,0.714,0.283,28.0,-0.077,-0.0002,0.429,-0.274,28.0,2,trend-duration
za_cx2.5_s375_pl,6.243,0.0162,0.643,0.601,28.0,9.686,0.0217,0.821,0.613,28.0,5,trend-duration
za_cx2.5_m500_pl,6.881,0.019,0.714,0.544,28.0,4.068,0.00892,0.714,-0.016,28.0,3,trend-duration
za_cx2.5_x500_pl,-2.27,-0.0077,0.429,0.164,28.0,0.965,0.00239,0.536,-0.161,28.0,3,trend-duration
za_cx2.5_s500_pl,8.342,0.02321,0.714,0.236,28.0,6.389,0.01445,0.714,0.624,28.0,5,trend-duration
za_cx2.5_m750_pl,11.253,0.03428,0.786,0.366,28.0,3.003,0.00658,0.464,-0.005,28.0,5,trend-duration
za_cx2.5_x750_pl,-14.823,-0.05428,0.893,-0.853,28.0,4.455,0.01244,0.714,0.125,28.0,2,trend-duration
za_cx2.5_s750_pl,5.614,0.01746,0.714,0.645,28.0,3.832,0.00845,0.464,0.099,28.0,4,trend-duration
za_cx3_m5_pl,-2.833,-0.00687,0.536,-0.293,28.0,0.497,0.0011,0.5,-0.245,28.0,1,trend-duration
