pair,frm,to,share,n
AUDCHF,ranging,neither,0.4642857142857143,56
AUDCHF,trend-in-range,trending,0.5510204081632653,49
AUDCHF,trend-in-range,ranging,0.2857142857142857,49
AUDCHF,trend-in-range,neither,0.16326530612244897,49
AUDCHF,neither,trending,0.3392857142857143,56
AUDCHF,neither,ranging,0.5892857142857143,56
AUDCHF,neither,trend-in-range,0.07142857142857142,56
AUDJPY,trending,ranging,0.1111111111111111,63
AUDJPY,trending,trend-in-range,0.4444444444444444,63
AUDJPY,trending,neither,0.4444444444444444,63
AUDJPY,ranging,trending,0.125,56
AUDJPY,ranging,trend-in-range,0.44642857142857145,56
AUDJPY,ranging,neither,0.42857142857142855,56
AUDJPY,trend-in-range,trending,0.5666666666666667,60
AUDJPY,trend-in-range,ranging,0.35,60
AUDJPY,trend-in-range,neither,0.08333333333333333,60
AUDJPY,neither,trending,0.38596491228070173,57
AUDJPY,neither,ranging,0.5087719298245614,57
AUDJPY,neither,trend-in-range,0.10526315789473684,57
NZDUSD,trending,ranging,0.10526315789473684,57
NZDUSD,trending,trend-in-range,0.40350877192982454,57
NZDUSD,trending,neither,0.49122807017543857,57
NZDUSD,ranging,trending,0.09803921568627451,51
NZDUSD,ranging,trend-in-range,0.5098039215686274,51
NZDUSD,ranging,neither,0.39215686274509803,51
NZDUSD,trend-in-range,trending,0.5384615384615384,52
NZDUSD,trend-in-range,ranging,0.3269230769230769,52
NZDUSD,trend-in-range,neither,0.1346153846153846,52
NZDUSD,neither,trending,0.41818181818181815,55
NZDUSD,neither,ranging,0.5272727272727272,55
NZDUSD,neither,trend-in-range,0.05454545454545454,55
NZDCAD,trending,ranging,0.11538461538461539,52
NZDCAD,trending,trend-in-range,0.4423076923076923,52
NZDCAD,trending,neither,0.4423076923076923,52
NZDCAD,ranging,trending,0.1276595744680851,47
NZDCAD,ranging,trend-in-range,0.48936170212765956,47
NZDCAD,ranging,neither,0.3829787234042553,47
NZDCAD,trend-in-range,trending,0.47058823529411764,51
NZDCAD,trend-in-range,ranging,0.35294117647058826,51
NZDCAD,trend-in-range,neither,0.17647058823529413,51
NZDCAD,neither,trending,0.44,50
NZDCAD,neither,ranging,0.46,50
NZDCAD,neither,trend-in-range,0.1,50
NZDCHF,trending,ranging,0.0784313725490196,51
NZDCHF,trending,trend-in-range,0.39215686274509803,51
NZDCHF,trending,neither,0.5294117647058824,51
NZDCHF,ranging,trending,0.058823529411764705,51
NZDCHF,ranging,trend-in-range,0.5686274509803921,51
NZDCHF,ranging,neither,0.37254901960784315,51
NZDCHF,trend-in-range,trending,0.4262295081967213,61
NZDCHF,trend-in-range,ranging,0.4262295081967213,61
NZDCHF,trend-in-range,neither,0.14754098360655737,61
NZDCHF,neither,trending,0.4,55
NZDCHF,neither,ranging,0.4,55
NZDCHF,neither,trend-in-range,0.2,55
NZDJPY,trending,ranging,0.14754098360655737,61
NZDJPY,trending,trend-in-range,0.3442622950819672,61
NZDJPY,trending,neither,0.5081967213114754,61
NZDJPY,ranging,trending,0.0625,48
NZDJPY,ranging,trend-in-range,0.4583333333333333,48
NZDJPY,ranging,neither,0.4791666666666667,48
NZDJPY,trend-in-range,trending,0.5740740740740741,54
NZDJPY,trend-in-range,ranging,0.3148148148148148,54
NZDJPY,trend-in-range,neither,0.1111111111111111,54
NZDJPY,neither,trending,0.45,60
NZDJPY,neither,ranging,0.38333333333333336,60
NZDJPY,neither,trend-in-range,0.16666666666666666,60
USDCAD,trending,ranging,0.2,50
USDCAD,trending,trend-in-range,0.5,50
USDCAD,trending,neither,0.3,50
USDCAD,ranging,trending,0.2,55
USDCAD,ranging,trend-in-range,0.45454545454545453,55
USDCAD,ranging,neither,0.34545454545454546,55
USDCAD,trend-in-range,trending,0.4444444444444444,54
USDCAD,trend-in-range,ranging,0.4074074074074074,54
USDCAD,trend-in-range,neither,0.14814814814814814,54
USDCAD,neither,trending,0.3333333333333333,42
USDCAD,neither,ranging,0.5476190476190477,42
USDCAD,neither,trend-in-range,0.11904761904761904,42
USDCHF,trending,ranging,0.14285714285714285,56
USDCHF,trending,trend-in-range,0.5,56
USDCHF,trending,neither,0.35714285714285715,56
USDCHF,ranging,trending,0.07017543859649122,57
USDCHF,ranging,trend-in-range,0.40350877192982454,57
USDCHF,ranging,neither,0.5263157894736842,57
USDCHF,trend-in-range,trending,0.4339622641509434,53
USDCHF,trend-in-range,ranging,0.39622641509433965,53
USDCHF,trend-in-range,neither,0.16981132075471697,53
USDCHF,neither,trending,0.4745762711864407,59
USDCHF,neither,ranging,0.4915254237288136,59
USDCHF,neither,trend-in-range,0.03389830508474576,59
USDJPY,trending,ranging,0.11320754716981132,53
USDJPY,trending,trend-in-range,0.39622641509433965,53
USDJPY,trending,neither,0.49056603773584906,53
USDJPY,ranging,trending,0.14285714285714285,49
USDJPY,ranging,trend-in-range,0.4897959183673469,49
USDJPY,ranging,neither,0.3673469387755102,49
USDJPY,trend-in-range,trending,0.574468085106383,47
USDJPY,trend-in-range,ranging,0.2978723404255319,47
USDJPY,trend-in-range,neither,0.1276595744680851,47
USDJPY,neither,trending,0.3877551020408163,49
USDJPY,neither,ranging,0.5918367346938775,49
USDJPY,neither,trend-in-range,0.02040816326530612,49
CADCHF,trending,ranging,0.12244897959183673,49
CADCHF,trending,trend-in-range,0.4489795918367347,49
CADCHF,trending,neither,0.42857142857142855,49
CADCHF,ranging,trending,0.1111111111111111,45
CADCHF,ranging,trend-in-range,0.4444444444444444,45
CADCHF,ranging,neither,0.4444444444444444,45
CADCHF,trend-in-range,trending,0.43478260869565216,46
CADCHF,trend-in-range,ranging,0.34782608695652173,46
CADCHF,trend-in-range,neither,0.21739130434782608,46
CADCHF,neither,trending,0.47058823529411764,51
CADCHF,neither,ranging,0.45098039215686275,51
CADCHF,neither,trend-in-range,0.0784313725490196,51
CADJPY,trending,ranging,0.1016949152542373,59
CADJPY,trending,trend-in-range,0.4915254237288136,59
CADJPY,trending,neither,0.4067796610169492,59
CADJPY,ranging,trending,0.07692307692307693,52
CADJPY,ranging,trend-in-range,0.5,52
CADJPY,ranging,neither,0.4230769230769231,52
CADJPY,trend-in-range,trending,0.5833333333333334,60
CADJPY,trend-in-range,ranging,0.31666666666666665,60
CADJPY,trend-in-range,neither,0.1,60
CADJPY,neither,trending,0.36538461538461536,52
CADJPY,neither,ranging,0.5192307692307693,52
CADJPY,neither,trend-in-range,0.11538461538461539,52
CHFJPY,trending,ranging,0.12,50
CHFJPY,trending,trend-in-range,0.52,50
CHFJPY,trending,neither,0.36,50
CHFJPY,ranging,trending,0.14285714285714285,49
CHFJPY,ranging,trend-in-range,0.42857142857142855,49
CHFJPY,ranging,neither,0.42857142857142855,49
CHFJPY,trend-in-range,trending,0.5192307692307693,52
CHFJPY,trend-in-range,ranging,0.34615384615384615,52
CHFJPY,trend-in-range,neither,0.1346153846153846,52
CHFJPY,neither,trending,0.32608695652173914,46
CHFJPY,neither,ranging,0.5434782608695652,46
CHFJPY,neither,trend-in-range,0.13043478260869565,46
