window_end,block,mean_kappa,neff_equicorr,neff_eigen
2015-01-02,is,0.027305638898046485,16.117406091150485,15.661208174411065
2015-02-03,is,0.025020039283554778,16.711019895291567,15.774514281341093
2015-03-05,is,0.025870431244742906,16.48511798935957,16.068494625317914
2015-04-03,is,0.022122959411467445,17.52936273313878,16.642861406683593
2015-05-04,is,0.018172713117373347,18.783585039538423,17.11085206214069
2015-06-03,is,0.015896504358509828,19.591302786408313,17.20481081566868
2015-07-02,is,0.0056009348290790165,24.32191287834587,17.797749991038952
2015-08-03,is,0.009003534106658145,22.52441729709188,18.114587531027986
2015-09-01,is,0.009870484003936484,22.10811857081916,17.347962223004494
2015-10-01,is,0.010923182487365487,21.622858429773967,16.485416245475495
2015-11-02,is,0.006598986821760168,23.76561715138869,16.57561007526624
2015-12-03,is,0.01219893900423974,21.06258716528015,16.095883943844363
2016-01-05,oos,0.015545888043371196,19.721935123449885,17.049033077616027
2016-02-04,oos,0.01505735808336384,19.906883161619035,18.183038832393926
2016-03-07,oos,0.012499265957206305,20.934889653706133,18.221606545176925
2016-04-05,oos,0.01545740587255707,19.75517749227326,18.317943764641612
2016-05-04,oos,0.0168117625162151,19.258313010515504,17.248692963673605
2016-06-03,oos,0.01848252207744863,18.678769312605414,15.919277048765066
2016-07-05,oos,0.016478081477029526,19.37839372932435,14.765355886807704
2016-08-03,oos,0.01796783094396011,18.853550151148593,14.123289682039328
2016-09-01,oos,0.03225501153899809,14.966176615475323,14.263027844239485
2016-10-03,oos,0.04176220266809392,13.160495468200706,15.743769121539659
2016-11-02,oos,0.05146265495251012,11.717973404467024,16.749253751881422
2016-12-05,oos,0.04474913736576934,12.679857501703278,18.085418078802963
2017-01-05,oos,0.038626258863163586,13.705945857881764,18.227429812968733
2017-02-07,oos,0.03680910867937878,14.043211422563198,17.77917870038311
2017-03-09,oos,0.03541991715248234,14.312456942704893,17.660264578235804
2017-04-07,oos,0.032282816027965316,14.960173618149343,17.659508351074358
2017-05-08,oos,0.037244901919495775,13.960823473440492,16.341234017646027
2017-06-07,oos,0.032492633559301515,14.915028766030824,16.280177313799715
2017-07-07,oos,0.03466003456347805,14.464147752299366,16.073797305359157
2017-08-07,oos,0.0388630897060998,13.66317925326534,16.197791035749134
2017-09-06,oos,0.036926197799359274,14.020980008931751,15.862150355411885
2017-10-05,oos,0.03241942995928081,14.930748451285528,16.33563101304515
2017-11-06,oos,0.02771657639107693,16.015122278670994,17.811950342257294
2017-12-07,oos,0.024683935365340078,16.802020393915516,18.437862883924925
2018-01-09,oos,0.02269031028991719,17.362851079927918,18.902670908022333
2018-02-08,oos,0.01855719053515329,18.65368190772004,19.114306823009745
2018-03-12,oos,0.018692438932970783,18.60841177826872,19.039296308054393
2018-04-10,oos,0.024996477068478858,16.717367248824388,19.345570705268155
2018-05-09,oos,0.02421137188679637,16.931656760695017,19.69804061378167
2018-06-08,oos,0.031216163014018004,15.193969458740517,19.01170357372151
2018-07-10,oos,0.029158397263660388,15.666292516886031,18.125328621077035
2018-08-08,oos,0.02687329612768672,16.22643766171829,17.484358296264997
2018-09-07,oos,0.02332885450857179,17.179188619346643,16.942878027326223
2018-10-09,oos,0.02390812679940873,17.015903670717176,16.341921048863185
2018-11-07,oos,0.021283938002791155,17.78154491293793,16.168729485766153
2018-12-11,oos,0.023192360455481856,17.21812072195887,16.29379638102903
