sid,c1,c2,vol,base,slice,mode,ip1,risk1
B|trend|didi_index_signals|center_of_gravity_signals|variance_volume_signals|wma_baseline,didi_index_signals,center_of_gravity_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 57}, ""c1"": {""long_p"": 16, ""medium"": 15}, ""c2"": {""length"": 10, ""signal_length"": 3}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 12, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 132}}","{""atr_len"": 5, ""atr_mult"": 1.26, ""be_pct"": 0.01, ""tp_mult"": 2.35, ""trail_arm"": 1.0, ""trail_mult"": 0.65}"
B|trend|laguerre_filter_signals|waddah_attar_explosion_signals|chaikin_volatility_volume_signals|mcginley_dynamic_index,laguerre_filter_signals,waddah_attar_explosion_signals,chaikin_volatility_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 40}, ""c1"": {""alpha"": 0.2}, ""c2"": {""bbLen"": 87, ""bbStd"": 20, ""fastEma"": 16, ""sensitivity"": 15, ""slowEma"": 400}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""cvi_len"": 19, ""roc_len"": 6}}","{""atr_len"": 50, ""atr_mult"": 1.27, ""be_pct"": 0.05, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 0.5}"
B|trend|schaff_trend_cycle_signals|volatility_quality_signals|variance_volume_signals|wma_baseline,schaff_trend_cycle_signals,volatility_quality_signals,variance_volume_signals,wma_baseline,trend,B,"{""base"": {""ma_length"": 200}, ""c1"": {""cycleLen"": 10, ""d1"": 3, ""d2"": 9, ""lowerBand"": 25, ""macdFast"": 28, ""macdSlow"": 41, ""stc_midline"": 12, ""upperBand"": 7}, ""c2"": {""atr_pct"": 0.060835, ""smooth"": 8}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 200}}","{""atr_len"": 46, ""atr_mult"": 1.0, ""be_pct"": 0.01, ""tp_mult"": 2.75, ""trail_arm"": 2.0, ""trail_mult"": 0.5}"
B|trend|coral_signals|dpo_signals|variance_volume_signals|frama_baseline,coral_signals,dpo_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 10}, ""c1"": {""const_d"": 11, ""smooth_period"": 10}, ""c2"": {""len"": 50}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 20, ""hline"": 0, ""lookback"": 16}}","{""atr_len"": 41, ""atr_mult"": 1.36, ""be_pct"": 0.05, ""tp_mult"": 2.4, ""trail_arm"": 1.05, ""trail_mult"": 1.4}"
B|trend|fx_sniper_ergodic_cci_signals|schaff_trend_cycle_signals|variance_volume_signals|frama_baseline,fx_sniper_ergodic_cci_signals,schaff_trend_cycle_signals,variance_volume_signals,frama_baseline,trend,B,"{""base"": {""length"": 5}, ""c1"": {""cci_length"": 14, ""ema1_length"": 5, ""ema2_length"": 3, ""trigger_length"": 5}, ""c2"": {""cycleLen"": 8, ""d1"": 3, ""d2"": 3, ""lowerBand"": 25, ""macdFast"": 23, ""macdSlow"": 50, ""stc_midline"": 62, ""upperBand"": 75}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 2, ""filter_lookback"": 3, ""hline"": 0, ""lookback"": 37}}","{""atr_len"": 12, ""atr_mult"": 1.3, ""be_pct"": 0.01, ""tp_mult"": 2.7, ""trail_arm"": 1.25, ""trail_mult"": 1.3}"
B|trend|laguerre_filter_signals|price_momentum_oscillator_signals|variance_volume_signals|mcginley_dynamic_index,laguerre_filter_signals,price_momentum_oscillator_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 11}, ""c1"": {""alpha"": 0.030398}, ""c2"": {""s1"": 8, ""s2"": 16, ""sig"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 10, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 7}}","{""atr_len"": 46, ""atr_mult"": 1.15, ""be_pct"": 0.01, ""tp_mult"": 2.85, ""trail_arm"": 1.0, ""trail_mult"": 1.4}"
B|trend|vortex_signals|polychromatic_momentum_signals|variance_volume_signals|mcginley_dynamic_index,vortex_signals,polychromatic_momentum_signals,variance_volume_signals,mcginley_dynamic_index,trend,B,"{""base"": {""mci_length"": 14}, ""c1"": {""period"": 92}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 100, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 11}}","{""atr_len"": 49, ""atr_mult"": 1.43, ""be_pct"": 0.05, ""tp_mult"": 2.9, ""trail_arm"": 1.85, ""trail_mult"": 1.2}"
B|trend|ehlers_reverse_ema_signals|volatility_quality_signals|variance_volume_signals|tma_baseline,ehlers_reverse_ema_signals,volatility_quality_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""alpha"": 0.01}, ""c2"": {""atr_pct"": 0.140536, ""smooth"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 4, ""filter_lookback"": 87, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 4, ""atr_mult"": 1.15, ""be_pct"": 0.05, ""tp_mult"": 2.6, ""trail_arm"": 1.5, ""trail_mult"": 1.35}"
B|trend|parabolic_sar_signals|polychromatic_momentum_signals|variance_volume_signals|tma_baseline,parabolic_sar_signals,polychromatic_momentum_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 20}, ""c1"": {""sar_increment"": 0.016223, ""sar_maximum"": 0.162226, ""sar_start"": 0.02}, ""c2"": {""len"": 14}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 43, ""filter_lookback"": 200, ""hline"": 0, ""lookback"": 3}}","{""atr_len"": 39, ""atr_mult"": 1.45, ""be_pct"": 0.05, ""tp_mult"": 2.5, ""trail_arm"": 1.9, ""trail_mult"": 1.7}"
B|trend|vortex_signals|relative_vigor_index_signals|variance_volume_signals|tma_baseline,vortex_signals,relative_vigor_index_signals,variance_volume_signals,tma_baseline,trend,B,"{""base"": {""length"": 25}, ""c1"": {""period"": 61}, ""c2"": {""len"": 10}, ""exit_ind"": {""adx_smoothing"": 14, ""adx_threshold"": 25, ""di_length"": 14}, ""vol"": {""ema_len"": 19, ""filter_lookback"": 11, ""hline"": 0, ""lookback"": 20}}","{""atr_len"": 2, ""atr_mult"": 1.1, ""be_pct"": 0.01, ""tp_mult"": 2.5, ""trail_arm"": 1.0, ""trail_mult"": 1.85}"
