n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
214,173.75430472340526,22,116.43700908687511,6,117.16580882223292,22,116.43700908687511,0,0.0,180,49.856440388128135,parabolic_sar_signals,schaff_trend_cycle_signals,variance_volume_signals,wma_baseline,trend,34,0.6701244569003801,22.240367348520564,48.325907519458795,11.59306180688461,34,49.856440388128135,180,21.0,46.0,33.5,30
144,47.07172581749258,10,11.105959190903961,0,0.0,10,11.105959190903961,0,0.0,134,35.965766626588604,fisher_transform_signals,center_of_gravity_signals,williams_vix_fix_volume_signals,alma_baseline,trend,15,0.23593694511996874,31.35994575984376,44.844214478934326,9.072692182537669,15,35.965766626588604,134,46.0,21.0,33.5,31
180,139.2317624781106,12,90.4511019411735,6,90.09057568508774,16,89.3568864675448,0,0.0,152,44.963061615748316,kase_peak_oscillator_signals,relative_vigor_index_signals,variance_volume_signals,wma_baseline,trend,33,0.641785213927699,24.688407004088077,43.135156924576634,6.167848858656964,33,44.963061615748316,152,26.0,41.0,33.5,32
344,140.6132176753427,32,81.21705849625185,6,84.06244463362488,34,80.21705849625187,0,0.0,299,58.308480650180904,kase_peak_oscillator_signals,polychromatic_momentum_signals,chaikin_volatility_volume_signals,wma_baseline,trend,56,0.5704802138975472,17.596630358205342,57.138772336638624,6.047225283264962,56,58.308480650180904,299,9.0,58.0,33.5,33
102,38.77774980191831,6,2.145903412826109,8,0.3541801493178278,12,3.500083562143968,0,0.0,90,35.27766623977435,schaff_trend_cycle_signals,polychromatic_momentum_signals,waddah_attar_explosion_volume_signals,rma_baseline,trend,31,0.09026009967114752,31.83185582588371,36.30454690685096,5.851281832333621,31,35.27766623977435,90,48.0,19.0,33.5,34
144,39.51258499592142,12,0.07129168888568985,4,-1.2631005346704456,14,-0.9287083111143013,0,0.0,128,41.44129330703573,fisher_transform_signals,fisher_transform_signals,williams_vix_fix_volume_signals,lsma_baseline,trend,26,-0.023504114226142497,27.96073062044245,40.51258499592142,9.940999648950552,26,41.44129330703573,128,35.0,34.0,34.5,35
164,44.37182881160501,12,6.067081212832441,4,2.71984439512067,12,6.067081212832441,0,0.0,130,39.06121863565388,donchian_breakout_signals,center_of_gravity_signals,variance_volume_signals,kama_baseline,trend,25,0.13673272829461688,29.279404038468783,40.85466802164541,6.511427902335269,25,39.06121863565388,130,39.0,30.0,34.5,36
110,36.17769316850622,16,0.2639766319795831,8,-1.0098600754224947,20,-1.0342065728896754,0,0.0,84,33.633867730320844,laguerre_filter_signals,fx_sniper_ergodic_cci_signals,waddah_attar_explosion_volume_signals,frama_baseline,trend,42,-0.028586857876001442,32.93244265478252,32.95326781848843,9.596246921038064,42,33.633867730320844,84,53.0,17.0,35.0,37
94,35.10168976192138,4,-0.25000000000006206,4,1.6136707519912024,6,2.3636707519912,0,0.0,84,28.02750495416076,vortex_signals,waddah_attar_explosion_signals,williams_vix_fix_volume_signals,tma_baseline,trend,57,0.06733780533139264,37.80465606666531,30.391175706151945,10.493653401837436,57,28.02750495416076,84,59.0,12.0,35.5,38
148,120.33282986126376,18,79.36924450766129,4,79.22593506151398,20,82.4913872268503,0,0.0,119,36.65869479834626,fx_sniper_ergodic_cci_signals,laguerre_filter_signals,chaikin_volatility_volume_signals,tma_baseline,trend,18,0.6855268618045277,30.10256106162949,43.04628968287159,8.60925793657428,18,36.65869479834626,119,45.0,26.0,35.5,39
