day,pair,dir,size,entry,stop
2016-02-05,GBPAUD,1,2.068636142821119,0.0,0.0
2016-02-05,GBPCAD,-1,4.137272285642238,0.0,0.0
2016-02-05,GBPJPY,-1,2.068636142821119,0.0,0.0
2016-02-05,USDJPY,-1,2.068636142821119,0.0,0.0
2016-02-08,AUDCHF,-1,3.761156623311125,0.0,0.0
2016-02-08,AUDNZD,-1,0.6268594372185209,0.0,0.0
2016-02-08,AUDUSD,-1,0.6268594372185209,0.0,0.0
2016-02-08,EURJPY,-1,0.6268594372185209,0.0,0.0
2016-02-08,GBPAUD,1,1.8805783116555623,0.0,0.0
2016-02-08,GBPCAD,-1,3.761156623311125,0.0,0.0
2016-02-08,GBPJPY,-1,1.8805783116555623,0.0,0.0
2016-02-08,USDJPY,-1,1.8805783116555623,0.0,0.0
2016-02-09,AUDCHF,-1,3.761156623311125,0.0,0.0
2016-02-09,AUDNZD,-1,0.6268594372185209,0.0,0.0
2016-02-09,AUDUSD,-1,0.6268594372185209,0.0,0.0
2016-02-09,EURJPY,-1,0.6268594372185209,0.0,0.0
2016-02-09,GBPAUD,1,1.8805783116555623,0.0,0.0
2016-02-09,GBPCAD,-1,3.761156623311125,0.0,0.0
2016-02-09,GBPJPY,-1,1.8805783116555623,0.0,0.0
2016-02-09,USDJPY,-1,1.8805783116555623,0.0,0.0
2016-02-10,AUDCHF,-1,1.591258571400861,0.0,0.0
2016-02-10,AUDNZD,-1,0.5304195238002869,0.0,0.0
2016-02-10,AUDUSD,-1,0.5304195238002869,0.0,0.0
2016-02-10,CHFJPY,-1,1.591258571400861,0.0,0.0
2016-02-10,EURJPY,-1,3.182517142801722,0.0,0.0
2016-02-10,GBPAUD,1,1.591258571400861,0.0,0.0
2016-02-10,GBPCAD,-1,3.182517142801722,0.0,0.0
2016-02-10,GBPJPY,-1,0.5304195238002869,0.0,0.0
2016-02-10,NZDUSD,1,0.5304195238002869,0.0,0.0
2016-02-10,USDJPY,-1,1.591258571400861,0.0,0.0
2016-02-11,AUDCHF,-1,1.8805783116555623,0.0,0.0
2016-02-11,AUDNZD,-1,0.6268594372185209,0.0,0.0
2016-02-11,AUDUSD,-1,0.6268594372185209,0.0,0.0
2016-02-11,CHFJPY,-1,1.8805783116555623,0.0,0.0
2016-02-11,EURJPY,-1,3.761156623311125,0.0,0.0
2016-02-11,GBPAUD,1,1.8805783116555623,0.0,0.0
2016-02-11,GBPCAD,-1,3.761156623311125,0.0,0.0
2016-02-11,GBPJPY,-1,0.6268594372185209,0.0,0.0
2016-02-11,NZDUSD,1,0.6268594372185209,0.0,0.0
2016-02-11,USDJPY,-1,0.6268594372185209,0.0,0.0
2016-02-12,AUDCHF,-1,0.9850648299148184,0.0,0.0
2016-02-12,AUDNZD,-1,0.9850648299148184,0.0,0.0
2016-02-12,AUDUSD,-1,0.9850648299148184,0.0,0.0
2016-02-12,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-02-12,EURJPY,-1,2.9551944897444553,0.0,0.0
2016-02-12,GBPAUD,1,2.9551944897444553,0.0,0.0
2016-02-12,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-12,GBPJPY,-1,0.9850648299148184,0.0,0.0
2016-02-12,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-02-15,AUDCHF,-1,1.0,0.0,0.0
2016-02-15,AUDNZD,-1,1.0,0.0,0.0
2016-02-15,AUDUSD,-1,1.0,0.0,0.0
2016-02-15,CHFJPY,-1,3.0,0.0,0.0
2016-02-15,EURJPY,-1,3.0,0.0,0.0
2016-02-15,GBPAUD,1,3.0,0.0,0.0
2016-02-15,GBPCAD,-1,6.0,0.0,0.0
2016-02-15,NZDUSD,1,1.0,0.0,0.0
2016-02-16,AUDCHF,-1,2.9551944897444553,0.0,0.0
2016-02-16,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-02-16,AUDNZD,1,0.9850648299148184,0.0,0.0
2016-02-16,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-02-16,EURJPY,-1,2.9551944897444553,0.0,0.0
2016-02-16,GBPCAD,-1,5.910388979488911,0.0,0.0
2016-02-17,AUDCHF,-1,2.9551944897444553,0.0,0.0
2016-02-17,AUDJPY,-1,0.9850648299148184,0.0,0.0
2016-02-17,AUDNZD,1,0.9850648299148184,0.0,0.0
2016-02-17,CHFJPY,-1,2.9551944897444553,0.0,0.0
2016-02-17,EURJPY,-1,2.9551944897444553,0.0,0.0
