n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
111,62.464921296020506,9,10.504190645310263,8,11.295443221572222,17,21.799633866882484,0,0.0,92,38.073605427815494,aroon_signals,fx_sniper_ergodic_cci_signals,ttm_squeeze_volume_signals,fantail_vma,chop,9,0.3489900157493881,28.95411522124629,59.87323929469798,9.510075663447491,9,38.073605427815494,92,48.0,5.0,26.5,20
133,52.70379584675122,11,11.0205478364019,10,1.0000000000000255,21,12.020547836401924,0,0.0,104,34.46699390257613,qqe_mod_signals,lemantrend_signals,variance_volume_signals,frama_baseline,chop,50,0.22807745900038237,33.14240193257293,46.48754173897804,5.8515422449411405,50,34.46699390257613,104,53.0,2.0,27.5,21
128,59.32738978922398,9,12.857743764033735,5,3.980798498233839,13,14.409970833696159,0,0.0,114,45.19355436407712,donchian_breakout_signals,fx_sniper_ergodic_cci_signals,choppiness_index_volume_signals,super_smoother_2pole_baseline,chop,27,0.2428890076723641,21.850843563174735,57.174953769201856,9.576524468994274,27,45.19355436407712,114,34.0,23.0,28.5,22
325,104.53259015773448,32,9.420492441156192,18,9.188688700496812,50,18.609181141653004,0,0.0,261,74.3789105781361,dspo_signals,parabolic_sar_signals,variance_volume_signals,mcginley_dynamic_index,chop,22,0.1780227689141987,16.276920009399493,92.98809171978915,7.62270558407368,22,74.3789105781361,261,7.0,50.0,28.5,23
127,62.953842994201835,11,9.034582880519977,5,7.935129892508839,15,14.969712773028863,0,0.0,107,43.984130221172975,bears_bulls_impulse_signals,glitch_index_signals,volatility_ratio_volume_signals,frama_baseline,chop,23,0.23778870456578166,22.074407036613486,58.95384299420183,9.298813716933608,23,43.984130221172975,107,36.0,22.0,29.0,24
107,55.72290298932277,10,8.230307896069272,5,7.9324753942992565,13,10.362783290368538,0,0.0,90,41.0321394608132,j_tpo_signals,linreg_slope_signals,efficiency_ratio_volume_signals,fantail_vma,chop,39,0.18596991065512475,23.105418945106003,51.39492275118174,6.406421951651404,39,41.0321394608132,90,40.0,18.0,29.0,25
158,62.79447552171843,10,4.131899197262501,7,2.6335266645178437,16,7.765425861780347,0,0.0,133,51.73855308926808,dpo_signals,lemantrend_signals,fractal_dimension_volume_signals,sma_baseline,chop,30,0.12366415671541926,19.759969859660895,59.50397895104837,5.855813994779765,30,51.73855308926808,133,24.0,35.0,29.5,26
162,61.94280673311713,4,-0.9894109073513414,2,1.5944512918723937,6,0.605040384521052,0,0.0,144,55.12661770919536,lemantrend_signals,rex_oscillator_signals,damiani_volatmeter_volume_signals,lsma_baseline,chop,41,0.009767726333872646,18.340464472513652,55.7316580937164,6.949816444475049,41,55.12661770919536,144,19.0,41.0,30.0,27
379,97.95613281585123,36,10.292232393415572,17,2.755658048201071,53,13.047890441616643,0,0.0,309,80.27783589097758,waddah_attar_explosion_signals,center_of_gravity_signals,variance_volume_signals,wma_baseline,chop,42,0.1332013633709439,14.50478126273124,93.32572633259426,9.247801649456116,42,80.27783589097758,309,4.0,57.0,30.5,28
191,70.08362460090363,16,6.503765922146269,10,11.655268310683347,25,18.598352156860553,0,0.0,156,50.085272444043035,parabolic_sar_signals,bears_bulls_impulse_signals,variance_volume_signals,kama_baseline,chop,12,0.2653737197921803,19.78249455376594,68.6836246009036,8.585453075112966,12,50.085272444043035,156,27.0,34.0,30.5,29
