N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
25,138.0,range,0.19932313061458706,0.18589252894059957,0.013430601673987491,0.3304666795373572,18.0,0.9607150446238844,0.047967062433778004,-0.373212260118696,0.03656506290809092,0.3395481369977833
26,144.0,trending,0.20417429406590154,0.20630057350862402,-0.0021262794427224785,0.2854007935114638,27.0,0.9759744055126588,0.0074698268215300425,0.32668216000630523,-0.09743645635084712,-0.3851087330849238
26,144.0,drifting,0.04112023377790648,0.04204868060080225,-0.0009284468228957718,0.3837997261332116,16.0,0.9525312835998444,-0.037269916922726944,0.05548470473609301,0.058151898293463296,0.013574415159342683
26,144.0,range,0.1902792013463324,0.17919495182700862,0.011084249519323769,0.3307994803553246,18.0,0.9611423718016775,0.03293469269642569,-0.36024516713300336,0.027641864169316663,0.3402950813865838
27,150.0,trending,0.1949957887219228,0.19707085738088473,-0.002075068658961926,0.28443908959791747,28.0,0.9773022450367989,0.0007363258523216849,0.3151102176708798,-0.08687468489967247,-0.37726192646481715
27,150.0,drifting,0.03394791752694531,0.03889841789789054,-0.004950500370945229,0.3870176240897738,17.0,0.9541776525138649,-0.025112567981769324,0.05241278163957606,0.04541431736237372,0.012852003124062135
27,150.0,range,0.18474610187068133,0.1733924789060056,0.011353622964675736,0.3285432863123087,18.0,0.9615219836127028,0.02632658355379505,-0.3470930557298641,0.03131442467376769,0.3342503435252985
28,155.0,trending,0.1904580646910105,0.1895062326934607,0.0009518319975498069,0.2832886426983735,29.0,0.9777653213751868,0.007036232091234572,0.30699714548971185,-0.08287493225759678,-0.3649239489254989
28,155.0,drifting,0.03033468107532288,0.036566749581109434,-0.006232068505786555,0.3888173446706418,17.0,0.9548909713870799,-0.02841807513072968,0.0504500806310543,0.032804079255219665,0.009666489284287868
28,155.0,range,0.1820402326015173,0.1678094444005419,0.014230788200975397,0.3278940126309847,18.0,0.9619762654395737,0.024161121838766012,-0.3372382527332851,0.040979762778131666,0.3257817930558864
29,161.0,trending,0.18505245213117644,0.18470400637278767,0.00034844575838877123,0.2823496077493846,28.0,0.9777310792585391,0.007859537145433566,0.2961917833586634,-0.07709383367166511,-0.3590646543489437
29,161.0,drifting,0.028497186659462576,0.035419395046977324,-0.006922208387514749,0.39130319290230037,17.0,0.9556843129710522,-0.02416183240094257,0.054911236573541175,0.020053232587686542,0.014862445075680018
