date,open,high,low,close
2009-07-05,1.088000,1.095100,1.083700,1.084800
2009-07-06,1.084900,1.091300,1.080100,1.089000
2009-07-07,1.088900,1.094000,1.087700,1.090200
2009-07-08,1.090200,1.091400,1.074900,1.078200
2009-07-09,1.078200,1.092200,1.078100,1.086000
2009-07-12,1.083800,1.088800,1.081000,1.082000
2009-07-13,1.082200,1.093700,1.080500,1.088700
2009-07-14,1.088600,1.089100,1.072200,1.074700
2009-07-15,1.074500,1.079000,1.070100,1.073600
2009-07-16,1.073600,1.081200,1.073000,1.077600
2009-07-19,1.068100,1.069000,1.067900,1.069000
2009-07-20,1.066400,1.068000,1.066300,1.068000
2009-07-21,1.066600,1.067500,1.066200,1.066800
2009-07-22,1.073200,1.073800,1.073000,1.073600
2009-07-23,1.071700,1.071700,1.071700,1.071700
2009-07-26,1.070000,1.070900,1.069800,1.069900
2009-07-27,1.075600,1.077000,1.075400,1.076600
2009-07-28,1.088700,1.089900,1.087900,1.089600
2009-07-29,1.087400,1.087900,1.086500,1.086800
2009-07-30,1.068100,1.068100,1.068100,1.068100
2009-08-02,1.059400,1.059600,1.058600,1.059500
2009-08-03,1.060500,1.060500,1.058600,1.059100
2009-08-04,1.060900,1.061300,1.060500,1.061200
2009-08-05,1.064200,1.064600,1.063500,1.063600
2009-08-06,1.081300,1.081300,1.081300,1.081300
2009-08-09,1.085400,1.086000,1.085300,1.085500
2009-08-10,1.081500,1.081900,1.081100,1.081700
2009-08-11,1.076400,1.076400,1.075400,1.075600
2009-08-12,1.070400,1.070600,1.070000,1.070600
2009-08-13,1.071500,1.071500,1.071500,1.071500
2009-08-16,1.078100,1.078100,1.075900,1.076200
2009-08-17,1.075900,1.075900,1.072800,1.073300
2009-08-18,1.065600,1.065700,1.064000,1.064200
2009-08-19,1.062800,1.063100,1.062000,1.062600
2009-08-20,1.057900,1.057900,1.057900,1.057900
2009-08-23,1.062000,1.062300,1.061400,1.061800
2009-08-24,1.061000,1.062400,1.060800,1.062100
2009-08-25,1.067800,1.068700,1.067400,1.068700
2009-08-26,1.058400,1.058500,1.056300,1.057000
2009-08-27,1.059700,1.059700,1.059700,1.059700
2009-08-30,1.058600,1.058600,1.058000,1.058100
2009-08-31,1.065300,1.066700,1.065000,1.066100
2009-09-01,1.060400,1.060400,1.059700,1.060200
2009-09-02,1.062000,1.062300,1.061600,1.062000
2009-09-03,1.060200,1.060200,1.060200,1.060200
2009-09-06,1.059600,1.060100,1.059200,1.059900
2009-09-07,1.045900,1.045900,1.044900,1.045600
2009-09-08,1.041100,1.041700,1.040900,1.041500
2009-09-09,1.038400,1.038600,1.038000,1.038400
2009-09-10,1.036900,1.036900,1.036900,1.036900
2009-09-13,1.033800,1.034000,1.032200,1.032300
2009-09-14,1.034200,1.034500,1.033400,1.033700
2009-09-15,1.032000,1.032100,1.031200,1.032000
2009-09-16,1.028300,1.029100,1.027800,1.028800
2009-09-17,1.027800,1.027800,1.027800,1.027800
2009-09-20,1.031600,1.032000,1.031000,1.031800
2009-09-21,1.023400,1.023400,1.019600,1.022000
2009-09-22,1.028100,1.028600,1.026700,1.026800
2009-09-23,1.029800,1.031500,1.029100,1.029600
