date,open,high,low,close,suspect,suspect_spike,suspect_flat
2016-03-16,1.890490,1.890540,1.878500,1.890540,False,False,False
2016-03-17,1.869290,1.888070,1.851080,1.869560,False,False,False
2016-03-18,1.879600,1.883500,1.873700,1.879490,False,False,False
2016-03-21,1.886790,1.888510,1.875900,1.886800,False,False,False
2016-03-22,1.880810,1.881280,1.853370,1.880890,False,False,False
2016-03-23,1.855900,1.866410,1.850400,1.856100,False,False,False
2016-03-24,1.864050,1.878350,1.862400,1.864610,False,False,False
2016-03-25,1.871150,1.874280,1.866250,1.872120,False,False,False
2016-03-28,1.878770,1.884690,1.875700,1.878860,False,False,False
2016-03-29,1.879010,1.882130,1.865000,1.878930,False,False,False
2016-03-30,1.864870,1.868080,1.847770,1.864940,False,False,False
2016-03-31,1.866180,1.872130,1.851030,1.865800,False,False,False
2016-04-01,1.854430,1.868000,1.853100,1.854000,False,False,False
2016-04-04,1.864870,1.873110,1.860490,1.865010,False,False,False
2016-04-05,1.860100,1.860680,1.843000,1.860110,False,False,False
2016-04-06,1.848430,1.857190,1.837700,1.848910,False,False,False
2016-04-07,1.846650,1.849330,1.828400,1.846900,False,False,False
2016-04-08,1.833780,1.849620,1.833300,1.833680,False,False,False
2016-04-11,1.837190,1.844350,1.822000,1.837210,False,False,False
2016-04-12,1.821640,1.824510,1.812300,1.821140,False,False,False
2016-04-13,1.818450,1.821470,1.811180,1.818500,False,False,False
2016-04-14,1.816090,1.829000,1.811800,1.815730,False,False,False
2016-04-15,1.840000,1.840250,1.825800,1.839500,False,False,False
2016-04-18,1.824200,1.831570,1.818990,1.824680,False,False,False
2016-04-19,1.826330,1.828310,1.811000,1.826700,False,False,False
2016-04-20,1.812870,1.827600,1.810500,1.812930,False,False,False
2016-04-21,1.822620,1.832200,1.819150,1.822250,False,False,False
2016-04-22,1.829950,1.840090,1.827860,1.829970,False,False,False
2016-04-25,1.836400,1.850190,1.835100,1.836100,False,False,False
2016-04-26,1.837840,1.842450,1.833020,1.837570,False,False,False
2016-04-27,1.829440,1.834090,1.826510,1.829500,False,False,False
2016-04-28,1.833480,1.837230,1.823730,1.833710,False,False,False
2016-04-29,1.831390,1.840680,1.830750,1.831620,False,False,False
2016-05-02,1.837280,1.846710,1.835000,1.837000,False,False,False
2016-05-03,1.847630,1.865310,1.843640,1.847570,False,False,False
2016-05-04,1.865650,1.865990,1.855260,1.865570,False,False,False
2016-05-05,1.862530,1.871720,1.859570,1.862550,False,False,False
2016-05-06,1.865390,1.872380,1.860680,1.865360,False,False,False
2016-05-09,1.867700,1.874310,1.865680,1.867470,False,False,False
2016-05-10,1.866300,1.868990,1.855700,1.866320,False,False,False
2016-05-11,1.856510,1.860470,1.848620,1.856660,False,False,False
2016-05-12,1.854840,1.859520,1.851020,1.854910,False,False,False
2016-05-13,1.859260,1.860590,1.851720,1.858560,False,False,False
2016-05-16,1.863210,1.874230,1.860610,1.863170,False,False,False
2016-05-17,1.865880,1.893630,1.865390,1.866060,False,False,False
2016-05-18,1.901420,1.920230,1.900450,1.900810,False,False,False
2016-05-19,1.910480,1.912940,1.904090,1.910580,False,False,False
2016-05-20,1.901550,1.909430,1.899870,1.901710,False,False,False
2016-05-23,1.903620,1.923230,1.903200,1.903570,False,False,False
2016-05-24,1.918300,1.929860,1.912230,1.917770,False,False,False
2016-05-25,1.915430,1.916050,1.898840,1.915540,False,False,False
2016-05-26,1.902860,1.912740,1.902190,1.902650,False,False,False
2016-05-27,1.907910,1.914280,1.903870,1.907900,False,False,False
2016-05-30,1.908430,1.916720,1.901540,1.908020,False,False,False
2016-05-31,1.893240,1.896190,1.882190,1.893610,False,False,False
2016-06-01,1.884930,1.897980,1.883750,1.885100,False,False,False
2016-06-02,1.886690,1.889460,1.879630,1.886470,False,False,False
2016-06-03,1.864470,1.872260,1.855280,1.863900,False,False,False
2016-06-06,1.852530,1.872880,1.852250,1.852590,False,False,False
2016-06-07,1.855410,1.855520,1.843450,1.855060,False,False,False
2016-06-08,1.841100,1.848650,1.835090,1.841280,False,False,False
2016-06-09,1.841590,1.842520,1.820790,1.840820,False,False,False
2016-06-10,1.813110,1.828720,1.803390,1.813550,False,False,False
2016-06-13,1.822470,1.823680,1.811800,1.822100,False,False,False
2016-06-14,1.815870,1.833230,1.814890,1.816110,False,False,False
2016-06-15,1.832380,1.841560,1.830200,1.832490,False,False,False
2016-06-16,1.844650,1.848950,1.834280,1.846050,False,False,False
2016-06-17,1.874180,1.882520,1.867950,1.873580,False,False,False
2016-06-20,1.877630,1.887300,1.873120,1.877820,False,False,False
2016-06-21,1.878000,1.886620,1.871650,1.877590,False,False,False
2016-06-22,1.894840,1.898120,1.882090,1.894420,False,False,False
2016-06-23,1.865120,1.878060,1.724930,1.866880,False,False,False
2016-06-24,1.749530,1.753940,1.714560,1.750830,False,False,False
2016-06-27,1.728520,1.747540,1.724920,1.728720,False,False,False
2016-06-28,1.738390,1.758800,1.731860,1.737940,False,False,False
2016-06-29,1.740200,1.747220,1.719540,1.741170,False,False,False
2016-06-30,1.727920,1.731430,1.709950,1.726720,False,False,False
2016-07-01,1.715040,1.715490,1.704610,1.715010,False,False,False
2016-07-04,1.708790,1.709480,1.685520,1.708200,False,False,False
2016-07-05,1.686360,1.691260,1.671060,1.684650,False,False,False
2016-07-06,1.674250,1.687490,1.670420,1.674610,False,False,False
2016-07-07,1.678050,1.696870,1.678020,1.678510,False,False,False
2016-07-08,1.688660,1.706680,1.683300,1.688660,False,False,False
2016-07-11,1.703560,1.725450,1.702890,1.703540,False,False,False
2016-07-12,1.732580,1.740820,1.708430,1.733740,False,False,False
2016-07-13,1.702170,1.740210,1.699850,1.701830,False,False,False
2016-07-14,1.723780,1.736930,1.709640,1.723620,False,False,False
2016-07-15,1.714160,1.728770,1.710720,1.713870,False,False,False
2016-07-18,1.719020,1.720210,1.708910,1.718950,False,False,False
2016-07-19,1.707140,1.724310,1.703130,1.707170,False,False,False
2016-07-20,1.730720,1.732360,1.716690,1.732360,False,False,False
2016-07-21,1.730050,1.744330,1.710330,1.730700,False,False,False
2016-07-22,1.723730,1.737370,1.722340,1.724240,False,False,False
2016-07-25,1.732740,1.739090,1.726110,1.732730,False,False,False
2016-07-26,1.732170,1.734500,1.724940,1.732490,False,False,False
2016-07-27,1.738410,1.739480,1.728550,1.738580,False,False,False
2016-07-28,1.731160,1.738990,1.726260,1.730550,False,False,False
2016-07-29,1.726020,1.730520,1.720420,1.725430,False,False,False
2016-08-01,1.730350,1.746220,1.727710,1.729690,False,False,False
2016-08-02,1.747770,1.754330,1.740010,1.747600,False,False,False
2016-08-03,1.741930,1.745120,1.710440,1.741480,False,False,False
2016-08-04,1.708440,1.724180,1.708040,1.708620,False,False,False
2016-08-05,1.723390,1.725030,1.714030,1.724620,False,False,False
2016-08-08,1.714400,1.714400,1.702030,1.714280,False,False,False
2016-08-09,1.706570,1.710380,1.696670,1.705750,False,False,False
2016-08-10,1.699910,1.700710,1.685500,1.699620,False,False,False
