date,open,high,low,close,suspect,suspect_spike,suspect_flat
2022-09-13,1.916620,1.930080,1.913600,1.915890,False,False,False
2022-09-14,1.918160,1.922490,1.914200,1.918500,False,False,False
2022-09-15,1.922220,1.923930,1.908200,1.922250,False,False,False
2022-09-16,1.906920,1.921150,1.906200,1.906710,False,False,False
2022-09-19,1.918560,1.937440,1.916800,1.917630,False,False,False
2022-09-20,1.927960,1.932090,1.922900,1.928120,False,False,False
2022-09-21,1.930490,1.938010,1.926300,1.930680,False,False,False
2022-09-22,1.925790,1.931140,1.890230,1.925910,False,False,False
2022-09-23,1.880490,1.903230,1.816000,1.880000,False,False,False
2022-09-26,1.900320,1.906640,1.886760,1.900960,False,False,False
2022-09-27,1.904930,1.923830,1.878780,1.904480,False,False,False
2022-09-28,1.894550,1.942500,1.893020,1.894500,False,False,False
2022-09-29,1.943790,1.973690,1.938230,1.944500,False,False,False
2022-09-30,1.981040,1.991090,1.969800,1.981700,False,False,False
2022-10-03,1.981720,1.998660,1.975100,1.981360,False,False,False
2022-10-04,1.996180,2.002200,1.974020,1.995680,False,False,False
2022-10-05,1.965310,1.980210,1.955420,1.965650,False,False,False
2022-10-06,1.971220,1.984040,1.965600,1.971520,False,False,False
2022-10-07,1.974380,1.989570,1.972200,1.974550,False,False,False
2022-10-10,1.987960,1.991780,1.973720,1.987420,False,False,False
2022-10-11,1.963910,1.981040,1.957700,1.963540,False,False,False
2022-10-12,1.978660,2.026330,1.973120,1.978790,False,False,False
2022-10-13,2.005250,2.016620,1.986970,2.004260,False,False,False
2022-10-14,2.015480,2.031290,2.009500,2.016210,False,False,False
2022-10-17,2.006750,2.008380,1.981800,2.006820,False,False,False
2022-10-18,1.991460,1.991920,1.976240,1.991660,False,False,False
2022-10-19,1.978740,1.990560,1.964600,1.979300,False,False,False
2022-10-20,1.979460,1.980740,1.956550,1.979130,False,False,False
2022-10-21,1.968310,1.996550,1.966110,1.967940,False,False,False
2022-10-24,1.981820,1.997000,1.973200,1.981840,False,False,False
2022-10-25,1.995850,1.998270,1.985930,1.995580,False,False,False
2022-10-26,1.992100,1.997910,1.977070,1.992600,False,False,False
2022-10-27,1.984520,2.000310,1.972350,1.984320,False,False,False
2022-10-31,1.997350,2.000120,1.980620,1.998410,False,False,False
2022-11-01,1.968860,1.971700,1.957220,1.968550,False,False,False
2022-11-02,1.964310,1.968830,1.950300,1.964470,False,False,False
2022-11-03,1.958460,1.961410,1.933960,1.958060,False,False,False
