date,open,high,low,close,suspect,suspect_spike,suspect_flat
2009-10-30,0.953300,0.957500,0.944300,0.945400,False,False,False
2009-11-02,0.947000,0.949900,0.943800,0.948000,False,False,False
2009-11-03,0.947600,0.964000,0.946400,0.961000,False,False,False
2009-11-04,0.961200,0.965700,0.953900,0.955100,False,False,False
2009-11-05,0.955300,0.957500,0.952100,0.953300,False,False,False
2009-11-06,0.953600,0.956200,0.944100,0.946500,False,False,False
2009-11-09,0.946200,0.955800,0.945600,0.954200,False,False,False
2009-11-10,0.954000,0.960700,0.951100,0.958900,False,False,False
2009-11-11,0.958700,0.965000,0.958500,0.964400,False,False,False
2009-11-12,0.964500,0.967800,0.960500,0.963300,False,False,False
2009-11-13,0.963200,0.967000,0.961300,0.962400,False,False,False
2009-11-16,0.960800,0.965900,0.959200,0.961200,False,False,False
2009-11-17,0.961400,0.967200,0.956400,0.965800,False,False,False
2009-11-18,0.965700,0.966300,0.955400,0.956800,False,False,False
2009-11-19,0.956700,0.960400,0.951100,0.953100,False,False,False
2009-11-20,0.953500,0.953600,0.949000,0.949100,False,False,False
2009-11-23,0.951200,0.956600,0.949100,0.955400,False,False,False
2009-11-24,0.955400,0.955400,0.951600,0.952900,False,False,False
2009-11-25,0.953000,0.957300,0.951300,0.952500,False,False,False
2009-11-26,0.952200,0.953200,0.944200,0.946300,False,False,False
2009-11-27,0.946300,0.949400,0.940700,0.945800,False,False,False
2009-11-30,0.948200,0.952600,0.946100,0.951400,False,False,False
2009-12-01,0.951400,0.958700,0.950200,0.954100,False,False,False
2009-12-02,0.953900,0.956700,0.952100,0.952800,False,False,False
2009-12-03,0.952600,0.953300,0.944600,0.946500,False,False,False
2009-12-04,0.946300,0.966000,0.945300,0.960300,False,False,False
2009-12-07,0.960700,0.970700,0.960400,0.970000,False,False,False
2009-12-08,0.969700,0.970400,0.963000,0.964800,False,False,False
2009-12-09,0.964600,0.974900,0.962500,0.972300,False,False,False
2009-12-10,0.972500,0.977900,0.971000,0.975500,False,False,False
2009-12-11,0.975500,0.982300,0.973200,0.975400,False,False,False
2009-12-14,0.976100,0.976700,0.968700,0.973500,False,False,False
2009-12-15,0.973000,0.981700,0.972900,0.980100,False,False,False
2009-12-16,0.980200,0.982000,0.976800,0.977700,False,False,False
2009-12-17,0.977600,0.981200,0.975600,0.977200,False,False,False
2009-12-18,0.977000,0.980600,0.972000,0.977100,False,False,False
2009-12-21,0.974400,0.988700,0.973400,0.984300,False,False,False
2009-12-22,0.984100,0.993800,0.982700,0.991500,False,False,False
2009-12-23,0.991200,0.995000,0.986900,0.990300,False,False,False
2009-12-24,0.990700,0.991000,0.985000,0.985400,False,False,False
2009-12-25,0.986800,0.988700,0.982100,0.984000,False,False,False
2009-12-28,0.988300,0.993000,0.985000,0.992200,False,False,False
2009-12-29,0.992300,0.996000,0.987700,0.993300,False,False,False
2009-12-30,0.993000,0.993300,0.981100,0.981800,False,False,False
2009-12-31,0.982100,0.989800,0.978400,0.982700,False,False,False
2010-01-01,0.977700,0.977700,0.977700,0.977700,True,False,True
2010-01-04,0.988800,0.996200,0.986700,0.987900,False,False,False
2010-01-05,0.987900,0.995700,0.987400,0.993400,False,False,False
