Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
63,Entry long,2011-03-09,1.607557673,1.62,122769,198885.78,-1528.47,-0.77,0,135.05,0.07,-1528.47,-0.77,51225.29,5.12,1
64,Exit long,2011-03-10,Exit Long 2,1.6061,122769,198885.78,-1706.49,-0.86,0,135.05,0.07,-2001.13,-1.01,49518.8,4.95,1
64,Entry long,2011-03-09,1.607557673,1.62,122769,198885.78,-1706.49,-0.86,0,135.05,0.07,-2001.13,-1.01,49518.8,4.95,1
65,Exit long,2011-03-24,BL Exit Long 1,1.6124,103864,168592.0448,-1121.73,-0.67,0,1744.92,1.03,-1474.87,-0.87,48397.07,4.84,4
65,Entry long,2011-03-18,1.6088044468,1.6232,103864,168592.0448,-1121.73,-0.67,0,1744.92,1.03,-1474.87,-0.87,48397.07,4.84,4
66,Exit long,2011-03-24,BL Exit Long 2,1.6124,103864,168592.0448,-1121.73,-0.67,0,1744.92,1.03,-1474.87,-0.87,47275.34,4.73,4
66,Entry long,2011-03-18,1.6088044468,1.6232,103864,168592.0448,-1121.73,-0.67,0,1744.92,1.03,-1474.87,-0.87,47275.34,4.73,4
67,Exit short,2012-01-03,SL/TP 1,1.55822,111038,171548.1581,-1473.47,-0.86,0,982.69,0.57,-1473.47,-0.86,45801.87,4.58,4
67,Entry short,2011-12-28,1.5582134869,1.54495,111038,171548.1581,-1473.47,-0.86,0,982.69,0.57,-1473.47,-0.86,45801.87,4.58,4
68,Exit short,2012-01-03,BL Exit Short 2,1.5644,111038,171548.1581,-2159.69,-1.26,0,982.69,0.57,-2431.73,-1.42,43642.18,4.36,4
68,Entry short,2011-12-28,1.5582134869,1.54495,111038,171548.1581,-2159.69,-1.26,0,982.69,0.57,-2431.73,-1.42,43642.18,4.36,4
69,Exit short,2012-01-12,SL/TP 1,1.52967,109242,169259.5548,2155.34,1.27,0,2155.34,1.27,-332.1,-0.20,45797.52,4.58,5
69,Entry short,2012-01-05,1.5625489481,1.5494,109242,169259.5548,2155.34,1.27,0,2155.34,1.27,-332.1,-0.20,45797.52,4.58,5
70,Exit short,2012-01-19,Exit Short 2,1.54874,109242,169259.5548,72.1,0.04,0,2841.38,1.68,-332.1,-0.20,45869.62,4.59,10
70,Entry short,2012-01-05,1.5625489481,1.5494,109242,169259.5548,72.1,0.04,0,2841.38,1.68,-332.1,-0.20,45869.62,4.59,10
71,Exit short,2012-06-29,SL/TP 1,1.56278,128775,199787.9738,-1459.02,-0.73,0,82.42,0.04,-1459.02,-0.73,44410.6,4.44,1
71,Entry short,2012-06-28,1.562777419,1.55145,128775,199787.9738,-1459.02,-0.73,0,82.42,0.04,-1459.02,-0.73,44410.6,4.44,1
72,Exit short,2012-06-29,BL Exit Short 2,1.56599,128775,199787.9738,-1872.39,-0.94,0,82.42,0.04,-2460.89,-1.23,42538.21,4.25,1
72,Entry short,2012-06-28,1.562777419,1.55145,128775,199787.9738,-1872.39,-0.94,0,82.42,0.04,-2460.89,-1.23,42538.21,4.25,1
73,Exit short,2012-07-26,SL/TP 1,1.56131,127456,197572.0947,-1426.23,-0.72,0,562.08,0.28,-1426.23,-0.72,41111.98,4.11,3
73,Entry short,2012-07-23,1.5613032927,1.55012,127456,197572.0947,-1426.23,-0.72,0,562.08,0.28,-1426.23,-0.72,41111.98,4.11,3
74,Exit short,2012-07-26,Exit Short 2,1.56841,127456,197572.0947,-2331.17,-1.18,0,562.08,0.28,-2818.05,-1.43,38780.81,3.88,3
74,Entry short,2012-07-23,1.5613032927,1.55012,127456,197572.0947,-2331.17,-1.18,0,562.08,0.28,-2818.05,-1.43,38780.81,3.88,3
75,Exit long,2012-10-18,SL/TP 1,1.60587,172084,277733.251,-1388.72,-0.50,0,519.69,0.19,-1388.72,-0.50,37392.09,3.74,1
75,Entry long,2012-10-17,1.605875282,1.61394,172084,277733.251,-1388.72,-0.50,0,519.69,0.19,-1388.72,-0.50,37392.09,3.74,1
76,Exit long,2012-10-18,BL Exit Long 2,1.60465,172084,277733.251,-1598.66,-0.58,0,519.69,0.19,-1719.12,-0.62,35793.43,3.58,1
