Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
85,Exit short,2016-09-13,BL Exit Short 1,102.548,901,91829.92,-5.51,-0.62,0,4.39,0.49,-7.25,-0.81,21.54,0.00,1
85,Entry short,2016-09-12,103.0301908772,101.92,901,91829.92,-5.51,-0.62,0,4.39,0.49,-7.25,-0.81,21.54,0.00,1
86,Exit short,2016-09-13,BL Exit Short 2,102.548,901,91829.92,-5.51,-0.62,0,4.39,0.49,-7.25,-0.81,16.03,0.00,1
86,Entry short,2016-09-12,103.0301908772,101.92,901,91829.92,-5.51,-0.62,0,4.39,0.49,-7.25,-0.81,16.03,0.00,1
87,Exit short,2016-09-21,SL/TP 1,100.386,906,92450.052,14.73,1.62,0,14.73,1.62,-6.62,-0.73,30.76,0.00,4
87,Entry short,2016-09-15,103.1455792118,102.042,906,92450.052,14.73,1.62,0,14.73,1.62,-6.62,-0.73,30.76,0.00,4
88,Exit short,2016-10-03,Exit Short 2,101.627,906,92450.052,3.72,0.41,0,17.55,1.92,-6.62,-0.73,34.48,0.00,12
88,Entry short,2016-09-15,103.1455792118,102.042,906,92450.052,3.72,0.41,0,17.55,1.92,-6.62,-0.73,34.48,0.00,12
89,Exit long,2016-11-09,SL/TP 1,104.164,1067,112143.834,-9.51,-0.89,0,7.91,0.74,-9.51,-0.89,24.97,0.00,1
89,Entry long,2016-11-08,104.1646742407,105.102,1067,112143.834,-9.51,-0.89,0,7.91,0.74,-9.51,-0.89,24.97,0.00,1
90,Exit long,2016-12-29,Exit Long 2,116.526,1067,112143.834,103.93,10.87,0,123.54,12.90,-39.79,-3.73,128.89,0.01,36
90,Entry long,2016-11-08,104.1646742407,105.102,1067,112143.834,103.93,10.87,0,123.54,12.90,-39.79,-3.73,128.89,0.01,36
91,Exit short,2017-09-12,SL/TP 1,109.53,1081,117399.843,-9.29,-0.85,0,12.69,1.18,-9.29,-0.85,119.6,0.01,5
91,Entry short,2017-09-05,109.5290574904,108.603,1081,117399.843,-9.29,-0.85,0,12.69,1.18,-9.29,-0.85,119.6,0.01,5
92,Exit short,2017-09-12,Exit Short 2,110.229,1081,117399.843,-16.3,-1.50,0,12.69,1.18,-16.95,-1.56,103.31,0.01,5
92,Entry short,2017-09-05,109.5290574904,108.603,1081,117399.843,-16.3,-1.50,0,12.69,1.18,-16.95,-1.56,103.31,0.01,5
93,Exit long,2018-01-09,SL/TP 1,112.582,1879,212543.085,-8.85,-0.47,0,4.49,0.24,-8.85,-0.47,94.45,0.01,2
93,Entry long,2018-01-05,112.5822391392,113.115,1879,212543.085,-8.85,-0.47,0,4.49,0.24,-8.85,-0.47,94.45,0.01,2
94,Exit long,2018-01-09,BL Exit Long 2,112.775,1879,212543.085,-5.65,-0.30,0,4.49,0.24,-12.47,-0.66,88.81,0.01,2
94,Entry long,2018-01-05,112.5822391392,113.115,1879,212543.085,-5.65,-0.30,0,4.49,0.24,-12.47,-0.66,88.81,0.01,2
95,Exit short,2018-03-09,BL Exit Short 1,106.822,1089,115619.13,-6.68,-0.61,0,9.45,0.87,-9,-0.83,82.12,0.01,6
95,Entry short,2018-03-01,107.0887241189,106.17,1089,115619.13,-6.68,-0.61,0,9.45,0.87,-9,-0.83,82.12,0.01,6
96,Exit short,2018-03-09,BL Exit Short 2,106.822,1089,115619.13,-6.68,-0.61,0,9.45,0.87,-9,-0.83,75.44,0.01,6
96,Entry short,2018-03-01,107.0887241189,106.17,1089,115619.13,-6.68,-0.61,0,9.45,0.87,-9,-0.83,75.44,0.01,6
97,Exit short,2018-03-22,SL/TP 1,104.73,1241,131471.54,14.09,1.14,0,14.09,1.14,-0.33,-0.03,89.53,0.01,1
97,Entry short,2018-03-21,106.7465220013,105.94,1241,131471.54,14.09,1.14,0,14.09,1.14,-0.33,-0.03,89.53,0.01,1
98,Exit short,2018-03-28,Exit Short 2,106.804,1241,131471.54,-10.17,-0.82,0,15.43,1.24,-12.59,-1.01,79.37,0.01,5
98,Entry short,2018-03-21,106.7465220013,105.94,1241,131471.54,-10.17,-0.82,0,15.43,1.24,-12.59,-1.01,79.37,0.01,5
99,Exit long,2018-06-05,BL Exit Long 1,109.884,1385,152301.525,-1.02,-0.07,0,0.48,0.03,-6.25,-0.45,78.34,0.01,1
99,Entry long,2018-06-04,109.2424982596,109.965,1385,152301.525,-1.02,-0.07,0,0.48,0.03,-6.25,-0.45,78.34,0.01,1
100,Exit long,2018-06-05,BL Exit Long 2,109.884,1385,152301.525,-1.02,-0.07,0,0.48,0.03,-6.25,-0.45,77.32,0.01,1
100,Entry long,2018-06-04,109.2424982596,109.965,1385,152301.525,-1.02,-0.07,0,0.48,0.03,-6.25,-0.45,77.32,0.01,1
101,Exit long,2018-06-07,BL Exit Long 1,109.716,1446,159253.764,-5.5,-0.38,0,1.12,0.08,-8.69,-0.60,71.81,0.01,1
