Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
24,Entry short,2004-04-02,1.2296679262,1.2137,57788,70137.2956,884.16,1.26,0,2161.27,3.08,-485.42,-0.69,-5454.83,-0.55,20
25,Exit short,2004-05-19,Exit Short 1,1.2019,71338,85284.579,-456.56,-0.54,0,114.14,0.13,-642.04,-0.75,-5911.39,-0.59,1
25,Entry short,2004-05-18,1.2087530777,1.1955,71338,85284.579,-456.56,-0.54,0,114.14,0.13,-642.04,-0.75,-5911.39,-0.59,1
26,Exit short,2004-05-19,Exit Short 2,1.2019,71338,85284.579,-456.56,-0.54,0,114.14,0.13,-642.04,-0.75,-6367.96,-0.64,1
26,Entry short,2004-05-18,1.2087530777,1.1955,71338,85284.579,-456.56,-0.54,0,114.14,0.13,-642.04,-0.75,-6367.96,-0.64,1
27,Exit short,2005-05-12,SL/TP 1,1.27664,88017,113770.7742,1404.75,1.23,0,1404.75,1.23,-580.91,-0.51,-4963.21,-0.50,11
27,Entry short,2005-04-27,1.3032379635,1.2926,88017,113770.7742,1404.75,1.23,0,1404.75,1.23,-580.91,-0.51,-4963.21,-0.50,11
28,Exit short,2005-06-17,Exit Short 2,1.2281,88017,113770.7742,5677.1,4.99,0,7991.94,7.02,-580.91,-0.51,713.89,0.07,37
28,Entry short,2005-04-27,1.3032379635,1.2926,88017,113770.7742,5677.1,4.99,0,7991.94,7.02,-580.91,-0.51,713.89,0.07,37
29,Exit long,2006-01-06,SL/TP 1,1.21799,92197,110783.9152,1511.11,1.36,0,1511.11,1.36,0,0.00,2225,0.22,3
29,Entry long,2006-01-03,1.190676239,1.2016,92197,110783.9152,1511.11,1.36,0,1511.11,1.36,0,0.00,2225,0.22,3
30,Exit long,2006-01-27,Exit Long 2,1.2103,92197,110783.9152,802.11,0.72,0,2858.11,2.58,-64.54,-0.06,3027.11,0.30,18
30,Entry long,2006-01-03,1.190676239,1.2016,92197,110783.9152,802.11,0.72,0,2858.11,2.58,-64.54,-0.06,3027.11,0.30,18
31,Exit long,2006-09-06,SL/TP 1,1.27792,122995,158208.4685,-1030.7,-0.65,0,36.9,0.02,-1030.7,-0.65,1996.41,0.20,2
31,Entry long,2006-09-04,1.277923467,1.2863,122995,158208.4685,-1030.7,-0.65,0,36.9,0.02,-1030.7,-0.65,1996.41,0.20,2
32,Exit long,2006-09-06,BL Exit Long 2,1.2807,122995,158208.4685,-688.77,-0.44,0,36.9,0.02,-1106.95,-0.70,1307.64,0.13,2
32,Entry long,2006-09-04,1.277923467,1.2863,122995,158208.4685,-688.77,-0.44,0,36.9,0.02,-1106.95,-0.70,1307.64,0.13,2
33,Exit short,2008-06-20,SL/TP 1,1.56178,63819,98657.7921,-1013.45,-1.03,0,982.81,1.00,-1013.45,-1.03,294.2,0.03,8
33,Entry short,2008-06-10,1.5617740723,1.5459,63819,98657.7921,-1013.45,-1.03,0,982.81,1.00,-1013.45,-1.03,294.2,0.03,8
34,Exit short,2008-06-20,Exit Short 2,1.5628,63819,98657.7921,-1078.54,-1.09,0,982.81,1.00,-1238.09,-1.25,-784.34,-0.08,8
34,Entry short,2008-06-10,1.5617740723,1.5459,63819,98657.7921,-1078.54,-1.09,0,982.81,1.00,-1238.09,-1.25,-784.34,-0.08,8
35,Exit short,2008-12-02,BL Exit Short 1,1.2725,38212,48212.0804,-412.69,-0.86,0,202.52,0.42,-577,-1.20,-1197.03,-0.12,1
35,Entry short,2008-12-01,1.2876645311,1.2617,38212,48212.0804,-412.69,-0.86,0,202.52,0.42,-577,-1.20,-1197.03,-0.12,1
36,Exit short,2008-12-02,BL Exit Short 2,1.2725,38212,48212.0804,-412.69,-0.86,0,202.52,0.42,-577,-1.20,-1609.72,-0.16,1
36,Entry short,2008-12-01,1.2876645311,1.2617,38212,48212.0804,-412.69,-0.86,0,202.52,0.42,-577,-1.20,-1609.72,-0.16,1
37,Exit short,2009-03-10,SL/TP 1,1.2769,46865,58857.7535,-984.16,-1.67,0,473.34,0.80,-984.16,-1.67,-2593.89,-0.26,6
37,Entry short,2009-03-02,1.2768943292,1.2559,46865,58857.7535,-984.16,-1.67,0,473.34,0.80,-984.16,-1.67,-2593.89,-0.26,6
38,Exit short,2009-03-10,BL Exit Short 2,1.2707,46865,58857.7535,-693.6,-1.18,0,473.34,0.80,-1241.92,-2.11,-3287.49,-0.33,6
