Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
37,Entry short,2008-02-19,1.9637831321,1.9484,65006.5,126658.6646,-1000.45,-0.79,0,790.48,0.62,-1000.45,-0.79,18323.57,1.83,2
38,Exit short,2008-02-21,Exit Short 2,1.96277,65006.5,126658.6646,-934.14,-0.74,0,790.48,0.62,-1032.95,-0.82,17389.43,1.74,2
38,Entry short,2008-02-19,1.9637831321,1.9484,65006.5,126658.6646,-934.14,-0.74,0,790.48,0.62,-1032.95,-0.82,17389.43,1.74,2
39,Exit short,2008-04-30,SL/TP 1,1.98886,52462,103339.123,-1000.45,-0.97,0,391.89,0.38,-1000.45,-0.97,16388.98,1.64,1
39,Entry short,2008-04-29,1.9888514824,1.96979,52462,103339.123,-1000.45,-0.97,0,391.89,0.38,-1000.45,-0.97,16388.98,1.64,1
40,Exit short,2008-04-30,BL Exit Short 2,1.9869,52462,103339.123,-897.62,-0.87,0,391.89,0.38,-1033.5,-1.00,15491.35,1.55,1
40,Entry short,2008-04-29,1.9888514824,1.96979,52462,103339.123,-897.62,-0.87,0,391.89,0.38,-1033.5,-1.00,15491.35,1.55,1
41,Exit short,2008-05-12,SL/TP 1,1.94535,50898.5,100515.8848,1500.49,1.49,0,1500.49,1.49,-760.93,-0.76,16991.84,1.70,7
41,Entry short,2008-05-01,1.994477018,1.97483,50898.5,100515.8848,1500.49,1.49,0,1500.49,1.49,-760.93,-0.76,16991.84,1.70,7
42,Exit short,2008-05-20,Exit Short 2,1.96847,50898.5,100515.8848,323.71,0.32,0,1955.52,1.95,-760.93,-0.76,17315.56,1.73,13
42,Entry short,2008-05-01,1.994477018,1.97483,50898.5,100515.8848,323.71,0.32,0,1955.52,1.95,-760.93,-0.76,17315.56,1.73,13
43,Exit short,2008-10-06,SL/TP 1,1.73925,36364,64746.102,1500.02,2.32,0,1500.02,2.32,-252.73,-0.39,18815.57,1.88,4
43,Entry short,2008-09-30,1.80799991,1.7805,36364,64746.102,1500.02,2.32,0,1500.02,2.32,-252.73,-0.39,18815.57,1.88,4
44,Exit short,2008-11-24,Exit Short 2,1.51833,36364,64746.102,9533.55,14.72,0,11805.57,18.23,-252.73,-0.39,28349.12,2.83,39
44,Entry short,2008-09-30,1.80799991,1.7805,36364,64746.102,9533.55,14.72,0,11805.57,18.23,-252.73,-0.39,28349.12,2.83,39
45,Exit short,2009-01-06,Exit Short 1,1.49169,26333,39028.40263,-252.27,-0.65,0,1231.86,3.16,-453.45,-1.16,28096.85,2.81,11
45,Entry short,2008-12-22,1.5200848885,1.48211,26333,39028.40263,-252.27,-0.65,0,1231.86,3.16,-453.45,-1.16,28096.85,2.81,11
46,Exit short,2009-01-06,Exit Short 2,1.49169,26333,39028.40263,-252.27,-0.65,0,1231.86,3.16,-453.45,-1.16,27844.58,2.78,11
46,Entry short,2008-12-22,1.5200848885,1.48211,26333,39028.40263,-252.27,-0.65,0,1231.86,3.16,-453.45,-1.16,27844.58,2.78,11
47,Exit long,2009-07-17,BL Exit Long 1,1.63351,46310.5,76060.3652,-411.7,-0.54,0,257.49,0.34,-734.02,-0.97,27432.88,2.74,2
