Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
103,Exit long,2021-07-27,SL/TP 1,109.977,1745.5,192965.025,-9.05,-0.52,0,0.55,0.03,-9.05,-0.52,108.92,0.01,2
103,Entry long,2021-07-23,109.977044674,110.55,1745.5,192965.025,-9.05,-0.52,0,0.55,0.03,-9.05,-0.52,108.92,0.01,2
104,Exit long,2021-07-27,BL Exit Long 2,109.792,1745.5,192965.025,-11.97,-0.69,0,0.55,0.03,-15.25,-0.87,96.96,0.01,2
104,Entry long,2021-07-23,109.977044674,110.55,1745.5,192965.025,-11.97,-0.69,0,0.55,0.03,-15.25,-0.87,96.96,0.01,2
105,Exit short,2021-09-22,SL/TP 1,109.897,1986,217254.498,-9.15,-0.46,0,4.95,0.25,-9.15,-0.46,87.81,0.01,2
105,Entry short,2021-09-20,109.8964886714,109.393,1986,217254.498,-9.15,-0.46,0,4.95,0.25,-9.15,-0.46,87.81,0.01,2
106,Exit short,2021-09-23,Exit Short 2,110.329,1986,217254.498,-17.02,-0.86,0,4.95,0.25,-17.4,-0.87,70.79,0.01,3
106,Entry short,2021-09-20,109.8964886714,109.393,1986,217254.498,-17.02,-0.86,0,4.95,0.25,-17.4,-0.87,70.79,0.01,3
107,Exit long,2022-03-11,SL/TP 1,116.333,1469.5,169450.984,12.92,0.89,0,12.92,0.89,-0.48,-0.03,83.71,0.01,4
107,Entry long,2022-03-07,114.6314608314,115.312,1469.5,169450.984,12.92,0.89,0,12.92,0.89,-0.48,-0.03,83.71,0.01,4
108,Exit long,2022-05-12,Exit Long 2,128.322,1469.5,169450.984,146.54,11.28,0,184.13,13.91,-0.48,-0.03,230.25,0.02,48
108,Entry long,2022-03-07,114.6314608314,115.312,1469.5,169450.984,146.54,11.28,0,184.13,13.91,-0.48,-0.03,230.25,0.02,48
109,Exit long,2022-06-03,SL/TP 1,130.516,828,106566.912,11.53,1.41,0,11.53,1.41,-0.36,-0.04,241.78,0.02,3
109,Entry long,2022-05-31,127.4965021456,128.704,828,106566.912,11.53,1.41,0,11.53,1.41,-0.36,-0.04,241.78,0.02,3
110,Exit long,2022-06-16,Exit Long 2,132.222,828,106566.912,21.48,2.73,0,42.47,5.36,-0.36,-0.04,263.26,0.03,12
110,Entry long,2022-05-31,127.4965021456,128.704,828,106566.912,21.48,2.73,0,42.47,5.36,-0.36,-0.04,263.26,0.03,12
111,Exit long,2023-11-15,SL/TP 1,150.051,1081.5,163280.544,-6.65,-0.61,0,6.67,0.62,-6.65,-0.61,256.61,0.03,5
111,Entry long,2023-11-08,150.0513821559,150.976,1081.5,163280.544,-6.65,-0.61,0,6.67,0.62,-6.65,-0.61,256.61,0.03,5
112,Exit long,2023-11-17,Exit Long 2,149.646,1081.5,163280.544,-9.54,-0.88,0,6.67,0.62,-12.77,-1.18,247.06,0.02,7
112,Entry long,2023-11-08,150.0513821559,150.976,1081.5,163280.544,-9.54,-0.88,0,6.67,0.62,-12.77,-1.18,247.06,0.02,7
113,Exit long,2024-06-12,SL/TP 1,156.005,881.5,138518.91,-6.37,-0.72,0,1.3,0.15,-6.37,-0.72,240.69,0.02,1
113,Entry long,2024-06-11,156.0054883968,157.14,881.5,138518.91,-6.37,-0.72,0,1.3,0.15,-6.37,-0.72,240.69,0.02,1
114,Exit long,2024-07-11,Exit Long 2,158.902,881.5,138518.91,9.63,1.12,0,26.24,3.06,-7.97,-0.90,250.32,0.03,22
114,Entry long,2024-06-11,156.0054883968,157.14,881.5,138518.91,9.63,1.12,0,26.24,3.06,-7.97,-0.90,250.32,0.03,22
115,Exit short,2024-09-11,SL/TP 1,140.912,531.5,76394.0895,10.47,1.96,0,10.47,1.96,-1.82,-0.35,260.79,0.03,5
115,Entry short,2024-09-04,145.6136010081,143.733,531.5,76394.0895,10.47,1.96,0,10.47,1.96,-1.82,-0.35,260.79,0.03,5
116,Exit short,2024-09-20,Exit Short 2,143.92,531.5,76394.0895,-0.7,-0.13,0,15.55,2.89,-2.86,-0.53,260.09,0.03,12
116,Entry short,2024-09-04,145.6136010081,143.733,531.5,76394.0895,-0.7,-0.13,0,15.55,2.89,-2.86,-0.53,260.09,0.03,12
117,Exit long,2025-07-15,SL/TP 1,148.138,725.5,105973.785,10.17,1.42,0,10.17,1.42,-1.55,-0.21,270.27,0.03,6
117,Entry long,2025-07-07,144.6919639081,146.07,725.5,105973.785,10.17,1.42,0,10.17,1.42,-1.55,-0.21,270.27,0.03,6
118,Exit long,2025-07-22,Exit Long 2,146.646,725.5,105973.785,2.81,0.39,0,15.31,2.14,-1.55,-0.21,273.07,0.03,11
118,Entry long,2025-07-07,144.6919639081,146.07,725.5,105973.785,2.81,0.39,0,15.31,2.14,-1.55,-0.21,273.07,0.03,11
119,Exit long,2025-09-15,BL Exit Long 1,147.418,866.5,127957.788,-1.49,-0.17,0,0.7,0.08,-2.59,-0.30,271.58,0.03,1
119,Entry long,2025-09-12,146.5177822614,147.672,866.5,127957.788,-1.49,-0.17,0,0.7,0.08,-2.59,-0.30,271.58,0.03,1
120,Exit long,2025-09-15,BL Exit Long 2,147.418,866.5,127957.788,-1.49,-0.17,0,0.7,0.08,-2.59,-0.30,270.08,0.03,1
120,Entry long,2025-09-12,146.5177822614,147.672,866.5,127957.788,-1.49,-0.17,0,0.7,0.08,-2.59,-0.30,270.08,0.03,1
121,Exit long,2026-04-30,SL/TP 1,158.524,1051.5,167689.014,-6.27,-0.60,0,8.24,0.78,-6.27,-0.60,263.81,0.03,6
121,Entry long,2026-04-22,158.5248325817,159.476,1051.5,167689.014,-6.27,-0.60,0,8.24,0.78,-6.27,-0.60,263.81,0.03,6
122,Exit long,2026-04-30,Exit Long 2,156.624,1051.5,167689.014,-18.79,-1.79,0,8.24,0.78,-25.83,-2.46,245.01,0.02,6
122,Entry long,2026-04-22,158.5248325817,159.476,1051.5,167689.014,-18.79,-1.79,0,8.24,0.78,-25.83,-2.46,245.01,0.02,6
123,Exit long,2026-07-10,SL/TP 1,161.914,1378,224117.92,-6.15,-0.45,0,0,0.00,-6.15,-0.45,238.86,0.02,2
123,Entry long,2026-07-08,161.9141801355,162.64,1378,224117.92,-6.15,-0.45,0,0,0.00,-6.15,-0.45,238.86,0.02,2
124,Exit long,2026-07-10,BL Exit Long 2,161.705,1378,224117.92,-7.92,-0.57,0,0,0.00,-11.51,-0.83,230.94,0.02,2
124,Entry long,2026-07-08,161.9141801355,162.64,1378,224117.92,-7.92,-0.57,0,0,0.00,-11.51,-0.83,230.94,0.02,2
